,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$69,554","$42,452","$27,102",-,-,"$-24,578","$67,030","$2,524","$-1,299","$1,225",$241,$984,-,$984,-,$973,"$3,663","$2,524","1,309","1,314",$0.74,$0.74
2020-09-30,"$67,056","$40,940","$26,116",-,-,"$-22,867","$63,807","$3,249","$-1,443","$1,806",$587,"$1,219",-,"$1,219",-,"$1,224","$4,363","$3,249","1,310","1,315",$0.93,$0.93
2020-06-30,"$65,341","$40,242","$25,099",-,-,"$-20,419","$60,661","$4,680",$-720,"$3,960",$974,"$2,986",-,"$2,986",-,"$2,975","$5,782","$4,680","1,309","1,314",$2.27,$2.26
2020-03-31,"$66,755","$40,347","$26,408",-,-,"$-22,950","$63,297","$3,458",$-679,"$2,779",$767,"$2,012",-,"$2,012",-,"$2,007","$4,544","$3,458","1,306","1,312",$1.54,$1.53
2019-12-31,"$66,889","$42,065","$24,824",-,-,"$-21,787","$63,852","$3,037",$-703,"$2,334",$590,"$1,744",-,"$1,744",-,"$1,747","$4,133","$3,037","1,301","1,305",$1.35,$1.33
2019-09-30,"$64,810","$40,437","$24,373",-,-,"$-21,445","$61,882","$2,928",$-795,"$2,133",$604,"$1,529",-,"$1,529",-,"$1,530","$4,020","$2,928","1,302","1,305",$1.17,$1.17
2019-06-30,"$63,431","$38,970","$24,461",-,-,"$-21,129","$60,099","$3,332",$-741,"$2,591",$660,"$1,931",-,"$1,931",-,"$1,936","$4,404","$3,332","1,301","1,302",$1.49,$1.49
2019-03-31,"$61,646","$37,247","$24,399",-,-,"$-21,709","$58,956","$2,690",$-751,"$1,939",$512,"$1,427",-,"$1,427",-,"$1,421","$3,801","$2,690","1,298","1,302",$1.09,$1.09
2018-12-31,"$54,424","$40,564","$13,860",-,-,"$-10,808","$53,600",$824,$-722,$102,$524,$-422,-,$-422,$1,$-419,"$3,859",$824,"1,044","1,044",$-0.39,$-0.39
2018-09-30,"$47,490","$39,502","$7,988",-,-,"$-5,414","$44,916","$2,574",$-675,"$1,899",$509,"$1,390",-,"$1,390",-,"$1,390","$3,194","$2,574","1,020","1,022",$1.36,$1.36
2018-06-30,"$46,922","$38,876","$8,046",-,-,"$-5,498","$48,295","$-1,373",$-692,"$-2,065",$497,"$-2,562",-,"$-2,562",$-1,"$-2,563","$3,195","$-1,373","1,018","1,018",$-2.52,$-2.52
2018-03-31,"$45,743","$37,505","$8,238",-,-,"$-6,242","$43,747","$1,996",$-526,"$1,470",$472,$998,-,$998,-,$998,"$2,640","$1,996","1,016","1,019",$0.98,$0.98
2017-12-31,"$48,406","$37,682","$10,724",-,-,"$-7,549","$45,277","$3,129",$-320,"$2,809",$-478,"$3,287",-,"$3,287",-,"$3,287","$3,797","$3,129","1,020","1,024",$3.22,$3.19
