,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$6,760.3","$2,806.2","$3,954.1",$395.8,"$1,957",-,"$5,159","$1,601.301",$-59.8,"$1,541.5",$301.4,"$1,240.1",-,"$1,240.1",-,"$1,199.4","$2,149.701","$1,601.3",706,719,$1.69,$1.68
2020-09-30,"$5,883.2","$2,657.7","$3,225.5",$342.6,"$1,795.3",-,"$4,795.6","$1,087.6",$-66.1,"$1,021.5",$138,$883.5,-,$883.5,-,$842.4,"$1,996.3","$1,087.6",711,724,$1.18,$1.16
2020-06-30,"$5,297.4","$2,444.8","$2,852.6",$322.6,"$1,685.4",-,"$4,452.8",$844.6,$376.3,"$1,220.9",$293.6,$927.3,-,$927.3,-,$892.7,"$1,321.7",$844.6,705,718,$1.27,$1.24
2020-03-31,"$4,343.1","$1,900.3","$2,442.8",$287,"$1,458.3",-,"$3,645.6",$697.5,$13.6,$711.1,$116,$595.1,-,$595.1,-,$575.5,$995.3,$697.5,697,708,$0.83,$0.81
2019-12-31,"$4,868.3","$2,164.4","$2,703.9",$293.8,"$1,448.8",-,"$3,907",$961.3,$13.9,$975.2,$182.6,$792.6,-,$792.6,$482.3,"$1,255.7","$1,260.5",$961.3,715,726,$1.76,$1.73
2019-09-30,"$4,378","$1,936.6","$2,441.4",$282.6,"$1,382.5",-,"$3,601.7",$776.3,$10.3,$786.6,$155.9,$630.7,-,$630.7,$37.3,$648.4,"$1,071.7",$776.3,719,729,$0.90,$0.89
2019-06-30,"$4,444.5","$1,960.7","$2,483.8",$282.1,"$1,390",-,"$3,632.8",$811.7,$11.5,$823.2,$146.8,$676.4,-,$676.4,$54.9,$708.6,"$1,110",$811.7,718,728,$0.99,$0.97
2019-03-31,"$4,220.2","$1,865.3","$2,354.9",$267.5,"$1,367.7",-,"$3,500.5",$719.7,$0.3,$720,$387.7,$332.3,-,$332.3,$1.5,$327.3,"$1,015.8",$719.7,708,719,$0.46,$0.46
2018-12-31,"$2,519.5","$1,165.7","$1,353.801",$147.4,$592.6,-,"$1,905.7",$613.801,$-1.3,$612.5,$110.6,$501.9,-,$501.9,-,$746.9,$814.901,$613.8,701,710,$1.06,$1.06
2018-09-30,"$4,853.1","$2,162.6","$2,690.5",$301.2,"$1,558.6",-,"$4,022.4",$830.7,$-29.4,$801.3,$137.6,$663.7,-,$663.7,-,$663.7,"$1,152.2",$830.7,701,711,$0.95,$0.93
2018-06-30,"$4,981","$2,163.9","$2,817.1",$311.7,"$1,637.9",-,"$4,113.5",$867.5,$-32.4,$835.1,$161.3,$673.8,-,$673.8,-,$673.8,"$1,202.1",$867.5,700,710,$0.96,$0.95
2018-03-31,"$4,695.4","$2,051.8","$2,643.6",$298.7,"$1,601.9",-,"$3,952.4",$743,$-29.9,$713.1,$146.5,$566.6,-,$566.6,-,$566.6,"$1,063.8",$743,699,710,$0.81,$0.80
2017-12-31,"$2,274.799","$1,056.9","$1,217.899",$126.5,$572,-,"$1,755.399",$519.4,$64,$583.4,$24.4,$559,-,$559,$297.6,$856.6,$716.1,$519.4,696,706,$1.23,$1.21
2017-09-30,"$4,528.2","$1,991.4","$2,536.8",$279.2,"$1,498.4",-,"$3,769",$759.2,$-29.4,$729.8,$157.7,$572.1,-,$572.1,-,$572.1,"$1,070.6",$759.2,696,706,$0.82,$0.81
2017-06-30,"$4,510.1","$2,027.8","$2,482.3",$283.3,"$1,522.3",-,"$3,833.4",$676.7,$-31.9,$644.8,$87.5,$557.3,-,$557.3,-,$557.3,$979.9,$676.7,695,705,$0.80,$0.79
2017-03-31,"$4,205.7","$1,871.4","$2,334.3",$267.4,"$1,449.9",-,"$3,588.7",$617,$-31.8,$585.2,$101.4,$483.8,-,$483.8,$22.3,$506.1,$922.6,$617,694,706,$0.73,$0.72
2016-12-31,"$4,584.3","$2,084.3","$2,500.001",$268,"$1,519.1",-,"$3,871.399",$712.901,$-16.5,$696.4,$-50.6,$747,-,$747,-,$747,"$1,018.501",$712.901,691,700,$1.07,$1.06
2016-09-30,"$4,132.1","$1,846.1","$2,286",$241.1,"$1,345.8",-,"$3,433",$699.1,$-222.4,$476.7,$74.1,$402.6,-,$402.6,$-11,$391.6,$976.3,$699.1,692,701,$0.57,$0.56
2016-06-30,"$4,241.9","$1,860.6","$2,381.3",$239.9,"$1,431.3",-,"$3,531.8",$710.1,$-55.5,$654.6,$236.6,$418,-,$418,$238.7,$656.7,$987.7,$710.1,691,699,$0.95,$0.94
2016-03-31,"$3,924.1","$1,756.8","$2,167.3",$226.1,"$1,328.1",-,"$3,311",$613.1,$170.5,$783.6,$197.8,$585.8,-,$585.8,$172.6,$758.4,$880.8,$613.1,689,697,$1.10,$1.09
2015-12-31,"$1,266.6",$501.1,$765.5,$45.2,$727.6,-,"$1,273.9",$-7.301,$-43,$-50.3,$-143.6,$93.3,-,$93.3,$595.3,$688.6,$264.7,$-7.3,698,709,$0.98,$0.97
2015-09-30,"$3,512.2","$1,618.8","$1,893.4",$212.2,"$1,201.2",-,"$3,032.2",$480,$-26.1,$453.9,$74,$379.9,-,$379.9,"$1,023.4","$1,403.3",$616.3,$480,689,699,$2.04,$2.01
2015-06-30,"$4,960.2","$2,316.2","$2,644",$304.6,"$1,405",-,"$4,025.8",$934.4,$-26.7,$907.7,$192.2,$715.5,-,$715.5,$-19.8,$695.7,"$1,171.4",$934.4,710,720,$0.98,$0.97
2015-03-31,"$4,694.7","$2,226.5","$2,468.2",$299.4,"$1,413.7",-,"$3,939.6",$755.1,$-27,$728.1,$170.1,$558,-,$558,$11.8,$569.8,$990.6,$755.1,707,719,$0.81,$0.79
2014-12-31,"$5,417.2","$2,613.5","$2,803.7",$336.1,"$1,580.3",-,"$4,529.9",$887.3,$77.1,$964.4,$302.7,$661.7,-,$661.7,$960.4,$661.7,$940.9,$887.3,705,718,$0.94,$0.92
2014-09-30,"$4,707.1","$2,254.8","$2,452.3",$288.1,"$1,298",-,"$3,840.9",$866.2,$12.2,$878.4,$197.1,$681.3,-,$681.3,$-0.7,$680.6,"$1,070.6",$866.2,703,716,$0.97,$0.95
2014-06-30,"$4,963.6","$2,343.4","$2,620.2",$336.4,"$1,394.5",-,"$4,074.3",$889.3,$-10.3,$879,$202.6,$676.4,-,$676.4,-,$676.4,"$1,124.7",$889.3,701,716,$0.96,$0.95
