,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$3,157","$1,119","$2,038",-,$828,$88,"$2,363",$794,$-192,$602,$50,$552,-,$552,-,$526,"$1,395",$794,373,374,$1.39,$1.39
2020-09-30,"$4,644","$1,817","$2,827",-,"$1,362","$-1,354","$5,023",$-379,$-138,$-517,$-275,$-242,-,$-242,-,$-288,$213,$-379,378,378,$-0.76,$-0.76
2020-06-30,"$2,987","$1,068","$1,919",-,$865,$-65,"$2,487",$500,$-148,$352,$4,$348,-,$348,-,$318,"$1,087",$500,375,376,$0.85,$0.85
2020-03-31,"$2,790",$928,"$1,862",-,$992,$-84,"$2,488",$302,$-173,$129,$-84,$213,-,$213,-,$183,$887,$302,363,364,$0.50,$0.50
2019-12-31,"$2,970",$991,"$1,979",-,$864,$-358,"$2,683",$287,$-180,$107,$-66,$173,-,$173,-,$143,$859,$287,340,341,$0.37,$0.37
2019-09-30,"$3,741","$1,708","$2,033",-,$873,$-65,"$3,105",$636,$-156,$480,$-22,$502,-,$502,-,$471,"$1,182",$636,347,349,$1.36,$1.35
2019-06-30,"$2,812","$1,135","$1,677",-,$688,$-168,"$2,312",$500,$-156,$344,$-78,$422,-,$422,-,$392,$839,$500,326,327,$1.20,$1.20
2019-03-31,"$2,824","$1,005","$1,819",-,$992,$5,"$2,472",$352,$-156,$196,$-112,$308,-,$308,-,$278,$850,$352,326,327,$0.85,$0.85
2018-12-31,"$3,009","$1,062","$1,947",-,$823,"$-2,685","$5,050","$-2,041",$-175,"$-2,216",$-782,"$-1,434",-,"$-1,434",-,"$-1,430","$-1,740","$-2,041",326,326,$-4.39,$-4.38
2018-09-30,"$4,269","$2,306","$1,963",-,$771,$13,"$3,530",$739,$-112,$627,$83,$544,-,$544,-,$513,"$1,304",$739,326,327,$1.57,$1.57
2018-06-30,"$2,815","$1,112","$1,703",-,$816,$-4,"$2,395",$420,$-131,$289,$-9,$298,-,$298,-,$276,"$1,015",$420,326,327,$0.85,$0.84
2018-03-31,"$2,564",$926,"$1,638",-,$782,$-64,"$2,234",$330,$-119,$211,$-31,$242,-,$242,-,$218,$809,$330,326,327,$0.67,$0.67
2017-12-31,"$3,220","$1,131","$2,089",-,$906,$-715,"$3,258",$-38,$-132,$-170,$364,$-534,-,$-534,-,$-545,$486,$-38,326,328,$-1.66,$-1.67
2017-09-30,"$3,672","$1,783","$1,889",-,$819,$7,"$3,119",$553,$-121,$432,$-69,$501,-,$501,-,$470,"$1,096",$553,326,328,$1.43,$1.44
2017-06-30,"$2,965","$1,175","$1,790",-,$792,$-16,"$2,495",$470,$-135,$335,$26,$309,-,$309,-,$278,$998,$470,326,329,$0.85,$0.85
2017-03-31,"$2,463",$784,"$1,679",-,$704,$-5,"$1,992",$471,$-119,$352,$-40,$392,-,$392,-,$362,$991,$471,326,329,$1.11,$1.10
2016-12-31,"$2,885",$950,"$1,935",-,$893,-,"$2,347",$538,$-111,$427,$80,$347,-,$347,$13,$329,"$1,061",$538,326,330,$1.01,$1.00
2016-09-30,"$3,767","$1,719","$2,048",-,$832,-,"$3,072",$695,$-124,$571,$120,$451,-,$451,-,$421,"$1,245",$695,326,330,$1.29,$1.27
2016-06-30,"$2,777","$1,064","$1,713",-,$806,$-21,"$2,396",$381,$-122,$259,$-51,$310,-,$310,$-2,$280,$907,$381,326,330,$0.86,$0.85
2016-03-31,"$2,440",$794,"$1,646",-,$721,-,"$1,992",$448,$-115,$333,$28,$305,-,$305,$1,$281,$947,$448,326,329,$0.86,$0.85
2015-12-31,"$2,341",$617,"$1,724",-,$912,-,"$2,003",$338,$-93,$245,$292,$-47,-,$-47,$-8,$-79,$828,$338,326,329,$-0.24,$-0.24
2015-09-30,"$3,763","$1,785","$1,978",-,$864,-,"$3,155",$608,$-121,$487,$82,$405,-,$405,$43,$421,"$1,136",$608,326,328,$1.29,$1.28
2015-06-30,"$2,908","$1,078","$1,830",-,$825,-,"$2,384",$524,$-112,$412,$6,$406,-,$406,-,$379,"$1,026",$524,326,328,$1.16,$1.15
2015-03-31,"$2,512",$786,"$1,726",-,$725,-,"$1,974",$538,$-114,$424,$106,$318,-,$318,-,$299,"$1,023",$538,326,329,$0.92,$0.91
2014-12-31,"$3,115","$1,029","$2,086",-,$993,$71,"$2,423",$692,$-128,$564,$158,$406,-,$406,$39,$420,"$1,195",$692,326,329,$1.30,$1.26
2014-09-30,"$4,356","$2,182","$2,174",-,$879,$3,"$3,482",$874,$-130,$744,$220,$524,-,$524,$-16,$480,"$1,322",$874,326,329,$1.47,$1.46
2014-06-30,"$3,016","$1,239","$1,777",-,$788,-,"$2,441",$575,$-109,$466,$84,$382,-,$382,$184,$536,"$1,007",$575,326,329,$1.64,$1.63
2014-03-31,"$2,926","$1,143","$1,783",-,$811,$-231,"$2,595",$331,$-126,$205,$-19,$224,-,$224,$-22,$176,$763,$331,326,329,$0.54,$0.54
2013-12-31,"$2,943","$1,073","$1,870",-,$662,$4,"$2,438",$505,$-149,$356,$69,$287,-,$287,$37,$300,$977,$505,326,329,$0.93,$0.91
2013-09-30,"$3,960","$1,808","$2,152",-,$971,-,"$3,171",$789,$-124,$665,$177,$488,-,$488,$-25,$438,"$1,181",$789,326,328,$1.34,$1.34
2013-06-30,"$3,046","$1,157","$1,889",-,$967,$-575,"$3,117",$-71,$-113,$-184,$-102,$-82,-,$-82,$12,$-94,$347,$-71,326,326,$-0.29,$-0.29
2013-03-31,"$2,632",$853,"$1,779",-,$873,-,"$2,140",$492,$-108,$384,$98,$286,-,$286,$12,$271,$906,$492,326,329,$0.83,$0.82
2012-12-31,"$3,060",$869,"$2,191",-,$718,$-39,"$2,297",$763,$-106,$657,$-152,$809,-,$809,"$-1,326",$-540,"$1,159",$763,326,330,$-1.65,$-1.64
2012-09-30,"$3,734","$1,695","$2,039",-,$993,$66,"$3,021",$713,$-103,$610,$228,$382,-,$382,$-167,$190,"$1,129",$713,326,329,$0.58,$0.58
2012-06-30,"$2,653",$883,"$1,770",-,$951,$1,"$2,233",$420,$-113,$307,$100,$207,-,$207,$-109,$74,$835,$420,326,334,$0.23,$0.22
2012-03-31,"$2,415",$692,"$1,723",-,$946,-,"$2,026",$389,$-102,$287,$91,$196,-,$196,$-84,$93,$796,$389,326,329,$0.28,$0.28
2011-12-31,"$1,001",$149,$852,-,$243,$-18,$555,$446,$29,$475,$209,$266,-,$266,"$-1,090",$-839,$489,$446,326,329,$-2.57,$-2.56
2011-09-30,"$3,822","$1,536","$2,286",-,"$1,071",-,"$3,037",$785,$-127,$658,$232,$426,-,$426,$15,$426,"$1,242",$785,326,329,$1.31,$1.30
2011-06-30,"$2,983",$905,"$2,078",-,"$1,255",$-8,"$2,603",$380,$-126,$254,$62,$192,-,$192,$-1,$176,$853,$380,326,329,$0.54,$0.54
2011-03-31,"$2,782",$766,"$2,016",-,"$1,149",-,"$2,332",$450,$-169,$281,$65,$216,-,$216,$-2,$200,$904,$450,326,328,$0.61,$0.61
2010-12-31,$657,$78,$579,-,$325,$1,$549,$108,$-16,$92,$74,$18,-,$18,$161,$166,$271,$108,326,329,$0.51,$0.49
