,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$2,233.933",$674.883,"$1,559.05",-,$670.162,$-126.967,"$1,779.205",$454.728,$-110.36,$344.368,$70.565,$273.803,-,$273.803,-,$271.923,-,$454.728,343,344,$0.79,$0.79
2020-09-30,"$2,343.642",$806.254,"$1,537.388",-,$529.143,$-145.047,"$1,782.412",$561.23,$-104.848,$456.382,$108.242,$348.14,-,$348.14,-,$346.26,$863.197,$561.23,343,344,$1.01,$1.01
2020-06-30,"$1,953.128",$630.132,"$1,322.996",-,$510.074,$-115.354,"$1,519.473",$433.655,$-104.042,$329.613,$75.501,$254.112,-,$254.112,-,$252.232,$697.567,$433.655,338,339,$0.75,$0.75
2020-03-31,"$2,373.726",$876.57,"$1,497.156",-,$523.656,$-148.393,"$1,834.606",$539.12,$-110.611,$428.509,$91.876,$336.633,-,$336.633,-,$334.753,$825.107,$539.12,331,333,$1.01,$1.01
2019-12-31,"$2,050.386",$714.119,"$1,336.267",-,$541.851,$-118.584,"$1,614.821",$435.565,$-104.584,$330.981,$79.065,$251.916,-,$251.916,-,$250.037,$675.831,$435.565,321,323,$0.78,$0.76
2019-09-30,"$2,175.797",$730.255,"$1,445.542",-,$503.019,$-136.832,"$1,666.559",$509.238,$-108.248,$400.99,$80.226,$320.764,-,$320.764,-,$318.884,$805.692,$509.238,324,326,$0.98,$0.98
2019-06-30,"$1,884.495",$620.904,"$1,263.591",-,$509.093,$-345.481,"$1,733.507",$150.988,$-86.839,$64.149,$30.815,$33.334,-,$33.334,-,$31.454,$409.017,$150.988,320,320,$0.10,$0.10
2019-03-31,"$2,415.792",$974.882,"$1,440.91",-,$520.185,$-140.116,"$1,921.092",$494.7,$-100.749,$393.951,$83.393,$310.558,-,$310.558,-,$308.678,$780.609,$494.7,318,318,$0.97,$0.97
2018-12-31,"$2,034.958",$696.016,"$1,338.943",-,$546.929,$-106.219,"$1,634.935",$400.023,$-98.361,$301.662,$68.476,$233.186,-,$233.186,-,$231.307,$685.794,$400.023,317,318,$0.73,$0.73
2018-09-30,"$2,271.425",$842.291,"$1,429.134",-,$531.766,$-129.965,"$1,805.404",$466.021,$-108.483,$357.538,$66.278,$291.26,-,$291.26,-,$289.38,$767.403,$466.021,317,318,$0.91,$0.91
2018-06-30,"$1,853.856",$653.915,"$1,199.941",-,$471.289,$-101.955,"$1,462.502",$391.354,$-76.255,$315.099,$70.452,$244.647,-,$244.647,-,$242.767,$626.697,$391.354,317,318,$0.76,$0.76
2018-03-31,"$2,287.962",$946.747,"$1,341.215",-,$514.982,$-134.241,"$1,845.43",$442.532,$-87.34,$355.192,$83.766,$271.426,-,$271.426,-,$269.546,$691.992,$442.532,317,318,$0.85,$0.85
2017-12-31,"$1,895.494",$580.142,"$1,315.352",-,$547.887,$-89.074,"$1,451.68",$443.814,$-73.542,$370.271,$130.973,$239.298,-,$239.298,-,$237.419,$678.392,$443.814,317,318,$0.75,$0.75
2017-09-30,"$1,988.512",$651.776,"$1,336.736",-,$475.966,$-129.205,"$1,493.261",$495.251,$-80.183,$415.068,$152.818,$262.25,-,$262.25,-,$260.37,$731.565,$495.251,317,318,$0.82,$0.82
2017-06-30,"$1,762.811",$549.704,"$1,213.107",-,$466.427,$-116.398,"$1,314.603",$448.208,$-78.307,$369.901,$137.272,$232.629,-,$232.629,-,$230.749,$630.282,$448.208,317,318,$0.72,$0.72
2017-03-31,"$2,105.135",$753.649,"$1,351.486",-,$493.529,$-146.158,"$1,604.158",$500.977,$-81.81,$419.167,$157.829,$261.338,-,$261.338,-,$259.458,$711.799,$500.977,317,318,$0.82,$0.82
2016-12-31,"$1,776.604",$498.899,"$1,277.705",-,$531.404,$-127.696,"$1,357.157",$419.446,$-61.577,$357.87,$126.81,$231.06,-,$231.06,-,$229.181,$618.604,$419.447,318,318,$0.73,$0.72
2016-09-30,"$2,039.706",$665.81,"$1,373.896",-,$489.676,$-149.121,"$1,529.837",$509.869,$-86.224,$423.645,$156.446,$267.199,-,$267.199,-,$265.319,$735.1,$509.869,318,319,$0.83,$0.83
2016-06-30,"$1,767.184",$581.26,"$1,185.924",-,$475.044,$-119.667,"$1,343.762",$423.422,$-92.454,$330.968,$125.439,$205.529,-,$205.529,-,$203.649,$591.212,$423.422,318,318,$0.64,$0.64
2016-03-31,"$2,055.635",$754.859,"$1,300.776",-,$480.082,$-137.175,"$1,567.099",$488.536,$-96.201,$392.335,$146.302,$246.033,-,$246.033,-,$244.153,$683.519,$488.536,318,318,$0.77,$0.77
2015-12-31,"$1,691.23",$537.098,"$1,154.132",-,$503.336,$-115.141,"$1,305.794",$385.436,$-82.424,$303.012,$119.327,$183.685,-,$183.685,-,$181.804,$535.655,$385.436,317,318,$0.58,$0.57
2015-09-30,"$1,933.105",$702.64,"$1,230.465",-,$478.087,$-132.107,"$1,463.867",$469.238,$-87.293,$381.945,$144.146,$237.799,-,$237.799,-,$235.92,$620.271,$469.238,317,318,$0.74,$0.74
2015-06-30,"$1,817.061",$685.118,"$1,131.943",-,$455.576,$-101.85,"$1,405.046",$412.015,$-79.36,$332.655,$123.268,$209.387,-,$209.387,-,$207.507,$574.517,$412.015,318,319,$0.65,$0.65
2015-03-31,"$2,513.431","$1,162.049","$1,351.382",-,$482.863,$-146.603,"$2,015.956",$497.475,$-89.116,$408.359,$153.226,$255.133,-,$255.133,-,$253.254,$721.916,$497.475,317,318,$0.80,$0.80
2014-12-31,"$1,881.12",$702.558,"$1,178.562",-,$498.092,$-112.898,"$1,450.86",$430.26,$-84.332,$345.928,$122.439,$223.489,-,$223.489,-,$221.608,$567.571,$430.26,316,317,$0.70,$0.70
2014-09-30,"$1,892.532",$716.631,"$1,175.901",-,$485.619,$-118.693,"$1,451.622",$440.91,$-77.878,$363.032,$126.539,$236.493,-,$236.493,-,$234.614,$571.59,$440.91,316,318,$0.74,$0.74
2014-06-30,"$1,677.614",$624.211,"$1,053.403",-,$508.037,$-102.711,"$1,383.624",$293.99,$-86.969,$207.021,$77.774,$129.247,-,$129.247,-,$127.367,$442.655,$293.99,316,317,$0.40,$0.40
2014-03-31,"$2,290.59",$978.15,"$1,312.44",-,$497.221,$-138.825,"$1,822.901",$467.689,$-88.308,$379.381,$141.545,$237.836,-,$237.836,-,$235.957,$676.394,$467.689,316,317,$0.75,$0.74
2013-12-31,"$1,777.729",$600.962,"$1,176.767",-,$545.411,$-95.909,"$1,417.077",$360.653,$-79.878,$280.774,$101.497,$179.277,-,$179.277,-,$177.396,$535.448,$360.652,315,316,$0.57,$0.57
2013-09-30,"$1,892.59",$645.881,"$1,246.709",-,$522.199,$-106.097,"$1,493.328",$399.262,$-78.531,$320.731,$109.351,$211.38,-,$211.38,-,$209.501,$618.412,$399.262,315,316,$0.66,$0.66
2013-06-30,"$1,635.862",$488.302,"$1,147.56",-,$480.633,$-94.142,"$1,285.286",$350.576,$-81.906,$268.67,$95.606,$173.064,-,$173.064,-,$171.021,$572.785,$350.576,315,316,$0.54,$0.54
2013-03-31,"$1,995.023",$747.809,"$1,247.214",-,$478.973,$-105.771,"$1,576.078",$418.945,$-68.49,$350.455,$120.487,$229.968,-,$229.968,-,$228.089,$662.47,$418.945,315,316,$0.72,$0.72
2012-12-31,"$1,683.951",$544.255,"$1,139.696",-,$510.244,$-104.061,"$1,352.558",$331.393,$-79.251,$252.142,$75.547,$176.595,-,$176.595,-,$174.716,$525.391,$331.393,277,278,$0.53,$0.52
2012-09-30,"$1,861.529",$602.751,"$1,258.778",-,$516.193,$-98.326,"$1,448.624",$412.905,$-86.037,$326.868,$117.36,$209.508,-,$209.508,-,$207.628,$644.258,$412.905,315,316,$0.66,$0.66
2012-06-30,"$1,628.684",$542.014,"$1,086.67",-,$642.839,$-73.489,"$1,469.169",$159.515,$-87.241,$72.274,$26.055,$46.219,-,$46.219,-,$44.339,$370.343,$159.515,301,302,$0.15,$0.15
2012-03-31,"$1,099.623",$395.344,$704.279,-,$348.001,$-37.273,$885.23,$214.393,$-57.674,$156.719,$55.964,$100.755,-,$100.755,-,$99.262,$319.005,$214.393,178,178,$0.56,$0.56
2011-12-31,"$1,068.033",$395.026,$673.007,-,$573.136,$185.788,$883.164,$184.869,$-57.072,$127.797,$13.018,$114.779,-,$114.779,-,$113.299,$286.569,$184.869,177,178,$0.63,$0.63
2011-09-30,"$1,114.892",$406.237,$708.655,-,$340.545,$-35.255,$911.076,$203.816,$-62.502,$141.314,$49.883,$91.431,-,$91.431,-,$89.961,$332.854,$203.816,177,178,$0.51,$0.51
2011-06-30,"$1,047.481",$382.542,$664.939,-,$349.12,$-29.97,$869.347,$178.134,$-54.9,$123.234,$44.515,$78.719,-,$78.719,-,$77.278,$284.94,$178.134,177,178,$0.44,$0.44
2011-03-31,"$1,235.251",$474.109,$761.142,-,$156.167,$-251.978,"$1,007.894",$227.357,$-48.236,$179.121,$63.537,$115.584,-,$115.584,-,$114.155,$352.997,$227.357,177,177,$0.64,$0.64
2010-12-31,"$1,203.984",$494.797,$709.187,-,$909.253,$564.386,"$1,008.733",$195.251,$-14.745,$180.506,$49.283,$131.223,-,$131.223,-,$129.268,$364.32,$195.25,177,177,$0.73,$0.72
2010-09-30,"$1,243.337",$494.125,$749.212,-,$134.378,$-233.472,"$1,043.704",$199.633,$-55.78,$143.853,$41.918,$101.935,-,$101.935,-,$100.524,$381.362,$199.633,177,177,$0.57,$0.57
2010-06-30,"$1,111.426",$442.23,$669.196,-,$141.223,$-206.664,$933.082,$178.344,$-65.645,$112.699,$39.351,$73.348,-,$73.348,-,$71.946,$321.309,$178.344,177,177,$0.41,$0.41
2010-03-31,"$1,339.42",$603.349,$736.071,-,$131.236,$-248.273,"$1,112.757",$226.663,$-59.205,$167.458,$79.857,$87.601,-,$87.601,-,$86.211,$356.562,$226.663,176,177,$0.49,$0.49
2009-12-31,"$1,315.343",$595.468,$719.875,-,$132.909,$-268.628,"$1,122.989",$192.354,$-56.347,$136.007,$49.9,$86.107,-,$86.107,-,$84.717,$318.338,$192.354,173,173,$0.47,$0.47
2009-09-30,"$1,306.173",$611.632,$694.541,-,$137.407,$-250.296,"$1,143.62",$162.553,$-60.145,$102.408,$36.23,$66.178,-,$66.178,-,$64.788,$306.838,$162.553,175,176,$0.37,$0.37
2009-06-30,"$1,224.431",$583.599,$640.832,-,$110.791,$-234.821,"$1,045.245",$179.186,$-52.549,$126.637,$42.394,$84.243,-,$84.243,-,$82.854,$309.914,$179.186,175,176,$0.47,$0.47
2009-03-31,"$1,593.483",$838.92,$754.563,-,$135.265,$-247.445,"$1,376.201",$217.282,$-66.795,$150.487,$51.423,$99.064,-,$99.064,-,$97.674,$357.159,$217.282,162,163,$0.60,$0.60
2008-12-31,"$1,447.886",$710.114,$737.772,-,$122.578,$-266.398,"$1,276.589",$171.297,$-60.729,$110.568,$37.28,$73.288,-,$73.288,-,$71.898,$354.694,$171.297,156,156,$0.46,$0.45
2008-09-30,"$1,506.897",$801.05,$705.847,-,$140.313,$-232.222,"$1,357.82",$149.077,$-53.215,$95.862,$21.783,$74.079,-,$74.079,-,$72.689,$333.46,$149.077,156,156,$0.47,$0.47
2008-06-30,"$1,325.345",$661.699,$663.646,-,$130.174,$-237.203,"$1,187.226",$138.119,$-55.69,$82.429,$23.192,$59.237,-,$59.237,-,$57.848,$292.995,$138.119,155,156,$0.37,$0.37
2008-03-31,"$1,519.967",$823.317,$696.65,-,$128.538,$-285.881,"$1,387.695",$132.272,$-49.083,$83.189,$23.406,$59.783,-,$59.783,-,$58.393,$279.459,$132.272,155,156,$0.38,$0.38
2007-12-31,"$1,275.959",$594.151,$681.808,-,$110.661,$-283.061,"$1,132.38",$143.58,$-34.657,$108.923,$34.238,$74.685,-,$78.854,$-0.583,$72.712,$286.592,$143.579,155,155,$0.47,$0.47
2007-09-30,"$1,450.977",$881.234,$569.743,-,$117.339,$-195.112,"$1,327.617",$123.36,$-51.032,$72.328,$20.756,$51.572,-,$50.182,$-0.058,$50.124,$252.538,$123.36,155,155,$0.32,$0.32
2007-06-30,"$1,391.772",$804.802,$586.97,-,$117.202,$-245.879,"$1,274.964",$116.808,$-47.704,$69.104,$21.703,$47.401,-,$46.012,$2.541,$48.553,$221.385,$116.808,155,155,$0.31,$0.31
2007-03-31,"$1,703.518","$1,070.486",$633.032,-,$118.575,$-237.233,"$1,547.785",$155.733,$-45.213,$110.52,$32.723,$77.797,-,$76.407,$-1.313,$75.094,$285.976,$155.733,154,155,$0.49,$0.49
2006-12-31,"$1,476.454",$930.913,$545.541,-,$107.701,$-294.263,"$1,407.544",$68.909,$-22.1,$46.81,$8.761,$38.049,-,$36.659,$310.334,$346.993,$149.382,$68.91,154,154,$2.27,$2.26
2006-09-30,"$1,592.784","$1,046.184",$546.6,-,$118.097,$-248.956,"$1,515.114",$77.67,$-49.33,$28.34,$-75.702,$104.042,-,$102.652,$8.797,$111.449,$193.596,$77.67,154,154,$0.72,$0.72
2006-06-30,"$1,661.061","$1,109.671",$551.39,-,$103.642,$-268.583,"$1,584.471",$76.59,$-51.981,$24.609,$8.92,$15.689,-,$14.3,$7.942,$22.242,$222.458,$76.59,154,154,$0.14,$0.14
2006-03-31,"$2,147.388","$1,544.03",$603.358,-,$114.846,$-309.732,"$2,134.587",$12.801,$-50.391,$-37.59,$-18.305,$-19.285,-,$-20.675,$10.569,$-10.106,$130.831,$12.801,153,153,$-0.07,$-0.07
2005-12-31,"$1,826.707","$1,706.433",$120.274,-,$100.755,$141.747,"$1,843.218",$-16.511,$-40.72,$-57.231,$-53.132,$-4.099,-,$-5.489,$-7.079,$-13.573,$182.52,$-16.512,132,132,$-0.08,$-0.08
