,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$3,169.189","$2,340.603",$828.586,-,$431.479,$-57.476,"$2,887.377",$281.811,$2.096,$283.907,$84.382,$199.525,-,$199.525,-,$198.62,$296.15,$281.811,168,171,$1.17,$1.15
2020-09-30,"$2,464.797","$1,730.418",$734.379,-,$376.558,$-47.541,"$2,212.852",$251.945,$2.484,$254.429,$62.71,$191.719,-,$191.719,-,$191.307,$267.796,$251.945,168,171,$1.14,$1.12
2020-06-30,"$2,580.632","$1,831.041",$749.591,-,$398.22,$-48.261,"$2,333.006",$247.626,$3.356,$250.982,$66.794,$184.188,-,$184.188,-,$183.869,$261.735,$247.626,167,169,$1.10,$1.09
2020-03-31,"$1,901.864","$1,286.728",$615.136,-,$350.283,$-50.614,"$1,742.809",$159.055,$8.191,$167.246,$44.464,$122.782,-,$122.782,-,$122.344,$171.715,$159.055,169,171,$0.73,$0.71
2019-12-31,"$2,044.941","$1,398.638",$646.303,-,$363.873,$-47.821,"$1,864.602",$180.339,$5.157,$185.497,$47.749,$137.748,-,$137.748,-,$137.326,$192.833,$180.339,171,174,$0.80,$0.79
2019-09-30,"$2,074.855","$1,400.499",$674.356,-,$366.464,$-46.969,"$1,868.305",$206.55,$7.396,$213.946,$53.319,$160.627,-,$160.627,-,$160.221,$218.936,$206.55,170,173,$0.94,$0.92
2019-06-30,"$2,035.579","$1,373.884",$661.695,-,$367.994,$-47.926,"$1,843.378",$192.201,$8.778,$200.979,$47.449,$153.53,-,$153.53,-,$153.149,$204.878,$192.201,171,174,$0.90,$0.88
2019-03-31,"$2,020.051","$1,365.937",$654.114,-,$367.986,$-43.611,"$1,832.45",$187.601,$7.771,$195.372,$55.261,$140.111,-,$140.111,-,$139.699,$200.994,$187.601,172,175,$0.81,$0.80
2018-12-31,"$2,235.597","$1,554.922",$680.675,-,$363.8,$-47.055,"$2,018.59",$217.007,$5.238,$222.245,$42.668,$179.577,-,$179.577,-,$179.21,$230.193,$217.008,174,178,$1.04,$1.01
2018-09-30,"$2,090.947","$1,429.633",$661.314,-,$362.209,$-44.414,"$1,887.793",$203.154,$5.27,$208.424,$45.357,$163.067,-,$163.067,-,$162.692,$216.489,$203.154,173,177,$0.94,$0.92
2018-06-30,"$1,957.559","$1,315.013",$642.546,-,$361.736,$-45.579,"$1,773.975",$183.584,$6.32,$189.904,$48.958,$140.946,-,$140.946,-,$140.605,$197.16,$183.584,175,179,$0.80,$0.79
