,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$1,358",$739.2,$618.8,-,$354.7,$0.3,"$1,093.6",$264.4,$-2.2,$262.2,$66.1,$196.1,-,$196.1,-,$196.1,$306.4,$264.4,574,576,$0.34,$0.34
2020-09-30,"$1,413.3",$772.7,$640.6,-,$351.5,$1,"$1,123.2",$290.1,$-2.5,$287.6,$66.1,$221.5,-,$221.5,-,$221.5,$331.2,$290.1,574,576,$0.39,$0.38
2020-06-30,"$1,509",$837.4,$671.6,-,$355.3,$-0.3,"$1,193",$316,$-2.3,$313.7,$74.8,$238.9,-,$238.9,-,$238.9,$356.7,$316,573,575,$0.42,$0.42
2020-03-31,"$1,367",$730.2,$636.8,-,$365.9,$0.4,"$1,095.7",$271.3,$-2.1,$269.2,$66.6,$202.6,-,$202.6,-,$202.6,$309.9,$271.3,574,575,$0.35,$0.35
2019-12-31,"$1,276.9",$678.5,$598.4,-,$359.9,$0.4,"$1,038",$238.9,$-2.5,$236.4,$57.7,$178.7,-,$178.7,-,$178.7,$276.8,$238.9,573,574,$0.31,$0.31
2019-09-30,"$1,379.1",$728,$651.1,-,$369.2,-,"$1,097.2",$281.9,$-3.5,$278.4,$64.9,$213.5,-,$213.5,-,$213.5,$319.2,$281.9,574,574,$0.37,$0.37
2019-06-30,"$1,368.4",$727.2,$641.2,-,$366.7,$0.5,"$1,093.4",$275,$-3.6,$271.4,$66.8,$204.6,-,$204.6,-,$204.6,$312.1,$275,573,575,$0.36,$0.36
2019-03-31,"$1,309.3",$684.6,$624.7,-,$363.6,$0.3,"$1,047.9",$261.4,$-3.9,$257.5,$63.4,$194.1,-,$194.1,-,$194.1,$297.8,$261.4,572,573,$0.34,$0.34
2018-12-31,"$1,231.6",$643.8,$587.8,-,$354.4,-,$998.2,$233.4,$-3.6,$229.8,$61,$168.8,-,$168.8,-,$168.8,$269.3,$233.4,574,574,$0.29,$0.29
2018-09-30,"$1,279.8",$664,$615.8,-,$353.8,$0.3,"$1,017.5",$262.3,$-2.9,$259.4,$61.8,$197.6,-,$197.6,-,$197.6,$297.1,$262.3,574,575,$0.34,$0.34
2018-06-30,"$1,267.9",$650.2,$617.7,-,$349.3,$0.6,$998.9,$269,$-3.1,$265.9,$54.7,$211.2,-,$211.2,-,$211.2,$303.1,$269,574,575,$0.37,$0.37
2018-03-31,"$1,185.8",$608.2,$577.6,-,$342.7,$-0.4,$951.3,$234.5,$-2.6,$231.9,$57.6,$174.3,-,$174.3,-,$174.3,$267.9,$234.5,575,576,$0.30,$0.30
2017-12-31,"$1,088.5",$557.3,$531.2,-,$327.8,$-0.1,$885.2,$203.3,$-2.5,$200.8,$48.4,$152.4,-,$152.4,-,$152.4,$235.6,$203.3,576,577,$0.26,$0.26
2017-09-30,"$1,132.8",$576.9,$555.9,-,$327.5,$0.1,$904.3,$228.5,$-2.5,$226,$82.9,$143.1,-,$143.1,-,$143.1,$261,$228.5,575,575,$0.25,$0.25
2017-06-30,"$1,121.5",$563,$558.5,-,$321.6,$0.6,$884,$237.5,$-2.1,$235.4,$86.5,$148.9,-,$148.9,-,$148.9,$269.4,$237.5,577,578,$0.26,$0.26
2017-03-31,"$1,047.7",$529.7,$518,-,$305.9,$0.4,$835.2,$212.5,$-1.6,$210.9,$76.7,$134.2,-,$134.2,-,$134.2,$243.2,$212.5,578,579,$0.23,$0.23
2016-12-31,$947.9,$476,$471.9,-,$289.6,$0.2,$765.4,$182.5,$-1.7,$180.8,$66,$114.8,-,$114.8,-,$114.8,$211.6,$182.5,578,578,$0.20,$0.20
2016-09-30,"$1,013.1",$513.3,$499.8,-,$297.1,$0.2,$810.2,$202.9,$-1.7,$201.2,$74.3,$126.9,-,$126.9,-,$126.9,$229.6,$202.9,578,578,$0.22,$0.22
