,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,$624.617,$114.979,$509.638,$114.191,$277.699,-,$506.869,$117.748,$-0.683,$117.065,$29.387,$87.678,-,$87.678,-,$87.678,$145.408,$117.748,61,62,$1.43,$1.41
2020-09-30,$614.816,$111.967,$502.849,$120.3,$283.936,-,$516.203,$98.613,$-1.09,$97.523,$19.86,$77.663,-,$77.663,-,$77.663,$125.133,$98.613,61,61,$1.27,$1.25
2020-06-30,$583.252,$106.04,$477.212,$115.991,$273.6,-,$495.631,$87.621,$0.141,$87.762,$17.89,$69.872,-,$69.872,-,$69.872,$113.846,$87.621,61,61,$1.15,$1.14
2020-03-31,$583.449,$101.238,$482.211,$109.028,$289.485,-,$499.751,$83.698,$-0.141,$83.557,$22.178,$61.379,-,$61.379,-,$61.379,$107.831,$83.698,61,61,$1.01,$1.00
2019-12-31,$569.305,$88.642,$480.663,$96.005,$254.523,-,$446.97,$122.335,$5.22,$127.555,$29.028,$98.527,-,$98.527,-,$98.527,$141.314,$122.335,61,61,$1.62,$1.62
2019-09-30,$590.388,$90.918,$499.47,$102.812,$281.944,-,$475.674,$114.714,$3.397,$118.111,$23.274,$94.837,-,$94.837,-,$94.837,$136.576,$114.714,60,60,$1.58,$1.56
2019-06-30,$563.394,$90.767,$472.627,$116.894,$252.993,-,$460.654,$102.74,$4.722,$107.462,$21.557,$85.905,-,$85.905,-,$85.905,$121.139,$102.74,60,60,$1.43,$1.43
2019-03-31,$544.895,$88.178,$456.717,$96.314,$217.61,-,$402.102,$142.793,$7.434,$150.227,$34.14,$116.087,-,$116.087,-,$116.087,$157.038,$142.793,60,60,$1.94,$1.93
2018-12-31,$543.77,$86.714,$457.056,$92.038,$206.802,-,$385.554,$158.216,$7.095,$165.311,$34.406,$130.905,-,$130.905,-,$130.905,$172.217,$158.216,60,61,$2.17,$2.16
2018-09-30,$562.709,$93.44,$469.269,$95.078,$202.173,-,$409.117,$153.592,$5.667,$159.259,$26.378,$132.881,-,$132.881,-,$132.881,$169.002,$153.592,61,62,$2.19,$2.15
