,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$3,315","$2,109","$1,206",-,$903,-,"$3,148",$167,$-65,$102,$1,$101,-,$103,-,$104,"$1,128",$167,619,627,$0.18,$0.17
2020-09-30,"$3,197","$2,104","$1,093",-,$862,-,"$2,966",$231,$-88,$143,$121,$22,-,$22,-,$20,"$1,169",$231,620,627,$0.03,$0.03
2020-06-30,"$2,962","$2,046",$916,-,$870,-,"$2,916",$46,$-14,$32,$4,$28,-,$21,-,$19,$970,$46,618,625,$0.03,$0.03
2020-03-31,"$3,078","$2,089",$989,-,$881,-,"$2,970",$108,$-119,$-11,$-30,$19,-,$18,-,$15,"$1,030",$108,616,625,$0.02,$0.02
2019-12-31,"$3,342","$1,987","$1,355",-,"$1,232",-,"$3,219",$123,$-306,$-183,$-20,$-163,-,$-157,-,$-158,"$1,086",$123,445,451,$-0.57,$-0.55
2019-09-30,"$2,822","$1,838",$984,-,$757,$-87,"$2,682",$140,$69,$209,$48,$161,-,$156,-,$154,$899,$140,516,524,$0.30,$0.29
2019-06-30,"$2,112","$1,404",$708,-,$317,-,"$1,721",$391,$-192,$199,$40,$159,-,$155,-,$154,$765,$391,324,327,$0.48,$0.47
2019-03-31,"$2,057","$1,381",$676,-,$361,-,"$1,742",$315,$-127,$188,$32,$156,-,$149,-,$148,$687,$315,323,326,$0.46,$0.45
2018-12-31,"$2,167","$1,377",$790,-,$321,-,"$1,698",$469,$-70,$399,$86,$313,-,$310,-,$298,$833,$469,328,332,$0.92,$0.90
2018-09-30,"$2,084","$1,364",$720,-,$283,$-95,"$1,742",$342,$-138,$204,$37,$167,-,$163,-,$154,$700,$342,328,331,$0.47,$0.47
2018-06-30,"$2,106","$1,414",$692,-,$339,-,"$1,753",$353,$-77,$276,$51,$225,-,$218,-,$212,$711,$353,329,333,$0.64,$0.64
2018-03-31,"$2,066","$1,414",$652,-,$358,-,"$1,772",$294,$-69,$225,$34,$191,-,$190,-,$182,$651,$294,330,334,$0.55,$0.54
2017-12-31,"$2,166","$1,397",$769,-,$338,-,"$1,735",$431,$-66,$365,$-581,$946,-,$943,-,$934,$786,$431,330,336,$2.83,$2.76
2017-09-30,"$2,096","$1,386",$710,-,$325,-,"$1,711",$385,$-266,$119,$50,$69,-,$69,-,$59,$725,$385,331,336,$0.18,$0.18
2017-06-30,"$2,258","$1,520",$738,-,$368,-,"$1,888",$370,$-87,$283,$136,$147,-,$147,-,$139,$716,$370,330,334,$0.42,$0.42
2017-03-31,"$2,148","$1,491",$657,-,$411,-,"$1,902",$246,$-37,$209,$74,$135,-,$135,-,$129,$590,$246,328,333,$0.39,$0.39
2016-12-31,"$2,036","$1,215",$821,-,$457,-,"$1,672",$364,$-100,$264,$91,$173,-,$173,-,$164,$646,$364,326,330,$0.50,$0.49
2016-09-30,"$2,309","$1,527",$782,-,$384,-,"$1,911",$398,$-104,$294,$103,$191,-,$191,-,$185,$695,$398,326,330,$0.57,$0.56
2016-06-30,"$2,305","$1,600",$705,-,$422,-,"$2,022",$283,$-94,$189,$66,$123,-,$123,$1,$121,$578,$283,325,329,$0.37,$0.37
2016-03-31,"$2,181","$1,553",$628,-,$444,-,"$1,997",$184,$-94,$90,$31,$59,-,$59,-,$55,$482,$184,324,327,$0.17,$0.17
2015-12-31,"$1,875","$1,233",$642,-,$383,-,"$1,616",$259,$-83,$176,$65,$111,-,$111,-,$106,$468,$259,285,289,$0.36,$0.34
2015-09-30,"$1,579","$1,022",$557,-,$219,-,"$1,241",$338,$-56,$282,$100,$182,-,$182,$-2,$175,$497,$338,280,284,$0.62,$0.62
2015-06-30,"$1,587","$1,070",$517,-,$230,-,"$1,300",$287,$116,$403,$156,$247,-,$247,$-2,$240,$444,$287,281,284,$0.85,$0.84
2015-03-31,"$1,555","$1,070",$485,-,$270,-,"$1,340",$215,$-39,$176,$58,$118,-,$118,$-3,$111,$370,$215,283,287,$0.39,$0.39
