,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$3,832","$1,857","$1,975",-,"$1,459",-,"$3,316",$516,$-180,$336,$20,$316,-,$313,-,$300,"$1,301",$516,672,683,$0.45,$0.44
2020-09-30,"$3,786","$1,868","$1,918",-,"$1,412",$36,"$3,244",$542,$-161,$381,$124,$257,-,$276,-,$264,"$1,341",$542,670,680,$0.39,$0.39
2020-06-30,"$3,465","$1,920","$1,545",-,"$1,377",$-3,"$3,300",$165,$-173,$-8,$-27,$19,-,$9,-,$2,$994,$165,670,681,$0.00,$0.00
2020-03-31,"$3,769","$2,167","$1,602",-,"$1,404",$431,"$3,140",$629,$-167,$462,$79,$383,-,$377,-,$392,"$1,473",$629,678,691,$0.58,$0.57
2019-12-31,"$4,045","$2,109","$1,936",-,"$1,463",$5,"$3,567",$478,$-200,$278,$54,$224,-,$241,-,$247,"$1,278",$478,512,523,$0.25,$0.26
2019-09-30,"$3,128","$1,617","$1,511",-,"$1,137",-,"$2,754",$374,$-118,$256,$53,$203,-,$225,-,$198,$956,$374,585,597,$0.34,$0.33
2019-06-30,"$1,512",$785,$727,-,$343,-,"$1,128",$384,$-93,$291,$60,$231,-,$223,-,$223,$575,$384,393,400,$0.57,$0.56
2019-03-31,"$1,502",$798,$704,-,$341,$10,"$1,129",$373,$-115,$258,$31,$227,-,$225,-,$225,$578,$373,392,399,$0.58,$0.56
2018-12-31,"$1,551",$822,$729,-,$298,-,"$1,120",$431,$-59,$372,$88,$284,-,$286,-,$286,$581,$431,406,414,$0.74,$0.72
2018-09-30,"$1,412",$749,$663,-,$305,$-2,"$1,056",$356,$-52,$304,$78,$226,-,$227,-,$227,$492,$356,404,412,$0.56,$0.55
2018-06-30,"$1,420",$739,$681,-,$320,$-3,"$1,062",$358,$-42,$316,$72,$244,-,$251,-,$251,$494,$358,408,416,$0.61,$0.60
2018-03-31,"$1,440",$759,$681,-,$305,$232,$832,$608,$-45,$563,$140,$423,-,$423,-,$423,$742,$608,413,422,$1.02,$1.00
2017-12-31,"$1,516",$502,"$1,014",-,$589,-,"$1,091",$425,$-45,$380,$-151,$531,-,$532,-,$546,$539,$425,422,431,$1.30,$1.28
2017-09-30,"$1,400",$746,$654,-,$284,-,"$1,030",$370,$-45,$325,$98,$227,-,$232,-,$232,$481,$370,420,429,$0.55,$0.54
2017-06-30,"$1,386","$1,024",$362,-,-,$10,"$1,014",$372,$-42,$330,$109,$221,-,$221,-,$221,$483,$372,424,433,$0.52,$0.51
