,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$4,087","$3,346",$741,-,$442,-,"$3,858",$229,$75,$304,$74,$230,-,$230,-,$224,$305,$229,595,598,$0.38,$0.37
2020-09-30,"$2,717","$1,168","$1,549",-,$388,-,"$1,624","$1,093",$386,"$1,479",$362,"$1,117",-,"$1,117",-,"$1,106","$1,166","$1,093",603,605,$1.83,$1.83
2020-06-30,"$2,418","$1,187","$1,231",-,$494,-,"$1,775",$643,$-443,$200,$55,$145,-,$145,-,$122,$742,$643,613,616,$0.21,$0.21
2020-03-31,"$3,440","$2,061","$1,379",-,$464,-,"$2,582",$858,$-713,$145,$55,$90,-,$90,-,$78,$920,$858,608,612,$0.13,$0.13
2019-12-31,"$3,778","$3,091",$687,-,$431,-,"$3,579",$199,$220,$419,$105,$314,-,$314,-,$300,$261,$199,617,620,$0.49,$0.48
2019-09-30,"$2,667","$1,468","$1,199",-,$352,-,"$1,870",$797,$-97,$700,$187,$513,-,$513,-,$499,$856,$797,622,624,$0.80,$0.80
2019-06-30,"$2,513","$1,358","$1,155",-,$455,-,"$1,873",$640,$16,$656,$191,$465,-,$465,-,$454,$709,$640,621,621,$0.74,$0.74
2019-03-31,"$2,752","$1,660","$1,092",-,$336,-,"$2,054",$698,$8,$706,$167,$539,-,$539,-,$529,$766,$698,621,621,$0.85,$0.85
2018-12-31,"$3,583","$2,818",$765,-,$329,-,"$3,198",$385,$-354,$31,$7,$24,-,$24,-,$8,$445,$385,621,621,$0.01,$0.01
2018-09-30,"$2,541","$1,491","$1,050",-,$299,-,"$1,833",$708,$123,$831,$216,$615,-,$615,-,$604,$761,$708,621,621,$0.97,$0.97
2018-06-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018-03-31,"$2,463","$1,444","$1,019",-,$324,-,"$1,811",$652,$2,$654,$188,$466,-,$466,-,$457,$706,$652,621,621,$0.74,$0.74
2017-12-31,"$3,108","$2,346",$762,-,$309,-,"$2,697",$411,$-99,$312,$-570,$882,-,$882,-,$869,$411,$411,-,-,-,-
2017-06-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
