,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$1,228.941",$738.273,$490.668,-,$144.93,$-74.345,$957.548,$271.393,$-21.409,$249.984,$45.744,$204.24,-,$204.24,-,$204.24,$271.393,$271.393,106,107,$1.95,$1.92
2020-09-30,"$1,195.042",$725.59,$469.452,-,$140.843,$-75.397,$941.83,$253.212,$-21.674,$231.538,$42.593,$188.945,-,$188.945,-,$188.945,$253.212,$253.212,106,107,$1.78,$1.76
2020-06-30,"$1,180.884",$726.956,$453.928,-,$146.16,$-72.714,$945.83,$235.054,$-22.813,$212.241,$39.193,$173.048,-,$173.048,-,$173.048,$235.054,$235.054,106,107,$1.63,$1.62
2020-03-31,"$1,133.054",$686.906,$446.148,-,$143.837,$-78.582,$909.325,$223.729,$-20.808,$202.921,$37.381,$165.54,-,$165.54,-,$165.54,$223.729,$223.729,107,109,$1.54,$1.52
2019-12-31,"$1,136.576",$671.283,$465.293,-,$139.29,$-78.413,$888.986,$247.59,$-20.502,$227.088,$40.027,$187.061,-,$187.061,-,$187.061,$247.59,$247.59,109,111,$1.74,$1.69
2019-09-30,"$1,141.279",$659.831,$481.448,-,$138.449,$-74.575,$872.855,$268.424,$-21.094,$247.33,$45.512,$201.818,-,$201.818,-,$201.818,$268.424,$268.424,109,111,$1.85,$1.82
2019-06-30,"$1,130.461",$663.06,$467.401,-,$138.165,$-79.044,$880.269,$250.192,$-21.432,$228.76,$42.151,$186.609,-,$186.609,$-0.043,$186.566,$250.192,$250.192,110,112,$1.70,$1.67
2019-03-31,"$1,119.216",$661.222,$457.994,-,$135.822,$-72.793,$869.837,$249.379,$-21.278,$228.101,$42.707,$185.394,-,$185.394,$-0.049,$185.345,$249.379,$249.379,110,112,$1.68,$1.65
2018-12-31,"$1,064.737",$638.909,$425.828,-,$128.501,$-70.082,$837.492,$227.245,$-23.61,$203.635,$38.929,$164.706,-,$164.706,$0.011,$164.717,$227.245,$227.245,113,115,$1.48,$1.46
2018-09-30,"$1,083.802",$637.488,$446.314,-,$129.492,$-74.059,$841.039,$242.763,$-22.433,$220.33,$41.63,$178.7,-,$178.7,$0.024,$178.724,$242.763,$242.763,113,115,$1.59,$1.55
2018-06-30,"$1,084.776",$637.804,$446.972,-,$129.077,$-68.62,$835.501,$249.275,$-22.411,$226.864,$42.471,$184.393,-,$184.393,$0.032,$184.425,$249.275,$249.275,113,116,$1.63,$1.59
2018-03-31,"$1,070.436",$639.528,$430.908,-,$129.62,$-66.824,$835.972,$234.464,$-21.622,$212.842,$39.131,$173.711,-,$173.711,$-0.111,$173.6,$234.464,$234.464,114,117,$1.52,$1.49
2017-12-31,"$1,056.899",$629.314,$427.585,-,$120.04,$-69.467,$818.821,$238.078,$-21.707,$216.371,$-811.005,"$1,027.376",-,"$1,027.376",$-0.03,"$1,027.346",$238.078,$238.078,116,119,$8.85,$8.64
2017-09-30,"$1,046.015",$619.082,$426.933,-,$122.334,$-63.019,$804.435,$241.58,$-20.97,$220.61,$67.264,$153.346,-,$153.346,$-0.012,$153.334,$241.58,$241.58,116,118,$1.32,$1.29
2017-06-30,"$1,029.078",$621.447,$407.631,-,$122.121,$-62.428,$805.996,$223.082,$-21.156,$201.926,$61.563,$140.363,-,$140.363,$-0.09,$140.273,$223.082,$223.082,117,119,$1.20,$1.18
2017-03-31,"$1,023.581",$622.892,$400.689,-,$125.908,$-62.341,$811.141,$212.44,$-20.699,$191.741,$54.563,$137.178,-,$137.178,$-3.637,$133.541,$212.44,$212.44,118,120,$1.13,$1.11
2016-12-31,$975.345,$603.703,$371.642,-,$116.191,$-58.984,$778.878,$196.467,$-20.485,$175.982,$51.17,$124.812,-,$124.812,$10.636,$135.448,$196.467,$196.467,120,122,$1.14,$1.10
2016-09-30,$989.773,$593.305,$396.468,-,$116.821,$-57.805,$767.931,$221.842,$-20.381,$201.461,$59.551,$141.91,-,$141.91,$9.959,$151.869,$221.842,$221.842,119,122,$1.27,$1.25
2016-06-30,$991.884,$594.339,$397.545,-,$117.245,$-57.846,$769.43,$222.454,$-23.11,$199.344,$60.05,$139.294,-,$139.294,$-0.865,$138.429,$222.454,$222.454,120,123,$1.15,$1.13
2016-03-31,$977.627,$586.575,$391.052,-,$118.806,$-57.429,$762.81,$214.817,$-19.369,$195.448,$61.874,$133.574,-,$133.574,$-9.541,$124.033,$214.817,$214.817,121,123,$1.02,$1.01
2015-12-31,$933.86,$570.351,$363.509,-,$111.584,$-56.725,$738.66,$195.2,$-19.222,$175.978,$56.848,$119.13,-,$119.13,$13.826,$132.956,$195.2,$195.2,125,127,$1.07,$1.06
2015-09-30,$947.154,$561.074,$386.08,-,$111.643,$-56.182,$728.899,$218.255,$-19.246,$199.009,$65.151,$133.858,-,$133.858,$11.528,$145.386,$218.255,$218.255,124,126,$1.17,$1.15
