,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$2,757","$2,210",$547,-,$256,-,"$2,452",$305,$-2,$303,$54,$249,-,$249,-,$249,$390,$318,41,41,$6.14,$6.16
2020-09-30,"$2,314","$1,878",$436,-,$220,-,"$2,092",$222,$4,$226,$4,$222,-,$222,-,$222,$289,$228,41,41,$5.47,$5.45
2020-06-30,"$2,027","$1,763",$264,-,$214,-,"$1,970",$57,$8,$65,$12,$53,-,$53,-,$53,$126,$64,41,41,$1.30,$1.30
2020-03-31,"$2,263","$1,840",$423,-,$214,-,"$2,048",$215,$1,$216,$44,$172,-,$172,-,$172,$280,$221,41,41,$4.23,$4.23
2019-12-31,"$2,412","$1,980",$432,-,$224,-,"$2,226",$186,$-14,$172,$23,$149,-,$149,-,$149,$289,$193,41,41,$3.60,$3.60
2019-09-30,"$2,219","$1,802",$417,-,$209,-,"$2,005",$214,$-16,$198,$44,$154,-,$154,-,$154,$276,$220,41,41,$3.74,$3.74
2019-06-30,"$2,188","$1,834",$354,-,$184,-,"$2,013",$175,$-11,$164,$36,$128,-,$128,-,$128,$234,$180,42,42,$3.07,$3.07
2019-03-31,"$2,080","$1,752",$328,-,$171,-,"$1,919",$161,$-12,$149,$31,$118,-,$118,-,$118,$218,$165,41,41,$2.85,$2.85
2018-12-31,"$2,199","$1,729",$470,-,$262,-,"$1,986",$213,$6,$219,$7,$212,-,$212,-,$212,$265,$218,44,44,$4.91,$4.92
2018-09-30,"$2,083","$1,593",$490,-,$208,-,"$1,793",$290,$5,$295,$66,$229,-,$229,-,$229,$353,$298,43,43,$5.29,$5.29
2018-06-30,"$2,020","$1,568",$452,-,$209,$12,"$1,763",$257,$5,$262,$23,$239,-,$239,-,$239,$313,$259,44,44,$5.41,$5.40
2018-03-31,"$1,874","$1,495",$379,-,$192,$2,"$1,683",$191,$4,$195,$39,$156,-,$156,-,$156,$244,$193,45,45,$3.48,$3.48
2017-12-31,"$1,996","$1,549",$447,-,$218,-,"$1,765",$231,$-44,$187,$123,$64,-,$64,-,$64,$287,$233,46,46,$1.41,$1.42
2017-09-30,"$1,863","$1,448",$415,-,$181,-,"$1,622",$241,$-21,$220,$71,$149,-,$149,-,$149,$300,$248,45,46,$3.28,$3.27
2017-06-30,"$1,858","$1,436",$422,-,$182,-,"$1,617",$241,$-23,$218,$71,$147,-,$147,-,$147,$293,$242,46,46,$3.22,$3.21
2017-03-31,"$1,724","$1,380",$344,-,$178,-,"$1,556",$168,$-21,$147,$28,$119,-,$119,-,$119,$224,$170,46,46,$2.57,$2.56
2016-12-31,"$1,922","$1,317",$605,-,$333,-,"$1,636",$286,$-35,$251,$54,$197,-,$197,-,$197,$333,$285,47,47,$4.24,$4.20
2016-09-30,"$1,683","$1,367",$316,-,$147,-,"$1,508",$175,$-18,$157,$50,$107,-,$107,-,$107,$227,$181,47,47,$2.28,$2.27
2016-06-30,"$1,700","$1,333",$367,-,$151,-,"$1,483",$217,$-18,$199,$66,$133,-,$133,-,$133,$267,$218,47,48,$2.83,$2.80
2016-03-31,"$1,763","$1,428",$335,-,$137,-,"$1,565",$198,$-21,$177,$41,$136,-,$136,-,$136,$246,$198,47,47,$2.89,$2.87
