,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2021-01-31,"$2,461.147","$2,010.977",$450.17,-,$196.38,-,"$2,193.129",$268.018,$9.064,$277.082,$54.687,$222.395,-,$222.395,-,$222.283,$333.289,$282.246,540,547,$0.41,$0.41
2020-10-31,"$2,420.106","$1,962.339",$457.767,-,$190.797,-,"$2,143.408",$276.698,$2.035,$278.732,$44.208,$234.524,-,$234.524,-,$234.357,$342.433,$286.426,538,547,$0.44,$0.42
2020-07-31,"$2,381.457","$1,959.032",$422.425,-,$181.085,-,"$2,131.882",$249.575,$9.789,$259.364,$56.103,$203.261,-,$203.261,-,$203.119,$307.667,$257.81,539,547,$0.38,$0.37
2020-04-30,"$2,422.465","$1,945.113",$477.352,-,$193.912,-,"$2,129.004",$293.461,$-6.971,$286.489,$58.873,$227.616,-,$227.616,-,$227.734,$354.07,$303.482,538,546,$0.42,$0.42
2020-01-31,"$2,384.434","$1,916.014",$468.42,-,$195.521,-,"$2,103.947",$280.487,$9.674,$290.162,$47.209,$242.953,-,$242.953,-,$242.872,$337.404,$288.075,535,545,$0.45,$0.45
2019-10-31,"$2,501.513","$2,007.79",$493.723,-,$183.795,-,"$2,180.517",$320.996,$2.698,$323.694,$68.128,$255.566,-,$255.566,-,$255.503,$375.058,$332.065,535,545,$0.48,$0.47
2019-07-31,"$2,290.705","$1,857.263",$433.442,-,$180.169,-,"$2,034.048",$256.657,$4.343,$261,$61.573,$199.427,-,$199.427,-,$199.449,$301.513,$260.041,534,544,$0.37,$0.37
2019-04-30,"$2,344.744","$1,875.595",$469.149,-,$170.076,-,"$2,032.38",$312.364,$5.682,$318.046,$35.41,$282.636,-,$282.636,-,$282.429,$366.38,$325.655,535,546,$0.53,$0.52
2019-01-31,"$2,360.355","$1,872.021",$488.334,-,$193.544,-,"$2,054.107",$306.248,$0.727,$306.975,$65.456,$241.519,-,$241.519,-,$241.425,$357.724,$317.706,534,547,$0.45,$0.44
2018-10-31,"$2,524.697","$1,991.369",$533.329,-,$205.287,-,"$2,205.12",$319.577,$1.928,$321.504,$60.008,$261.496,-,$261.496,-,$261.406,$386.42,$328.391,531,544,$0.49,$0.47
2018-07-31,"$2,359.142","$1,904.096",$455.046,-,$211.497,-,"$2,102.452",$256.69,$1.042,$257.732,$47.379,$210.353,-,$210.353,-,$210.243,$310.623,$269.831,531,544,$0.40,$0.39
2018-04-30,"$2,330.568","$1,837.765",$492.803,-,$204.549,-,"$2,028.828",$301.74,$-4.857,$296.883,$59.361,$237.522,-,$237.522,-,$237.384,$356.419,$315.226,530,543,$0.45,$0.44
2018-01-31,"$2,331.293","$1,832.997",$498.296,-,$219.872,-,"$2,029.338",$301.955,$3.21,$305.165,$1.954,$303.211,-,$303.211,-,$303.107,$364.609,$325.486,529,543,$0.57,$0.56
2017-10-31,"$2,492.607","$1,987.581",$505.027,-,$191.418,-,"$2,166.965",$325.642,$4.366,$330.009,$111.646,$218.363,-,$218.363,-,$218.154,$372.892,$337.856,528,539,$0.41,$0.40
2017-07-31,"$2,207.375","$1,754.966",$452.409,-,$176.66,-,"$1,927.67",$279.705,$-1.681,$278.024,$95.473,$182.551,-,$182.551,-,$182.508,$316.454,$283.661,528,539,$0.35,$0.34
2017-04-30,"$2,187.309","$1,700.389",$486.92,-,$181.009,-,"$1,871.277",$316.032,$-0.205,$315.827,$104.941,$210.886,-,$210.886,-,$210.926,$358.162,$326.153,529,540,$0.40,$0.39
2017-01-31,"$2,280.227","$1,727.947",$552.28,-,$210.217,-,"$1,924.865",$355.362,$-0.577,$354.785,$119.482,$235.303,-,$235.303,-,$235.147,$399.98,$368.661,529,540,$0.44,$0.44
2016-10-31,"$2,627.94","$2,029.421",$598.519,-,$244.006,-,"$2,262.191",$365.749,$-1.017,$364.733,$120.543,$244.19,-,$244.19,-,$243.94,$412.433,$376.985,529,542,$0.46,$0.45
2016-07-31,"$2,302.376","$1,827.091",$475.285,-,$206.876,-,"$2,027.586",$274.79,$-0.673,$274.117,$78.341,$195.776,-,$195.776,-,$195.654,$313.783,$281.171,530,542,$0.37,$0.36
2016-04-30,"$2,300.235","$1,773.876",$526.359,-,$211.144,-,"$1,976.418",$323.817,$0.38,$324.197,$108.813,$215.384,-,$215.384,-,$215.397,$366.505,$333.41,530,544,$0.41,$0.40
2016-01-31,"$2,292.672","$1,734.661",$558.011,-,$209.948,-,"$1,933.134",$359.538,$-5.37,$354.168,$119.001,$235.167,-,$235.167,-,$235.061,$402.817,$371.013,529,543,$0.44,$0.43
2015-10-31,"$2,400.859","$1,905.828",$495.031,-,$188.952,-,"$2,108.36",$292.498,$-3.342,$289.156,$101.713,$187.443,-,$187.443,-,$187.231,$356.399,$300.455,528,541,$0.35,$0.35
2015-07-31,"$2,188.587","$1,779.197",$409.39,-,$184.627,-,"$1,957.428",$231.159,$-2.94,$228.219,$81.263,$146.956,-,$146.956,-,$146.938,$270.855,$237.555,529,541,$0.28,$0.27
2015-04-30,"$2,279.345","$1,819.789",$459.556,-,$189.733,-,"$2,001.648",$277.697,$-1.966,$275.731,$95.296,$180.435,-,$180.435,-,$180.201,$318.539,$285.571,528,541,$0.34,$0.33
2015-01-31,"$2,395.073","$1,950.468",$444.605,-,$180.299,-,"$2,129.107",$265.966,$-1.929,$264.037,$91.607,$172.43,-,$172.43,-,$171.718,$300.385,$267.626,527,540,$0.33,$0.32
2014-10-31,"$2,543.77","$2,120.187",$423.583,-,$165.939,-,"$2,280.403",$263.367,$-2.626,$260.742,$88.894,$171.848,-,$171.848,-,$171.264,$302,$269.091,528,540,$0.33,$0.32
2014-07-31,"$2,284.947","$1,920.948",$363.999,-,$153.035,-,"$2,070.443",$214.504,$-1.522,$212.982,$73.968,$139.014,-,$139.014,-,$137.975,$251.494,$218.044,528,541,$0.26,$0.26
2014-04-30,"$2,244.866","$1,866.108",$378.758,-,$165.785,-,"$2,028.31",$216.556,$-3.399,$213.157,$72.451,$140.706,-,$140.706,-,$140.09,$252.063,$220.139,528,541,$0.27,$0.26
2014-01-31,"$2,242.672","$1,844.03",$398.642,-,$166.189,-,"$2,005.48",$237.192,$-1.921,$235.271,$80.813,$154.458,-,$154.458,-,$153.348,$273.691,$241.931,528,540,$0.29,$0.28
2013-10-31,"$2,323.202","$1,937.686",$385.516,-,$147.444,-,"$2,083",$240.203,$-0.595,$239.607,$81.122,$158.485,-,$158.485,-,$157.34,$274.197,$242.333,529,540,$0.30,$0.29
2013-07-31,"$2,159.525","$1,829.219",$330.306,-,$150.999,-,"$1,978.872",$180.653,$-3.577,$177.076,$63.171,$113.905,-,$113.905,-,$113.635,$213.824,$181.999,529,542,$0.21,$0.21
2013-04-30,"$2,152.686","$1,799.885",$352.801,-,$173.066,-,"$1,965.757",$186.929,$-2.026,$184.903,$58.262,$126.641,-,$126.641,-,$125.52,$225.44,$194.123,530,542,$0.23,$0.23
2013-01-31,"$2,116.241","$1,772.048",$344.193,-,$155.831,-,"$1,918.036",$198.205,$-1.284,$196.921,$65.876,$131.045,-,$131.045,-,$129.716,$237.892,$208.048,528,538,$0.24,$0.24
2012-10-31,"$2,170.184","$1,818.405",$351.779,-,$159.685,-,"$1,968.039",$202.145,$-1.407,$200.738,$66.452,$134.286,-,$134.286,-,$132.601,$243.063,$212.196,527,538,$0.25,$0.24
2012-07-31,"$2,008.188","$1,701.132",$307.056,-,$145.022,-,"$1,836.331",$171.857,$-2.363,$169.494,$57.087,$112.407,-,$112.407,-,$111.167,$210.6,$181.68,527,537,$0.21,$0.20
