,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,$720.938,$311.436,$409.502,$38.777,$185.63,-,$535.843,$185.095,$-7.659,$177.436,$2.478,$174.958,-,$174.958,-,$174.79,$209.656,$185.095,85,87,$2.05,$2.01
2020-09-30,$721.789,$299.183,$422.606,$37.517,$213.233,-,$549.933,$171.856,$-7.902,$163.954,$17.633,$146.321,-,$146.321,-,$146.219,$196.507,$171.856,85,87,$1.71,$1.69
2020-06-30,$637.592,$258.25,$379.342,$31.645,$154.449,-,$444.344,$193.248,$-9.426,$183.822,$34.826,$148.996,-,$148.996,-,$148.94,$216.83,$193.248,85,86,$1.75,$1.72
2020-03-31,$626.336,$266.746,$359.59,$33.31,$181.955,-,$482.011,$144.325,$-7.552,$136.773,$24.917,$111.856,-,$111.856,-,$111.827,$167.529,$144.325,85,87,$1.31,$1.29
2019-12-31,$605.446,$274.297,$331.149,$35.16,$180.358,-,$489.815,$115.631,$-7.125,$108.506,$17.962,$90.544,-,$90.544,-,$90.496,$138.22,$115.631,86,88,$1.06,$1.05
2019-09-30,$605.303,$260.353,$344.95,$34.26,$170.888,-,$465.501,$139.802,$-7.004,$132.798,$23.96,$108.838,-,$108.838,-,$108.837,$162.248,$139.802,86,88,$1.26,$1.24
2019-06-30,$620.103,$262.25,$357.853,$32.259,$161.319,-,$455.828,$164.275,$-8.153,$156.122,$30.421,$125.701,-,$125.701,-,$125.706,$185.896,$164.275,86,88,$1.46,$1.43
2019-03-31,$576.056,$244.459,$331.597,$31.514,$166.945,-,$442.918,$133.138,$-8.346,$124.792,$22.083,$102.709,-,$102.709,-,$102.681,$154.493,$133.138,86,88,$1.19,$1.17
2018-12-31,$549.386,$249.025,$300.361,$30.138,$154.876,-,$434.039,$115.347,$-8.302,$107.045,$21.368,$85.677,-,$85.677,-,$85.638,$135.951,$115.347,87,88,$1.00,$0.97
2018-09-30,$545.448,$239.805,$305.643,$29.192,$159.101,-,$428.098,$117.35,$-8.311,$109.039,$15.825,$93.214,-,$93.214,-,$93.251,$138.228,$117.35,87,88,$1.07,$1.05
2018-06-30,$580.752,$248.313,$332.439,$29.51,$157.335,-,$435.158,$145.594,$-8.285,$137.309,$28.629,$108.68,-,$108.68,-,$108.691,$166.486,$145.594,87,89,$1.25,$1.23
2018-03-31,$537.656,$234.557,$303.099,$29.023,$161.032,-,$424.612,$113.044,$-8.695,$104.349,$14.873,$89.476,-,$89.476,-,$89.451,$133.848,$113.044,87,89,$1.02,$1.01
2017-12-31,$506.121,$233.647,$272.474,$28.809,$145.857,-,$408.313,$97.808,$-8.122,$89.686,$51.396,$38.29,-,$38.29,-,$38.257,$119.328,$97.808,88,90,$0.44,$0.43
2017-09-30,$491.976,$217.974,$274.002,$27.585,$146.004,-,$391.563,$100.413,$-8.364,$92.049,$21.535,$70.514,-,$70.514,-,$70.511,$121.14,$100.413,88,89,$0.81,$0.79
2017-06-30,$508.94,$216.225,$292.715,$26.998,$143.153,-,$386.376,$122.564,$-7.979,$114.585,$29.178,$85.407,-,$85.407,-,$85.357,$143.15,$122.564,88,90,$0.97,$0.95
2017-03-31,$462.021,$203.83,$258.191,$25.79,$140.158,-,$369.778,$92.243,$-7.506,$84.737,$15.679,$69.058,-,$69.058,-,$69.019,$112.55,$92.243,88,90,$0.78,$0.77
2016-12-31,$442.996,$202.37,$240.626,$25.418,$131.383,-,$359.171,$83.825,$-6.698,$77.127,$24.756,$52.371,-,$52.371,-,$52.369,$104.909,$83.825,90,91,$0.58,$0.57
2016-09-30,$448.308,$201.578,$246.73,$25.672,$132.599,-,$359.849,$88.459,$-6.935,$81.524,$25.072,$56.452,-,$56.452,-,$56.455,$108.226,$88.459,90,91,$0.63,$0.62
2016-06-30,$466.569,$206.026,$260.543,$25.412,$130.969,-,$362.407,$104.162,$-7.276,$96.886,$29.68,$67.206,-,$67.206,-,$67.202,$123.826,$104.162,90,91,$0.75,$0.74
2016-03-31,$417.55,$190.013,$227.537,$24.62,$129.124,-,$343.757,$73.793,$-7.484,$66.309,$20.284,$46.025,-,$46.025,-,$46.019,$92.339,$73.793,90,91,$0.51,$0.51
2015-12-31,$399.685,$181.99,$217.695,$25.496,$125.288,-,$332.774,$66.911,$-7.126,$59.785,$15.395,$44.39,-,$44.39,-,$44.349,$85.105,$66.911,93,94,$0.49,$0.48
2015-09-30,$406.387,$182.113,$224.274,$24.862,$119.305,$-8.212,$334.492,$71.895,$-7.066,$64.829,$20.6,$44.229,-,$44.229,-,$44.223,$91.145,$71.895,92,93,$0.48,$0.48
2015-06-30,$413.343,$180.586,$232.757,$24.317,$120.137,-,$325.04,$88.303,$-6.7,$81.603,$24.665,$56.938,-,$56.938,-,$56.912,$105.093,$88.303,93,94,$0.61,$0.60
2015-03-31,$382.477,$166.933,$215.544,$25.006,$117.735,-,$309.674,$72.803,$-5.879,$66.924,$20.346,$46.578,-,$46.578,-,$46.594,$88.957,$72.803,94,96,$0.49,$0.49
2014-12-31,$351.959,$169.794,$182.165,$24.869,$122.495,-,$317.158,$34.801,$-4.939,$29.862,$3.911,$25.951,-,$25.951,-,$25.961,$50.079,$34.801,100,102,$0.29,$0.28
2014-09-30,$383.523,$170.187,$213.336,$24.847,$116.3,-,$311.334,$72.189,$-3.981,$68.208,$16.045,$52.163,-,$52.163,-,$52.142,$87.71,$72.189,99,101,$0.52,$0.52
2014-06-30,$390.122,$171.604,$218.518,$25.433,$109.866,-,$306.903,$83.219,$-2.477,$80.742,$23.498,$57.244,-,$57.244,-,$57.218,$97.914,$83.219,102,104,$0.56,$0.55
2014-03-31,$360.203,$158.106,$202.097,$23.114,$108.937,-,$290.157,$70.046,$-2.303,$67.743,$21.15,$46.593,-,$46.593,-,$46.585,$83.44,$70.046,103,105,$0.45,$0.45
2013-12-31,$354.072,$165.409,$188.663,$22.496,$104.841,-,$292.746,$61.326,$-1.368,$59.958,$16.722,$43.236,-,$43.236,-,$43.257,$74.792,$61.326,106,108,$0.42,$0.41
2013-09-30,$338.297,$152.514,$185.783,$21.568,$98.73,-,$272.812,$65.485,$-1.007,$64.478,$18.786,$45.692,-,$45.692,-,$45.688,$79.258,$65.485,105,106,$0.43,$0.43
2013-06-30,$352.583,$154.885,$197.698,$22.181,$96.754,-,$273.82,$78.763,$-0.735,$78.028,$24.029,$53.999,-,$53.999,-,$53.995,$92.607,$78.763,107,109,$0.51,$0.49
2013-03-31,$332.106,$148.132,$183.974,$21.758,$101.028,-,$270.918,$61.188,$-0.391,$60.797,$15.93,$44.867,-,$44.867,-,$44.86,$74.701,$61.188,109,111,$0.41,$0.41
2012-12-31,$319.538,$150.488,$169.05,$21.05,$84.573,-,$256.111,$63.427,$-0.343,$63.084,$19.724,$43.36,-,$43.36,-,$43.354,$77.345,$63.427,110,112,$0.40,$0.39
2012-09-30,$315.475,$144.84,$170.635,$20.349,$87.374,-,$252.563,$62.912,$-0.4,$62.512,$19.639,$42.873,-,$42.873,-,$42.853,$75.711,$62.912,110,112,$0.39,$0.38
2012-06-30,$335.649,$150.96,$184.689,$20.058,$88.814,-,$259.832,$75.817,$-0.446,$75.371,$24.051,$51.32,-,$51.32,-,$51.317,$88.803,$75.817,110,112,$0.47,$0.46
2012-03-31,$322.676,$147.902,$174.774,$20.557,$93.81,-,$262.269,$60.407,$-0.757,$59.65,$18.916,$40.734,-,$40.734,-,$40.743,$73.112,$60.407,110,113,$0.37,$0.36
2011-12-31,$307.201,$148.32,$158.881,$20.203,$83.379,-,$251.902,$55.299,$-0.603,$54.696,$16.698,$37.998,-,$37.998,-,$38.01,$68.113,$55.299,114,116,$0.34,$0.34
2011-09-30,$300.954,$142.287,$158.667,$19.406,$83.165,-,$244.858,$56.096,$-0.478,$55.618,$17.122,$38.496,-,$38.496,-,$38.507,$68.141,$56.096,113,116,$0.34,$0.33
2011-06-30,$317.862,$143.829,$174.033,$18.621,$84.114,-,$246.564,$71.298,$-0.363,$70.935,$22.281,$48.654,-,$48.654,-,$48.657,$83.177,$71.298,115,117,$0.42,$0.41
2011-03-31,$292.672,$137.747,$154.925,$17.812,$83.581,-,$239.14,$53.532,$-0.359,$53.173,$16.567,$36.606,-,$36.606,-,$36.612,$64.996,$53.532,115,118,$0.32,$0.31
2010-12-31,$283.757,$138.986,$144.771,$17.479,$76.488,-,$232.953,$50.804,$-0.338,$50.466,$14.086,$36.38,-,$36.38,-,$36.371,$62.643,$50.804,115,119,$0.32,$0.30
2010-09-30,$269.628,$127.421,$142.207,$17.203,$75.19,-,$219.814,$49.814,$-0.551,$49.263,$14.548,$34.715,-,$34.715,-,$34.694,$61.299,$49.814,115,119,$0.30,$0.29
2010-06-30,$281.482,$132.198,$149.284,$17.206,$77.243,-,$226.647,$54.835,$-0.551,$54.284,$17.087,$37.197,-,$37.197,-,$37.193,$66.221,$54.835,115,119,$0.32,$0.31
2010-03-31,$268.525,$126.164,$142.361,$16.709,$77.224,-,$220.097,$48.428,$-0.312,$48.116,$15.088,$33.028,-,$33.028,-,$33.026,$59.674,$48.428,116,120,$0.28,$0.28
2009-12-31,$270.335,$137.404,$132.931,$16.008,$72.776,-,$226.188,$44.147,$-0.243,$43.904,$12.943,$30.961,-,$30.961,-,$30.951,$56.702,$44.147,118,121,$0.27,$0.26
2009-09-30,$259.12,$128.643,$130.477,$16.583,$69.689,-,$214.915,$44.205,$-0.388,$43.817,$12.281,$31.536,-,$31.536,-,$31.536,$56.711,$44.205,117,121,$0.27,$0.26
2009-06-30,$265.723,$127.283,$138.44,$16.594,$72.67,-,$216.547,$49.176,$-0.403,$48.773,$15.106,$33.667,-,$33.667,-,$33.667,$61.332,$49.176,118,121,$0.28,$0.28
2009-03-31,$236.455,$112.022,$124.433,$15.939,$70.053,-,$198.014,$38.441,$-0.396,$38.045,$11.974,$26.071,-,$26.071,-,$26.071,$50.997,$38.441,118,121,$0.22,$0.21
