,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,$336.63,$189.751,$146.879,$31.766,$44.686,$-5.186,$271.389,$65.241,$0.355,$65.596,$15.92,$49.676,-,$49.676,-,$49.339,$88.607,$65.241,53,54,$0.92,$0.92
2020-09-30,$318.441,$165.649,$152.792,$31.71,$46.37,$11.29,$277.028,$41.413,$1.109,$42.522,$6.992,$35.53,-,$35.53,-,$35.604,$109.169,$41.413,53,54,$0.67,$0.66
2020-06-30,$296.411,$159.962,$136.449,$31.584,$43.725,$-13.931,$249.202,$47.209,$2.305,$49.514,$11.148,$38.366,-,$38.366,-,$38.226,$71.131,$47.209,53,54,$0.72,$0.71
2020-03-31,$249.242,$146.366,$102.876,$31.838,$45.807,$19.565,$204.446,$44.796,$3.264,$48.06,$11.294,$36.766,-,$36.766,-,$36.403,$68.895,$44.796,53,54,$0.69,$0.68
2019-12-31,$306.627,$182.424,$124.203,$30.469,$43.909,$-12.462,$306.384,$0.243,$2.717,$2.96,$7.263,$-4.303,-,$-4.303,-,$-4.45,$61.1,$0.243,53,54,$-0.08,$-0.08
2019-09-30,$329.138,$176.28,$152.858,$32.16,$45.745,$-0.808,$254.993,$74.145,$3.214,$77.359,$20.232,$57.127,-,$57.127,-,$57.253,$99.19,$74.145,53,54,$1.08,$1.07
2019-06-30,$363.769,$183.532,$180.237,$34.872,$49.201,$-5.074,$272.679,$91.09,$4.709,$95.799,$23.278,$72.521,-,$72.521,-,$72.272,$115.774,$91.09,53,54,$1.36,$1.34
2019-03-31,$315.047,$166.136,$148.911,$32.496,$46.487,$-1.613,$246.732,$68.315,$3.943,$72.258,$17.342,$54.916,-,$54.916,-,$55.159,$91.117,$68.315,53,54,$1.04,$1.02
2018-12-31,$330.051,$163.304,$166.747,$31.501,$43.856,$4.661,$234,$96.051,$4.814,$100.865,$25.399,$75.466,-,$75.466,-,$75.559,$117.428,$96.051,54,55,$1.42,$1.40
2018-09-30,$356.346,$161.162,$195.184,$30.909,$38.724,$-1.688,$232.483,$123.863,$4.307,$128.17,$27.418,$100.752,-,$100.752,-,$100.517,$144.03,$123.863,54,55,$1.88,$1.84
2018-06-30,$413.613,$178.638,$234.975,$31.813,$38.653,$-2.118,$251.222,$162.391,$1.115,$163.506,$41.889,$121.617,-,$121.617,-,$121.617,$181.895,$162.391,54,55,$2.27,$2.21
2018-03-31,$359.864,$156.502,$203.362,$28.546,$39.011,$5.295,$218.764,$141.1,$0.754,$141.854,$35.52,$106.334,-,$106.334,-,$106.334,$160.323,$141.1,54,55,$1.98,$1.93
2017-12-31,$361.055,$152.262,$208.793,$26.589,$35.03,$1.093,$212.788,$148.267,$0.155,$148.422,$95.466,$52.956,-,$52.956,-,$52.956,$166.419,$148.267,53,55,$0.99,$0.96
2017-09-30,$392.615,$168.06,$224.555,$25.541,$34.875,$-3.917,$232.393,$160.222,$0.334,$160.556,$44.959,$115.597,-,$115.597,-,$115.597,$176.924,$160.222,53,55,$2.16,$2.11
2017-06-30,$369.373,$163.077,$206.296,$25.96,$32.011,$-7.183,$228.231,$141.142,$0.491,$141.633,$37.53,$104.103,-,$104.103,-,$104.116,$156.352,$141.142,53,54,$1.95,$1.91
2017-03-31,$285.846,$128.579,$157.267,$22.78,$28.553,$-4.453,$184.365,$101.481,$-0.221,$101.26,$26.328,$74.932,-,$74.932,-,$74.945,$115.985,$101.481,53,54,$1.40,$1.38
2016-12-31,$280.121,$124.785,$155.336,$22.108,$29.847,$1.82,$174.92,$105.201,$1.075,$106.276,$31.146,$75.13,-,$75.13,-,$75.133,$119.03,$105.201,53,54,$1.42,$1.39
2016-09-30,$266.017,$121.226,$144.791,$20.543,$27.257,$-2.905,$171.931,$94.086,$0.567,$94.653,$25.426,$69.227,-,$69.227,-,$69.235,$108.079,$94.086,53,54,$1.30,$1.29
2016-06-30,$252.787,$115.084,$137.703,$18.412,$25.84,$1.556,$157.78,$95.007,$0.411,$95.418,$28.387,$67.031,-,$67.031,-,$67.058,$107.266,$95.007,53,54,$1.26,$1.25
2016-03-31,$207.248,$92.838,$114.41,$17.489,$21.935,$-4.967,$137.229,$70.019,$0.199,$70.218,$20.89,$49.328,-,$49.328,-,$49.326,$81.413,$70.019,53,54,$0.93,$0.92
2015-12-31,$223.626,$101.583,$122.043,$17.769,$23.358,$2.1,$140.61,$83.016,$-0.468,$82.548,$21.868,$60.68,-,$60.68,-,$60.705,$94.352,$83.016,53,53,$1.16,$1.12
2015-09-30,$243.541,$110.237,$133.304,$16.221,$22.396,$-5.125,$153.979,$89.562,$0.092,$89.654,$26.897,$62.757,-,$62.757,-,$62.791,$100.465,$89.562,53,53,$1.19,$1.18
2015-06-30,$235.138,$106.435,$128.703,$15.114,$22.979,$-3.167,$147.695,$87.443,$0.049,$87.492,$26.248,$61.244,-,$61.244,-,$61.299,$97.876,$87.443,53,53,$1.16,$1.15
2015-03-31,$198.96,$91.133,$107.827,$14.23,$20.327,$8.752,$116.938,$82.022,$-0.099,$81.923,$24.577,$57.346,-,$57.346,-,$57.359,$91.765,$82.022,52,53,$1.09,$1.08
2014-12-31,$207.402,$93.485,$113.917,$13.81,$23.055,$2.579,$127.771,$79.631,$0.124,$79.755,$23.324,$56.431,-,$56.431,-,$56.431,$88.834,$79.631,52,53,$1.08,$1.05
2014-09-30,$199.651,$90.561,$109.09,$13.447,$21.668,$3.614,$122.062,$77.589,$0.158,$77.747,$22.547,$55.2,-,$55.2,-,$55.2,$86.91,$77.589,52,53,$1.06,$1.05
2014-06-30,$192.204,$87.977,$104.227,$13.362,$21.171,$-0.945,$123.455,$68.749,$0.239,$68.988,$20.705,$48.283,-,$48.283,-,$48.283,$77.735,$68.749,52,53,$0.93,$0.92
2014-03-31,$170.575,$81.291,$89.284,$12.784,$20.081,$1.37,$112.786,$57.789,$0.195,$57.984,$17.453,$40.531,-,$40.531,-,$40.531,$65.891,$57.789,52,53,$0.78,$0.77
2013-12-31,$165.859,$84.337,$81.522,$10.878,$20.227,$-1.564,$117.006,$48.853,$0.13,$48.983,$12.388,$36.595,-,$36.595,-,$36.595,$56.963,$48.853,52,52,$0.71,$0.69
2013-09-30,$172.152,$79.339,$92.813,$11.501,$19.976,$-1.563,$112.379,$59.773,$0.281,$60.054,$17.716,$42.338,-,$42.338,-,$42.338,$68.302,$59.773,51,52,$0.82,$0.81
2013-06-30,$168.171,$78.249,$89.922,$10.483,$19.674,$0.11,$108.296,$59.875,$-0.274,$59.601,$17.881,$41.72,-,$41.72,-,$41.72,$67.543,$59.875,51,52,$0.81,$0.80
2013-03-31,$141.852,$66.211,$75.641,$8.798,$17.678,$0.481,$92.206,$49.646,$0.017,$49.663,$14.536,$35.127,-,$35.127,-,$35.127,$56.863,$49.646,51,52,$0.68,$0.67
2012-12-31,$145.03,$69.856,$75.174,$9.27,$17.011,$-1.634,$97.771,$47.259,$0.767,$48.026,$13.114,$34.912,-,$34.912,-,$34.912,$54.235,$47.259,50,52,$0.67,$0.67
