,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$1,059.653",$449.224,$610.429,-,$236.438,$285.366,$634.36,$425.293,$-182.235,$243.06,$-3.695,$246.755,-,$246.755,-,$247.411,-,$425.293,288,289,$0.86,$0.86
2020-09-30,"$1,036.647",$434.505,$602.142,-,$232.095,$75.84,$796.383,$240.264,$-187.768,$52.496,$13.934,$38.562,-,$38.562,-,$38.394,$401.666,$240.264,288,289,$0.13,$0.13
2020-06-30,$982.239,$406.693,$575.546,-,$241.947,$1.275,$850.513,$131.726,$-129.156,$2.57,$9.683,$-7.113,-,$-7.113,-,$-7.086,$300.064,$131.726,288,288,$-0.02,$-0.02
2020-03-31,"$1,068.731",$466.921,$601.81,-,$238.733,$-21.945,$931.229,$137.502,$-62.923,$74.579,$9.687,$64.892,-,$64.892,-,$63.975,$327.599,$137.502,288,288,$0.22,$0.22
2019-12-31,"$1,079.59",$459.488,$620.102,-,$233.646,$46.737,$873.516,$206.074,$-152.166,$53.908,$16.804,$37.104,-,$37.104,-,$37.7,$384.354,$206.074,287,288,$0.14,$0.14
2019-09-30,"$1,062.224",$449.372,$612.852,-,$237.151,$9.284,$838.75,$223.474,$-93.262,$130.212,$21.928,$108.284,-,$108.284,-,$107.675,$385.113,$223.474,287,288,$0.37,$0.37
2019-06-30,"$1,066.907",$463.809,$603.098,-,$252.156,$8.405,$873.792,$193.115,$-90.122,$102.993,$10.646,$92.347,-,$92.347,$0.128,$92.441,$361.546,$193.115,287,287,$0.32,$0.32
2019-03-31,"$1,053.863",$460.646,$593.217,-,$268.711,$-0.602,$895.188,$158.675,$-117.646,$41.029,$10.553,$30.476,-,$30.476,$-0.024,$29.561,$325.266,$158.675,287,287,$0.10,$0.10
2018-12-31,"$1,061.489",$445.751,$615.738,-,$225.099,$71.558,$814.876,$246.613,$-92.776,$153.837,$1.505,$152.332,-,$152.332,-,$151.619,$415.67,$246.613,286,287,$0.53,$0.52
2018-09-30,"$1,060.991",$448.018,$612.973,-,$259.929,$0.388,$865.356,$195.635,$-104.263,$91.372,$14.023,$77.349,-,$77.349,$-11.605,$65.869,$357.389,$195.635,286,287,$0.23,$0.23
2018-06-30,"$1,060.823",$451.464,$609.359,-,$252.225,$0.546,$859.363,$201.46,$-83.14,$118.32,$26.057,$92.263,-,$92.263,$-0.36,$91.761,$361.707,$201.46,286,287,$0.32,$0.32
2018-03-31,"$1,042.458",$448.721,$593.737,-,$269.73,$1.13,$877.899,$164.559,$-117.777,$46.782,$1.168,$45.614,-,$45.614,$-0.462,$44.684,$328.69,$164.559,285,286,$0.16,$0.16
2017-12-31,$991.235,$405.507,$585.728,-,$217.212,$-3.212,$851.889,$139.346,$-134.315,$5.031,$-6.535,$11.566,-,$10.641,$-2.87,$9.013,$286.472,$139.346,266,267,$0.03,$0.03
2017-09-30,$965.661,$418.327,$547.334,-,$242.357,$0.292,$788.905,$176.756,$-148.468,$28.288,$2.268,$26.02,$-0.638,$25.382,$-1.058,$24.345,$309.298,$176.756,265,266,$0.09,$0.09
2017-06-30,$949.806,$414.284,$535.522,-,$237.445,$0.216,$779.612,$170.194,$-70.6,$99.594,$18.009,$81.585,$1.563,$83.148,$-2.026,$78.63,$302.261,$170.194,264,265,$0.30,$0.30
2017-03-31,$938.876,$426.707,$512.169,-,$240.166,$0.459,$791.121,$147.755,$-79.691,$68.064,$9.22,$58.844,-,$58.844,$-0.337,$58.125,$276.369,$147.755,264,265,$0.22,$0.22
2016-12-31,$934.193,$416.215,$517.978,-,$250.545,$-2.543,$794.733,$139.46,$-92.728,$46.732,$-1.213,$47.945,$1.855,$49.8,$-0.275,$48.938,$268.8,$139.46,246,247,$0.16,$0.15
2016-09-30,$942.822,$429.808,$513.014,-,$252.944,$0.054,$807.368,$135.454,$-106.602,$28.852,$23.418,$5.434,$0.325,$5.759,$2.041,$7.08,$263.713,$135.454,263,265,$0.03,$0.03
2016-06-30,$883.748,$395.649,$488.099,-,$277.077,$0.626,$787.122,$96.626,$-100.507,$-3.881,$10.839,$-14.72,-,$-14.72,$1.587,$-13.968,$214.551,$96.626,246,246,$-0.06,$-0.06
2016-03-31,$750.69,$326.105,$424.585,-,$207.766,$0.451,$620.624,$130.066,$-55.125,$74.941,$11.9,$63.041,-,$63.041,-,$62.774,$220.019,$130.066,212,212,$0.30,$0.30
2015-12-31,$752.427,$324.425,$428.002,-,$216.968,$-2.293,$629.158,$123.269,$-106.742,$16.527,$10.587,$5.94,-,$5.94,-,$5.705,$211.547,$123.269,211,212,$0.02,$0.02
2015-09-30,$746.529,$317.663,$428.866,-,$215.693,$0.141,$619.707,$126.822,$-100.381,$26.441,$3.774,$22.667,$0.85,$23.517,-,$23.11,$215.397,$126.822,211,212,$0.11,$0.11
2015-06-30,$759.734,$326.283,$433.451,-,$215.885,$-0.515,$630.232,$129.502,$-68.091,$61.411,$7.404,$54.007,-,$54.007,-,$53.33,$219.319,$129.502,211,212,$0.25,$0.25
