,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$1,329.1",$433.3,$895.8,$149.8,$330.2,-,$913.3,$415.8,$20.7,$436.5,$72.9,$363.6,-,$363.6,-,$365.2,$500.3,$415.8,117,120,$3.11,$3.03
2020-09-30,"$1,077.7",$353.4,$724.3,$155,$298.9,-,$807.3,$270.4,$84.8,$355.2,$38.4,$316.8,-,$316.8,-,$313.9,$343.8,$270.4,117,121,$2.68,$2.60
2020-06-30,$852.1,$349.2,$502.9,$143.2,$279.1,-,$771.5,$80.6,$26.6,$107.2,$37,$70.2,-,$70.2,-,$68,$148.3,$80.6,117,120,$0.58,$0.57
2020-03-31,"$1,099.5",$361.3,$738.2,$147.1,$308.1,-,$816.5,$283,$25.1,$308.1,$-8.1,$316.2,-,$316.2,-,$313.5,$350.7,$283,116,120,$2.69,$2.62
2019-12-31,"$1,277.7",$381.7,$896,$156.6,$341.8,-,$880.1,$397.6,$34.1,$431.7,$69,$362.7,-,$362.7,-,$357.7,$465.3,$397.6,115,120,$3.08,$2.98
2019-09-30,"$1,128.2",$342.6,$785.6,$135.9,$284,-,$762.5,$365.7,$33.3,$399,$0.3,$398.7,-,$398.7,-,$396.8,$419.9,$365.7,115,119,$3.44,$3.33
2019-06-30,"$1,098.9",$339.9,$759,$120.8,$279.2,-,$739.9,$359,$32.8,$391.8,$75.4,$316.4,-,$316.4,-,$318.3,$410,$359,115,119,$2.76,$2.67
2019-03-31,$973.7,$304.1,$669.6,$144,$273.4,-,$721.5,$252.2,$27.5,$279.7,$-24.3,$304,-,$304,-,$306.5,$295.4,$252.2,115,120,$2.67,$2.56
2018-12-31,"$1,046.5",$310.8,$735.7,$119.9,$283.8,-,$714.5,$332,$26.8,$358.8,$67.5,$291.3,-,$291.3,-,$292.5,$367.8,$332,114,119,$2.55,$2.45
2018-09-30,$920.9,$278.6,$642.3,$107.6,$221.4,-,$607.6,$313.3,$21.9,$335.2,$43.4,$291.8,-,$291.8,-,$292.5,$350.1,$313.3,114,119,$2.57,$2.45
2018-06-30,$909.3,$277,$632.3,$95.1,$259.8,-,$631.9,$277.4,$18.2,$295.6,$41,$254.6,-,$254.6,-,$255.3,$304.5,$277.4,114,119,$2.25,$2.15
2018-03-31,$847.5,$253.7,$593.8,$95.5,$221.6,-,$570.8,$276.7,$13.2,$289.9,$2.6,$287.3,-,$287.3,-,$287.6,$310.4,$276.7,113,118,$2.55,$2.44
2017-12-31,$892,$258,$634,$87.1,$217.9,-,$563,$329,$12.3,$341.3,$372.8,$-31.5,-,$-31.5,-,$-31.5,$359.3,$329,112,116,$-0.29,$-0.30
2017-09-30,$807.8,$239.7,$568.1,$83.4,$204.1,-,$527.2,$280.6,$10.8,$291.4,$-7.2,$298.6,-,$298.6,-,$298.6,$308.2,$280.6,112,117,$2.67,$2.56
2017-06-30,$758.8,$228.7,$530.1,$84.6,$185.6,-,$498.9,$259.9,$10.1,$270,$47,$223,-,$223,-,$223,$280.5,$259.9,111,115,$2.01,$1.94
2017-03-31,$679.6,$209.8,$469.8,$73.5,$202.9,-,$486.2,$193.4,$8.7,$202.1,$21.3,$180.8,-,$180.8,-,$180.8,$224.9,$193.4,112,116,$1.62,$1.57
2016-12-31,$759,$229,$530,$69.1,$192,-,$490.1,$268.9,$11.7,$280.6,$74.2,$206.4,-,$206.4,-,$206.4,$276.8,$268.9,115,118,$1.80,$1.74
2016-09-30,$682.9,$195.9,$487,$62.6,$168,-,$426.5,$256.4,$10.4,$266.8,$55.8,$211,-,$211,-,$211,$287.6,$256.4,116,119,$1.82,$1.77
2016-06-30,$670.1,$199.2,$470.9,$54.7,$170.8,-,$424.7,$245.4,$8,$253.4,$68.9,$184.5,-,$184.5,-,$184.5,$276.8,$245.4,115,118,$1.61,$1.57
2016-03-31,$594.5,$189.5,$405,$53.2,$172.8,-,$415.5,$179,$5.5,$184.5,$48.1,$136.4,-,$136.4,-,$136.4,$210.7,$179,113,116,$1.21,$1.18
2015-12-31,$676.5,$217.7,$458.8,$52.6,$160.3,-,$430.6,$245.9,$5.9,$251.8,$61.8,$190,-,$190,-,$190,$278.4,$245.9,111,114,$1.70,$1.67
2015-09-30,$589.7,$193.9,$395.8,$51,$154.9,-,$399.8,$189.9,$3.7,$193.6,$26.3,$167.3,-,$167.3,-,$167.3,$232,$189.9,112,114,$1.50,$1.47
2015-06-30,$586.1,$199.6,$386.5,$49.4,$163.3,-,$412.3,$173.8,$4.6,$178.4,$43.9,$134.5,-,$134.5,-,$134.5,$194.9,$173.8,111,113,$1.21,$1.19
2015-03-31,$532.1,$195.3,$336.8,$44.4,$162,-,$401.7,$130.4,$4.3,$134.7,$37.7,$97,-,$97,-,$97,$150.6,$130.4,110,113,$0.88,$0.86
2014-12-31,$604.7,$211.3,$393.4,$47.3,$160,-,$418.6,$186.1,$-1.3,$184.8,$38,$146.8,-,$146.8,-,$146.8,$240.3,$186.1,111,113,$1.31,$1.29
2014-09-30,$550.1,$189.5,$360.6,$47.5,$154,-,$391,$159.1,$2,$161.1,$37.4,$123.7,-,$123.7,-,$123.7,$179,$159.1,108,111,$1.14,$1.12
2014-06-30,$512.2,$167.8,$344.4,$40.2,$161.2,-,$369.2,$143,$-0.4,$142.6,$38.6,$104,-,$104,-,$104,$160.2,$143,111,113,$0.94,$0.92
2014-03-31,$464.7,$149.3,$315.4,$43,$215.8,-,$408.1,$56.6,$3.9,$60.5,$16.2,$44.3,-,$44.3,-,$44.3,$73.6,$56.6,115,117,$0.39,$0.38
2013-12-31,$576.2,$178.2,$398,$41.7,$147.7,-,$367.6,$208.6,$5.9,$214.5,$48.3,$166.2,-,$166.2,-,$166.2,$234.9,$208.6,118,120,$1.46,$1.43
2013-09-30,$499,$142.3,$356.7,$43.2,$139.3,-,$324.8,$174.2,$3.9,$178.1,$21.3,$156.8,-,$156.8,-,$156.8,$199.2,$174.2,116,118,$1.35,$1.33
2013-06-30,$578.5,$173.3,$405.2,$41.2,$145.5,-,$360,$218.5,$4.3,$222.8,$63.7,$159.1,-,$159.1,-,$159.1,$245.5,$218.5,120,122,$1.33,$1.30
2013-03-31,$611.4,$177.1,$434.3,$41.6,$141.5,-,$360.2,$251.2,$4.3,$255.5,$66.6,$188.9,-,$188.9,-,$188.9,$277,$251.2,121,124,$1.56,$1.52
2012-12-31,$609.3,$171.4,$437.9,$41.7,$148.1,-,$361.2,$248.1,$3.7,$251.8,$76.9,$174.9,-,$174.9,-,$174.9,$239.7,$248.1,119,123,$1.47,$1.42
2012-09-30,$537.8,$147.7,$390.1,$49.7,$129,-,$326.4,$211.4,$4.3,$215.7,$32.4,$183.3,-,$183.3,-,$183.3,$235.2,$211.4,120,123,$1.53,$1.49
2012-06-30,$536.5,$150.1,$386.4,$40.2,$120.9,-,$311.2,$225.3,$4,$229.3,$74.4,$154.9,-,$154.9,-,$154.9,$247.4,$225.3,120,124,$1.29,$1.25
2012-03-31,$495.2,$139.3,$355.9,$38.4,$124.2,-,$301.9,$193.3,$3.8,$197.1,$53.6,$143.5,-,$143.5,-,$143.5,$213.6,$193.3,119,123,$1.21,$1.17
2011-12-31,$496.8,$133.9,$362.9,$41.4,$122,-,$297.3,$199.5,$3.6,$203.1,$51.9,$151.2,-,$151.2,-,$151.2,$218.6,$199.5,118,121,$1.28,$1.26
2011-09-30,$446.7,$121.2,$325.5,$35.4,$111.2,-,$267.8,$178.9,$1.9,$180.8,$58.4,$122.4,-,$122.4,-,$122.4,$196.4,$178.9,117,120,$1.04,$1.02
2011-06-30,$425.7,$119.1,$306.6,$32,$106.5,-,$257.6,$168.1,$4.1,$172.2,$54.8,$117.4,-,$117.4,-,$117.4,$184.2,$168.1,118,121,$1.00,$0.97
2011-03-31,$388.1,$109.3,$278.8,$31.4,$99.1,-,$239.8,$148.3,$5.3,$153.6,$49.5,$104.1,-,$104.1,-,$104.1,$164.7,$148.3,117,121,$0.89,$0.86
2010-12-31,$389.3,$107.2,$282.1,$32.6,$95.8,-,$235.6,$153.7,$3.5,$157.2,$36,$121.2,-,$121.2,-,$121.2,$182.3,$153.7,118,121,$1.03,$1.01
2010-09-30,$344.4,$93.8,$250.6,$26.9,$91.6,-,$212.3,$132.1,$5,$137.1,$50.5,$86.6,-,$86.6,-,$86.6,$142.4,$132.1,118,122,$0.73,$0.71
2010-06-30,$350.7,$93.9,$256.8,$28.5,$88.6,-,$211,$139.7,$4.5,$144.2,$55.5,$88.7,-,$88.7,-,$88.7,$149.5,$139.7,118,122,$0.75,$0.73
2010-03-31,$328.6,$88.1,$240.5,$28,$82.8,-,$198.9,$129.7,$4.1,$133.8,$48.5,$85.3,-,$85.3,-,$85.3,$139.2,$129.7,116,121,$0.73,$0.71
2009-12-31,$323.1,$89.9,$233.2,$25.8,$79,-,$194.7,$128.4,$4.2,$132.6,$55,$77.6,-,$77.6,-,$77.6,$137.1,$128.4,115,118,$0.67,$0.65
2009-09-30,$280.1,$81.1,$199,$24.6,$69.9,-,$175.6,$104.5,$4.3,$108.8,$44.3,$64.5,-,$64.5,-,$64.5,$113.4,$104.5,114,118,$0.56,$0.55
2009-06-30,$260.6,$70.4,$190.2,$23.4,$67.3,-,$161.1,$99.5,$5.2,$104.7,$42.3,$62.4,-,$62.4,-,$62.4,$108.5,$99.5,114,116,$0.55,$0.54
2009-03-31,$188.4,$59.7,$128.7,$21.3,$62.4,-,$143.4,$45,$5,$50,$21.9,$28.1,-,$28.1,-,$28.1,$53,$45,117,118,$0.24,$0.24
2008-12-31,$231.525,$66.163,$165.362,$20.891,$61.77,-,$148.824,$82.701,$5.558,$88.259,$37.516,$50.743,-,$50.743,-,$50.743,$90.222,$82.701,117,120,$0.43,$0.43
2008-09-30,$235.992,$66.417,$169.575,$21.851,$62.692,-,$150.96,$85.032,$4.594,$89.626,$32.032,$57.594,-,$57.594,-,$57.594,$91.817,$85.032,117,120,$0.49,$0.48
2008-06-30,$219.189,$63.133,$156.056,$20.357,$57.504,-,$140.994,$78.195,$5.707,$83.902,$32.72,$51.182,-,$51.182,-,$51.182,$84.361,$78.195,116,120,$0.44,$0.43
2008-03-31,$188.194,$58.387,$129.807,$16.301,$48.634,-,$123.322,$64.872,$8.541,$73.413,$28.632,$44.781,-,$44.781,-,$44.781,$69.5,$64.872,116,120,$0.39,$0.37
2007-12-31,$189.446,$54.246,$135.2,$16.124,$45.694,-,$116.064,$73.382,$8.432,$81.814,$32.661,$49.153,-,$49.153,-,$49.153,$77.103,$73.382,113,117,$0.43,$0.42
2007-09-30,$156.904,$48.434,$108.47,$14.319,$40.163,-,$102.916,$53.988,$12.22,$66.208,$25.289,$40.919,-,$40.919,-,$40.919,$57.374,$53.988,114,118,$0.36,$0.35
2007-06-30,$140.249,$46.141,$94.108,$10.192,$38.883,-,$95.216,$45.033,$5.232,$50.265,$19.602,$30.663,-,$30.663,-,$30.663,$48.101,$45.033,113,116,$0.27,$0.26
