,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$6,939","$4,416","$2,523",-,$973,-,"$5,389","$1,550",$-264,"$1,286",$252,"$1,034",-,"$1,034",-,"$1,032","$1,767","$1,550","1,223","1,228",$0.84,$0.84
2020-09-30,"$6,441","$4,097","$2,344",-,$897,-,"$5,294","$1,147",$-241,$906,$308,$598,-,$598,-,$597,"$1,348","$1,147","1,223","1,229",$0.49,$0.49
2020-06-30,"$6,648","$4,196","$2,452",-,$918,"$-1,056","$7,987","$-1,339",$-364,"$-1,703",$-51,"$-1,652",-,"$-1,652",-,"$-1,651","$-1,122","$-1,339","1,223","1,223",$-1.35,$-1.35
2020-03-31,"$6,157","$4,299","$1,858",-,$862,-,"$5,387",$770,$-229,$541,$160,$381,-,$381,-,$378,$982,$770,"1,222","1,224",$0.31,$0.31
2019-12-31,"$6,536","$4,429","$2,107",-,$837,$-223,"$5,942",$594,$-267,$327,$144,$183,-,$183,-,$182,$774,$594,"1,221","1,224",$0.15,$0.14
2019-09-30,"$6,076","$4,129","$1,947",-,$762,$-5,"$4,896","$1,180",$-18,"$1,162",$264,$898,-,$898,-,$899,"$1,347","$1,180","1,221","1,223",$0.74,$0.74
2019-06-30,"$6,406","$4,324","$2,082",-,$750,$-474,"$5,672",$734,$-183,$551,$103,$448,-,$448,-,$449,$913,$734,"1,220","1,222",$0.37,$0.37
2019-03-31,"$5,959","$3,948","$2,011",-,$829,-,"$5,397",$562,$59,$621,$217,$404,-,$404,-,$405,$724,$562,"1,220","1,224",$0.33,$0.33
2018-12-31,"$6,891","$4,675","$2,216",-,$867,"$-8,610","$21,027","$-14,136",$-338,"$-14,474","$-1,846","$-12,628",-,"$-12,628",-,"$-12,568","$-13,943","$-14,136","1,219","1,219",$-10.31,$-10.30
2018-09-30,"$6,383","$4,289","$2,094",-,$803,$-217,"$5,309","$1,074",$-255,$819,$201,$618,-,$618,-,$619,"$1,246","$1,074","1,219","1,226",$0.51,$0.50
2018-06-30,"$6,690","$4,343","$2,347",-,$756,$-101,"$5,333","$1,357",$-296,"$1,061",$308,$753,-,$753,-,$754,"$1,515","$1,357","1,219","1,226",$0.62,$0.62
2018-03-31,"$6,304","$4,040","$2,264",-,$764,-,"$4,804","$1,500",$-227,"$1,273",$270,"$1,003",-,"$1,003",-,"$1,003","$1,621","$1,500","1,219","1,228",$0.82,$0.82
2017-12-31,"$6,835","$4,637","$2,198",-,$707,-,"$5,393","$1,442",$-191,"$1,251","$-6,687","$7,938",-,"$7,938",-,"$7,945","$1,602","$1,442","1,218","1,228",$6.52,$6.47
2017-09-30,"$6,280","$4,077","$2,203",-,$665,-,"$4,742","$1,538",$-179,"$1,359",$416,$943,-,$943,-,$944,"$1,735","$1,538","1,218","1,218",$0.78,$0.77
