,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$3,709","$1,487","$2,222",-,$364,"$-1,199","$3,050",$659,$-111,$548,$111,$437,-,$437,-,$397,$659,$659,280,280,$1.34,$1.34
2020-09-30,"$3,465","$1,616","$1,849",-,$360,"$-1,169","$3,145",$320,$-137,$183,$21,$162,-,$162,-,$139,$320,$320,279,279,$0.50,$0.50
2020-06-30,"$2,310","$1,642",$668,-,$342,"$-1,277","$3,261",$-951,$-123,"$-1,074",$-228,$-846,-,$-846,-,$-835,$-951,$-951,281,281,$-2.96,$-2.96
2020-03-31,"$3,099","$1,425","$1,674",-,$344,"$-2,307","$4,076",$-977,$-144,"$-1,121",$-77,"$-1,044",-,"$-1,044",-,$-632,$-977,$-977,287,287,$-2.20,$-2.20
2019-12-31,"$3,876","$1,483","$2,393",-,$358,"$-1,617","$3,458",$418,$-142,$276,$65,$211,-,$211,-,$217,$418,$418,303,303,$0.75,$0.74
2019-09-30,"$3,675","$1,614","$2,061",-,$345,"$-1,512","$3,471",$204,$-144,$60,$21,$39,-,$39,-,$72,$204,$204,302,302,$0.24,$0.24
2019-06-30,"$3,623","$1,352","$2,271",-,$338,"$-1,494","$3,184",$439,$-164,$275,$50,$225,-,$225,-,$249,$439,$439,304,305,$0.82,$0.82
2019-03-31,"$3,757","$1,357","$2,400",-,$342,"$-1,409","$3,108",$649,$-141,$508,$112,$396,-,$396,-,$394,$649,$649,310,310,$1.27,$1.27
2018-12-31,"$3,287","$1,594","$1,693",-,$343,"$-1,438","$3,375",$-88,$-144,$-232,$-21,$-211,-,$-211,-,$-165,$-88,$-88,319,320,$-0.50,$-0.50
2018-09-30,"$3,608","$1,312","$2,296",-,$337,"$-1,459","$3,108",$500,$-146,$354,$65,$289,-,$289,-,$278,$500,$500,316,317,$0.88,$0.88
2018-06-30,"$3,590","$1,327","$2,263",-,$359,"$-1,454","$3,140",$450,$-143,$307,$59,$248,-,$248,-,$230,$450,$450,319,320,$0.72,$0.72
2018-03-31,"$3,581","$1,339","$2,242",-,$296,"$-1,400","$3,035",$546,$-141,$405,$25,$380,-,$380,-,$293,$546,$546,328,329,$0.89,$0.89
2017-12-31,"$3,555","$1,257","$2,298",-,$307,"$-1,388","$2,952",$603,$-142,$461,$-70,$531,-,$531,-,$481,$603,$603,337,338,$1.43,$1.43
2017-09-30,"$3,521","$1,480","$2,041",-,$309,"$-1,245","$3,034",$487,$-223,$264,$52,$212,-,$212,-,$157,$487,$487,337,338,$0.46,$0.46
2017-06-30,"$3,359","$1,280","$2,079",-,$312,"$-1,281","$2,873",$486,$-139,$347,$69,$278,-,$278,-,$231,$486,$486,337,338,$0.69,$0.69
2017-03-31,"$3,300","$1,293","$2,007",-,$305,"$-1,050","$2,648",$652,$-142,$510,$119,$391,-,$391,-,$295,$652,$652,337,338,$0.88,$0.87
2016-12-31,"$3,338","$1,334","$2,004",-,$309,"$-1,101","$2,744",$594,$-133,$461,$49,$412,-,$412,-,$290,$594,$594,338,338,$0.85,$0.85
2016-09-30,"$3,287","$1,202","$2,085",-,$314,"$-1,085","$2,601",$686,$-130,$556,$163,$393,-,$393,-,$327,$686,$686,337,338,$0.97,$0.97
2016-06-30,"$3,307","$1,339","$1,968",-,$305,"$-1,809","$3,453",$-146,$-130,$-276,$12,$-288,-,$-288,-,$-65,$-146,$-146,339,339,$-0.19,$-0.19
2016-03-31,"$3,173","$1,408","$1,765",-,$307,"$-1,120","$2,835",$338,$-143,$195,$-4,$199,-,$199,-,$102,$338,$338,339,339,$0.30,$0.30
2015-12-31,"$3,333","$1,376","$1,957",-,$604,"$-1,730","$3,710",$-377,$-127,$-504,$-213,$-291,-,$-291,-,$-201,$-377,$-377,362,363,$-0.53,$-0.53
2015-09-30,"$3,169","$1,200","$1,969",-,$319,"$-1,174","$2,693",$476,$-128,$348,$66,$282,-,$282,-,$182,$476,$476,361,361,$0.50,$0.50
2015-06-30,"$3,435","$1,469","$1,966",-,$314,"$-1,223","$3,006",$429,$-134,$295,$48,$247,-,$247,-,$170,$429,$429,370,370,$0.46,$0.46
2015-03-31,"$3,478","$1,339","$2,139",-,$303,"$-1,600","$3,242",$236,$-131,$105,$56,$49,-,$49,-,$109,$236,$236,373,373,$0.29,$0.29
2014-12-31,"$3,521","$1,350","$2,171",-,$321,"$-1,310","$2,981",$540,$-129,$411,$110,$301,-,$301,$-7,$208,$540,$540,382,383,$0.55,$0.55
2014-09-30,"$3,523","$1,354","$2,169",-,$332,"$-1,377","$3,063",$460,$-121,$339,$99,$240,-,$240,$29,$208,$460,$460,381,381,$0.55,$0.55
2014-06-30,"$3,593","$1,441","$2,152",-,$335,"$-1,145","$2,921",$672,$-126,$546,$145,$401,-,$401,$-186,$116,$672,$672,386,386,$0.30,$0.30
2014-03-31,"$3,688","$1,446","$2,242",-,$329,"$-1,277","$3,052",$636,$-122,$514,$103,$411,-,$411,$-227,$59,$636,$636,387,388,$0.15,$0.15
2013-12-31,"$3,714","$1,547","$2,167",-,$358,"$-1,068","$2,973",$741,$-104,$637,$229,$408,-,$408,$-533,$-198,$741,$741,389,390,$-0.51,$-0.51
2013-09-30,"$3,597","$1,378","$2,219",-,$341,"$-1,197","$2,916",$681,$-105,$576,$155,$421,-,$421,$-37,$282,$681,$681,387,388,$0.73,$0.73
2013-06-30,"$3,616","$1,485","$2,131",-,$335,"$-1,122","$2,942",$674,$-108,$566,$163,$403,-,$403,$9,$269,$674,$674,389,390,$0.69,$0.69
2013-03-31,"$3,686","$1,396","$2,290",-,$328,"$-1,356","$3,080",$606,$-108,$498,$109,$389,-,$389,$9,$242,$606,$606,391,392,$0.62,$0.62
2012-12-31,"$3,225","$1,565","$1,660",-,$337,$-570,"$2,472",$753,$-95,$658,$176,$482,-,$482,-,$-32,$753,$753,395,396,$-0.08,$-0.08
2012-09-30,"$3,715","$1,435","$2,280",-,$333,"$-1,429","$3,197",$518,$-109,$409,$99,$310,-,$310,-,$177,$518,$518,394,395,$0.45,$0.45
2012-06-30,"$3,388","$1,348","$2,040",-,$309,"$-1,406","$3,063",$325,$-111,$214,$16,$198,-,$198,-,$56,$325,$325,396,397,$0.14,$0.14
2012-03-31,"$3,744","$1,381","$2,363",-,$295,"$-1,216","$2,892",$852,$-111,$741,$222,$519,-,$519,-,$367,$852,$852,397,397,$0.93,$0.92
2011-12-31,"$3,481","$1,358","$2,123",-,$296,"$-1,229","$2,883",$598,$-116,$482,$70,$412,-,$412,-,$271,$598,$598,405,405,$0.68,$0.69
2011-09-30,"$3,438","$1,400","$2,038",-,$297,"$-1,176","$2,873",$565,$-126,$439,$123,$316,-,$316,-,$162,$565,$565,401,402,$0.41,$0.40
2011-06-30,"$3,542","$1,367","$2,175",-,$286,"$-1,212","$2,865",$677,$-129,$548,$144,$404,-,$404,-,$250,$677,$677,408,409,$0.61,$0.61
2011-03-31,"$3,668","$1,364","$2,304",-,$297,"$-1,099","$2,760",$908,$-151,$757,$195,$562,-,$562,-,$379,$908,$908,413,414,$0.92,$0.92
2010-12-31,"$3,715","$1,187","$2,528",-,$130,"$-1,320","$2,637","$1,078",$-133,$945,$275,$670,-,$670,$2,$467,"$1,078","$1,078",419,420,$1.12,$1.12
2010-09-30,"$3,701","$1,343","$2,358",-,$351,"$-1,622","$3,316",$385,$-127,$258,$84,$174,-,$174,$-22,$36,$385,$385,418,418,$0.09,$0.09
2010-06-30,"$3,486","$1,147","$2,339",-,$345,"$-1,064","$2,556",$930,$-127,$803,$262,$541,-,$541,-,$366,$930,$930,419,419,$0.88,$0.87
2010-03-31,"$3,713","$1,308","$2,405",-,$342,"$-1,037","$2,687","$1,026",$-130,$896,$273,$623,-,$623,-,$420,"$1,026","$1,026",423,424,$0.99,$0.99
