,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,$817.2,$190.5,$626.7,-,$354.5,-,$705.6,$111.6,$-56.1,$55.5,$-10,$65.5,-,$65.5,-,$63.6,$272.6,$111.6,248,249,$0.24,$0.25
2020-09-30,$920,$190,$730,-,$302,-,$648,$272,$-43,$229,$-20,$249,-,$249,-,$246,$427.6,$272,250,250,$0.99,$0.98
2020-06-30,$763.1,$184.4,$578.7,-,$258.5,-,$595,$168.1,$-39.5,$128.6,$-8.3,$136.9,-,$136.9,-,$134.4,$314.9,$168.1,250,250,$0.54,$0.54
2020-03-31,$915.7,$269.1,$646.6,-,$312,-,$727.4,$188.3,$-34.4,$153.9,$-18.7,$172.6,-,$172.6,-,$170,$339.9,$188.3,244,245,$0.70,$0.70
2019-12-31,$880.6,$245.8,$634.8,-,$330.2,-,$719.2,$161.4,$-28.5,$132.9,$19.7,$113.2,-,$113.2,-,$111.3,$304.4,$161.4,239,239,$0.46,$0.46
2019-09-30,$990,$228,$762,-,$328,-,$700,$290,$-38,$252,$23,$229,-,$229,-,$226,$434.2,$290,239,240,$0.95,$0.94
2019-06-30,$790.2,$185.2,$605,-,$312.3,-,$640.4,$149.8,$-41.5,$108.3,$11.2,$97.1,-,$97.1,-,$94.6,$302.8,$149.8,238,238,$0.40,$0.40
2019-03-31,$987.2,$340,$647.2,-,$333.5,-,$810.4,$176.8,$-34,$142.8,$15.1,$127.7,-,$127.7,-,$125.1,$303.6,$176.8,237,237,$0.53,$0.53
2018-12-31,$873,$297.5,$575.5,-,$323.9,-,$752,$121,$-27.6,$93.4,$5.9,$87.5,-,$87.5,-,$85.2,$251.6,$121,234,234,$0.37,$0.37
2018-09-30,$928.6,$239.1,$689.5,-,$304.4,-,$672.5,$256.1,$-36.3,$219.8,$11.7,$208.1,-,$208.1,-,$205.5,$385.1,$256.1,235,235,$0.87,$0.87
2018-06-30,$816.1,$236,$580.1,-,$301.9,-,$664.9,$151.2,$-34.7,$116.5,$13.6,$102.9,-,$102.9,-,$100.4,$278.2,$151.2,232,232,$0.43,$0.43
2018-03-31,$916.3,$314.4,$601.9,-,$315.8,-,$750.6,$165.7,$-25.4,$140.3,$16.8,$123.5,-,$123.5,-,$120.9,$286.1,$165.7,231,231,$0.52,$0.52
2017-12-31,$856.1,$279.3,$576.8,-,$323.7,-,$722.1,$134,$-35.9,$98.1,$1.8,$96.3,-,$96.3,-,$93.8,$253.1,$134,230,230,$0.41,$0.41
2017-09-30,$906.9,$237.6,$669.3,-,$312.3,-,$670.6,$236.3,$-38.8,$197.5,$26.1,$171.4,-,$171.4,-,$168.8,$357,$236.3,231,231,$0.73,$0.73
2017-06-30,$765.3,$212.6,$552.7,-,$284,-,$611.6,$153.7,$-35.7,$118,$21.2,$96.8,-,$96.8,-,$94.3,$268.7,$153.7,229,229,$0.41,$0.41
2017-03-31,$853.9,$300,$553.9,-,$299.7,-,$706.7,$147.2,$-28,$119.2,$17.6,$101.6,-,$101.6,$1.4,$100.4,$254.2,$147.2,228,228,$0.44,$0.44
2016-12-31,$797,$269.7,$527.3,-,$307.4,-,$680,$117,$-39.3,$77.7,$12.2,$65.5,-,$65.5,$-0.3,$62.7,$215.1,$117,227,227,$0.27,$0.27
2016-09-30,$924.6,$258.4,$666.2,-,$313.1,$-86.4,$762,$162.6,$-23.7,$138.9,$7.5,$131.4,-,$131.4,$-0.4,$128.4,$266.7,$162.6,227,227,$0.57,$0.57
2016-06-30,$754.6,$224.1,$530.5,-,$299.8,-,$626,$128.6,$-23.6,$105,$18.1,$86.9,-,$86.9,$-0.5,$83.9,$230.7,$128.6,227,227,$0.37,$0.37
2016-03-31,$843.8,$296.1,$547.7,-,$299.3,-,$697.9,$145.9,$-24.1,$121.8,$21.6,$100.2,-,$100.2,$-1.1,$96.5,$248.4,$145.9,227,227,$0.43,$0.43
2015-12-31,$740.1,$243.6,$496.5,-,$315.9,-,$660.9,$79.2,$-30.6,$48.6,$10.9,$37.7,-,$37.7,$-1.1,$34.1,$193,$79.2,225,225,$0.15,$0.15
