,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$4,120",-,"$4,120",-,"$1,867",$-45,"$2,062","$2,058",$110,"$2,168",$383,"$1,785",-,"$1,785",-,"$1,785","$2,531","$2,058","1,002","1,006",$1.80,$1.77
2020-09-30,"$3,837",-,"$3,837",-,"$1,591",-,"$1,732","$2,105",$-190,"$1,915",$402,"$1,513",-,"$1,513",-,"$1,513","$2,527","$2,105","1,001","1,005",$1.51,$1.51
2020-06-30,"$3,335",-,"$3,335",-,"$1,461",$-22,"$1,628","$1,707",$-17,"$1,690",$270,"$1,420",-,"$1,420",-,"$1,420","$2,083","$1,707","1,004","1,008",$1.41,$1.41
2020-03-31,"$4,009",-,"$4,009",-,"$1,648",$-6,"$1,798","$2,211",$-224,"$1,987",$294,"$1,693",-,"$1,693",-,"$1,693","$2,592","$2,211","1,005","1,010",$1.68,$1.68
2019-12-31,"$4,414",-,"$4,414",-,"$1,869",-,"$2,015","$2,399",$76,"$2,475",$375,"$2,100",-,"$2,100",-,"$2,100","$2,808","$2,399","1,017","1,022",$2.08,$2.07
2019-09-30,"$4,467",-,"$4,467",-,"$1,675",-,"$1,812","$2,655",$-121,"$2,534",$426,"$2,108",-,"$2,108",-,"$2,108","$3,047","$2,655","1,013","1,019",$2.08,$2.07
2019-06-30,"$4,113",-,"$4,113",-,"$1,594",-,"$1,716","$2,397",$122,"$2,519",$471,"$2,048",-,"$2,048",-,"$2,048","$2,797","$2,397","1,020","1,025",$2.01,$2.00
2019-03-31,"$3,889",-,"$3,889",-,"$1,559",-,"$1,676","$2,213",$-10,"$2,203",$341,"$1,862",-,"$1,862",-,"$1,862","$2,675","$2,213","1,026","1,032",$1.81,$1.80
2018-12-31,"$3,807",-,"$3,807",-,"$1,703",$-757,"$2,573","$1,234",$-19,"$1,215",$316,$899,-,$899,-,$899,"$1,697","$1,234","1,041","1,047",$0.88,$0.87
2018-09-30,"$3,898",-,"$3,898",-,"$1,471",$-29,"$1,611","$2,287",$-23,"$2,264",$365,"$1,899",-,"$1,899",-,"$1,899","$2,705","$2,287","1,037","1,043",$1.83,$1.82
2018-06-30,"$3,665",-,"$3,665",-,"$1,389",$-225,"$1,729","$1,936",$-14,"$1,922",$353,"$1,569",-,"$1,569",-,"$1,569","$2,342","$1,936","1,043","1,049",$1.50,$1.50
2018-03-31,"$3,580",-,"$3,580",-,"$1,518",$-117,"$1,755","$1,825",$-22,"$1,803",$311,"$1,492",-,"$1,492",-,"$1,492","$2,232","$1,825","1,051","1,057",$1.42,$1.41
