,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$62,599","$59,448","$3,151",-,-,"$-10,358","$69,961","$-7,362",$-1,"$-7,363","$-1,189","$-6,174",-,"$-6,174",-,"$-6,226","$-7,003","$-7,362",160,160,$-39.03,$-39.03
2020-09-30,"$60,808","$57,808","$3,000",-,-,"$-2,237","$60,174",$634,$21,$655,$28,$627,-,$627,-,$577,$955,$634,162,163,$3.56,$3.54
2020-06-30,"$55,679","$52,979","$2,700",-,-,"$-1,966","$55,001",$678,$-33,$645,$150,$495,-,$495,$-1,$444,$900,$678,162,163,$2.74,$2.72
2020-03-31,"$58,535","$55,199","$3,336",-,-,-,"$57,666",$869,$332,"$1,201",$129,"$1,072",-,"$1,072",$6,"$1,021","$1,126",$869,181,182,$5.68,$5.67
2019-12-31,"$59,172","$56,139","$3,033",-,-,"$-2,535","$58,812",$360,$-66,$294,$47,$247,-,$247,$-5,$186,$689,$360,179,180,$1.04,$1.03
2019-09-30,"$57,616","$54,749","$2,867",-,-,"$-2,196","$56,990",$626,"$-1,596",$-970,$-294,$-676,-,$-676,$-1,$-730,$867,$626,183,183,$-3.99,$-3.99
2019-06-30,"$55,728","$52,941","$2,787",-,-,"$-2,130","$55,094",$634,$-15,$619,$136,$483,-,$483,$-6,$423,$868,$634,188,189,$2.25,$2.24
2019-03-31,"$52,429","$49,228","$3,201",-,-,-,"$52,998",$-569,$-64,$-633,$111,$-744,-,$-744,-,$-796,"$1,074",$-569,196,197,$-4.08,$-4.06
2018-12-31,"$56,208","$53,238","$2,970",-,-,"$-2,156","$55,525",$683,$-33,$650,$123,$527,-,$527,$-1,$469,$982,$683,194,195,$2.41,$2.40
2018-09-30,"$53,075","$50,271","$2,804",-,-,"$-2,033","$52,386",$689,$-102,$587,$35,$552,-,$552,$1,$499,$930,$689,198,199,$2.52,$2.51
2018-06-30,"$52,607","$49,828","$2,779",-,-,"$-2,030","$52,524",$83,$-77,$6,$87,$-81,-,$-81,$1,$-138,$928,$83,202,202,$-0.68,$-0.68
2018-03-31,"$51,628","$48,553","$3,075",-,-,"$5,957","$52,572",$-944,$-150,"$-1,094",$-7,"$-1,087",-,"$-1,087",$2,"$-1,146",$988,$-944,208,209,$-5.50,$-5.47
2017-12-31,"$53,617","$50,902","$2,715",-,-,"$-1,984","$52,783",$834,$-137,$697,$-263,$960,-,$960,$1,$903,"$1,068",$834,207,208,$4.35,$4.33
2017-09-30,"$52,061","$49,227","$2,834",-,-,"$-2,009","$51,822",$239,$-61,$178,$122,$56,-,$56,-,$1,"$1,014",$239,209,210,$0.01,$0.01
2017-06-30,"$51,051","$48,491","$2,560",-,-,"$-1,927","$50,418",$633,$-175,$458,$95,$363,-,$363,$2,$309,$860,$633,211,213,$1.46,$1.45
2017-03-31,"$48,713","$45,917","$2,796",-,-,"$9,749","$43,974","$4,739",$-65,"$4,674","$1,044","$3,630",-,"$3,630",$-7,"$3,588","$4,986","$4,739",221,223,$16.31,$16.16
2016-12-31,"$50,130","$47,318","$2,812",-,-,"$-1,981","$49,299",$831,$-51,$780,$131,$649,-,$649,$-3,$633,"$1,035",$831,221,222,$2.87,$2.85
2016-09-30,"$49,957","$47,201","$2,756",-,-,"$-1,886","$49,377",$580,$-55,$525,$200,$325,-,$325,$-1,$307,"$1,087",$580,226,228,$1.36,$1.34
2016-06-30,"$49,733","$46,826","$2,907",-,-,"$-1,935","$48,761",$972,$-60,$912,$239,$673,-,$673,$-113,$542,"$1,214",$972,225,228,$2.41,$2.38
2016-03-31,"$46,678","$43,826","$2,852",-,-,-,"$45,938",$740,$-71,$669,$204,$465,-,$465,$-21,$431,$962,$740,230,233,$1.91,$1.89
2015-12-31,"$47,899","$45,027","$2,872",-,-,"$-1,952","$46,979",$920,$-74,$846,$204,$642,-,$642,$5,$634,"$1,140",$920,230,232,$2.76,$2.73
2015-09-30,"$48,761","$45,917","$2,844",-,-,"$-1,890","$47,807",$954,$-74,$880,$244,$636,-,$636,$-6,$617,"$1,176",$954,232,235,$2.66,$2.63
2015-06-30,"$47,546","$44,698","$2,848",-,-,"$-1,917","$46,615",$931,$-76,$855,$256,$599,-,$599,$-10,$576,"$1,160",$931,232,235,$2.49,$2.45
2015-03-31,"$44,925","$42,008","$2,917",-,-,"$6,076","$44,225",$700,$-80,$620,$209,$411,-,$411,$-267,$132,"$1,172",$700,232,235,$0.57,$0.56
2014-12-31,"$46,484","$43,586","$2,898",-,-,"$-2,098","$45,684",$800,$-81,$719,$198,$521,-,$521,$-10,$472,"$1,048",$800,232,236,$2.03,$2.00
2014-09-30,"$44,160","$41,296","$2,864",-,-,"$-2,077","$43,373",$787,$-73,$714,$223,$491,-,$491,$-14,$469,"$1,045",$787,232,235,$2.02,$1.99
2014-06-30,"$43,476","$40,744","$2,732",-,-,"$-2,051","$42,795",$681,$-77,$604,$185,$419,-,$419,$-8,$403,$961,$681,231,235,$1.75,$1.72
2014-03-31,"$37,832","$35,281","$2,551",-,-,"$3,899","$37,227",$605,$-90,$515,$116,$399,-,$399,$-34,$370,$845,$605,229,233,$1.61,$1.56
2013-12-31,"$34,336","$32,486","$1,850",-,-,"$-1,357","$33,843",$493,$-75,$418,$254,$164,-,$164,$-99,$65,$656,$493,230,234,$0.28,$0.28
2013-09-30,"$32,985","$30,964","$2,021",-,-,"$-1,335","$32,299",$686,$-50,$636,$213,$423,-,$423,$-19,$404,$856,$686,229,233,$1.76,$1.74
2013-06-30,"$32,239","$30,309","$1,930",-,-,"$-1,275","$31,584",$655,$-53,$602,$174,$428,-,$428,$-4,$424,$817,$655,227,232,$1.86,$1.83
2013-03-31,"$30,643","$28,651","$1,992",-,-,"$3,218","$29,976",$667,$-255,$412,$133,$279,-,$279,$-20,$259,$865,$667,235,239,$1.13,$1.10
2012-12-31,"$31,099","$29,454","$1,645",-,-,"$-1,147","$30,601",$498,$-49,$449,$143,$306,-,$306,$-8,$298,$629,$498,235,240,$1.27,$1.24
2012-09-30,"$29,755","$28,072","$1,683",-,-,"$-1,077","$29,149",$606,$-45,$561,$162,$399,-,$399,$2,$401,$733,$606,236,240,$1.70,$1.67
2012-06-30,"$30,699","$29,138","$1,561",-,-,"$-1,066","$30,123",$576,$-48,$528,$149,$379,-,$379,$1,$380,$701,$576,236,240,$1.61,$1.58
2012-03-31,"$31,286","$29,606","$1,680",-,-,"$3,131","$30,604",$682,$-51,$631,$134,$497,-,$497,-,$521,$767,$682,246,251,$2.13,$2.08
2011-12-31,"$30,839","$29,273","$1,566",-,-,"$-1,074","$30,347",$492,$-66,$426,$126,$300,-,$300,-,$300,$629,$492,246,251,$1.22,$1.20
2011-09-30,"$30,216","$28,569","$1,647",-,-,"$-1,169","$29,738",$478,$-58,$420,$124,$296,-,$296,-,$296,$614,$478,246,250,$1.20,$1.18
2011-06-30,"$29,980","$28,471","$1,509",-,-,"$-1,037","$29,508",$472,$-56,$416,$130,$286,-,$286,-,$286,$607,$472,249,254,$1.15,$1.13
2011-03-31,"$28,853","$27,102","$1,751",-,-,"$2,808","$28,230",$623,$-65,$558,$136,$422,-,$422,-,$422,$767,$623,258,263,$1.65,$1.62
2010-12-31,"$28,247","$26,786","$1,461",-,-,"$-1,154","$27,940",$307,$-46,$261,$106,$155,-,$155,-,$155,$421,$307,254,258,$0.61,$0.60
2010-09-30,"$27,534","$26,168","$1,366",-,-,$-949,"$27,117",$417,$-41,$376,$121,$255,-,$255,$72,$327,$535,$417,258,262,$1.27,$1.25
2010-06-30,"$27,450","$26,058","$1,392",-,-,$-918,"$26,976",$474,$-34,$440,$142,$298,-,$298,-,$298,$594,$474,266,272,$1.12,$1.10
2010-03-31,"$26,643","$25,060","$1,583",-,-,"$2,678","$26,070",$573,$-41,$532,$184,$348,-,$348,-,$348,$697,$573,269,273,$1.29,$1.26
2009-12-31,"$28,272","$26,817","$1,455",-,-,$-946,"$27,763",$509,$-22,$487,$161,$326,-,$326,-,$326,$635,$509,269,274,$1.21,$1.19
2009-09-30,"$27,130","$25,795","$1,335",-,-,$-868,"$26,663",$467,$-43,$424,$123,$301,-,$301,-,$301,$580,$467,267,271,$1.13,$1.11
2009-06-30,"$26,657","$25,354","$1,303",-,-,$-844,"$26,198",$459,$-38,$421,$133,$288,-,$288,-,$288,$570,$459,270,272,$1.07,$1.06
2009-03-31,"$26,224","$24,759","$1,465",-,-,"$2,722","$25,726",$498,$-101,$397,$116,$281,-,$281,-,$281,$609,$498,275,279,$1.02,$1.02
2008-12-31,"$27,130","$25,787","$1,343",-,-,"$-1,397","$27,184",$-54,$-16,$-70,$-50,$-20,-,$-20,-,$-20,$58,$-54,274,274,$-0.07,$-0.07
2008-09-30,"$26,574","$25,272","$1,302",-,-,$-921,"$26,193",$381,$-2,$379,$52,$327,-,$327,-,$327,$493,$381,275,280,$1.19,$1.17
2008-06-30,"$26,704","$25,436","$1,268",-,-,$-897,"$26,333",$371,$-13,$358,$123,$235,-,$235,-,$235,$477,$371,277,282,$0.85,$0.83
2008-03-31,"$26,231","$24,784","$1,447",-,-,"$2,570","$25,750",$481,$-17,$464,$159,$305,-,$305,$2,$307,$581,$481,291,298,$1.07,$1.04
2007-12-31,"$26,494","$25,290","$1,204",-,-,$-922,"$26,212",$282,$-5,$277,$76,$201,-,$201,-,$201,$375,$282,290,297,$0.69,$0.68
2007-09-30,"$24,450","$23,269","$1,181",-,-,$-822,"$24,091",$359,-,$359,$112,$247,-,$247,-,$247,$448,$359,293,299,$0.85,$0.83
2007-06-30,"$24,528","$23,351","$1,177",-,-,$-821,"$24,172",$356,$1,$357,$121,$236,-,$236,$-1,$235,$445,$356,297,304,$0.79,$0.77
2007-03-31,"$24,165","$22,914","$1,251",-,-,"$2,191","$23,797",$368,$-6,$362,$105,$257,-,$257,-,$257,$455,$368,298,305,$0.86,$0.84
2006-12-31,"$23,111","$22,050","$1,061",-,-,$-743,"$22,793",$318,$16,$334,$94,$240,-,$240,$3,$243,$387,$318,296,302,$0.82,$0.80
2006-09-30,"$22,386","$21,362","$1,024",-,-,$-718,"$22,080",$306,$10,$316,$29,$287,-,$287,$-58,$229,$376,$306,298,305,$0.77,$0.75
2006-06-30,"$23,315","$22,319",$996,-,-,$-724,"$23,043",$272,$13,$285,$101,$184,-,$184,-,$184,$341,$272,302,309,$0.61,$0.60
2006-03-31,"$22,522","$21,512","$1,010",-,-,"$1,927","$22,191",$331,$16,$347,$128,$219,-,$219,$1,$220,$399,$331,306,316,$0.72,$0.69
2005-12-31,"$22,240","$21,266",$974,-,-,$-666,"$21,932",$308,$13,$321,$117,$204,-,$204,$-11,$193,$377,$308,307,316,$0.63,$0.61
2005-09-30,"$21,253","$20,385",$868,-,-,$-642,"$21,027",$226,$13,$239,$87,$152,-,$152,$15,$167,$287,$226,308,316,$0.54,$0.53
2005-06-30,"$20,968","$20,043",$925,-,-,$-664,"$20,707",$261,$3,$264,$94,$170,-,$170,$1,$171,$325,$261,302,313,$0.57,$0.55
2005-03-31,"$19,230","$18,304",$926,-,-,"$1,795","$18,867",$363,$-6,$357,$112,$245,-,$245,$14,$259,$424,$363,294,294,$0.88,$0.89
