,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$6,304","$3,158","$3,146",-,$569,-,"$3,723","$2,581",$-40,"$2,541",$619,"$1,922",-,"$1,922",-,"$1,919","$2,646","$2,581","1,858","1,859",$1.04,$1.04
2020-09-30,"$7,123","$3,406","$3,717",-,$557,-,"$3,963","$3,160","$-3,484",$-324,$632,$-956,-,$-956,-,$-953,"$3,222","$3,160","1,858","1,859",$-0.51,$-0.51
2020-06-30,"$6,367","$3,080","$3,287",-,$491,-,"$3,571","$2,796",$-231,"$2,565",$627,"$1,938",-,"$1,938",-,"$1,943","$2,861","$2,796","1,858","1,859",$1.04,$1.04
2020-03-31,"$6,359","$3,486","$2,873",-,$537,-,"$4,023","$2,336",$-228,"$2,108",$558,"$1,550",-,"$1,550",-,"$1,550","$2,401","$2,336","1,858","1,858",$0.83,$0.83
2019-12-31,"$6,007","$2,923","$3,084",-,$572,$-85,"$3,580","$2,427","$-3,650","$-1,223",$591,"$-1,814",-,"$-1,814",-,"$-1,813","$2,490","$2,427","1,869","1,869",$-0.98,$-0.98
2019-09-30,"$6,856","$3,359","$3,497",-,$552,$-1,"$3,912","$2,944","$-5,072","$-2,128",$474,"$-2,602",-,"$-2,602",-,"$-2,601","$3,001","$2,944","1,868","1,868",$-1.39,$-1.39
2019-06-30,"$6,619","$3,300","$3,319",-,$569,$-33,"$3,902","$2,717",$-116,"$2,601",$604,"$1,997",-,"$1,997",-,"$1,996","$2,770","$2,717","1,870","1,870",$1.07,$1.07
2019-03-31,"$5,628","$2,817","$2,811",-,$533,$-40,"$3,390","$2,238",$-722,"$1,516",$395,"$1,121",-,"$1,121",-,"$1,118","$2,291","$2,238","1,874","1,874",$0.60,$0.60
2018-12-31,"$6,114","$3,192","$2,922",-,$797,$-381,"$4,370","$1,744",$-34,"$1,710",$459,"$1,251",-,"$1,251",-,"$1,249","$1,803","$1,744","1,887","1,888",$0.67,$0.66
2018-09-30,"$6,837","$3,582","$3,255",-,$700,$2,"$4,280","$2,557",$51,"$2,608",$664,"$1,944",-,"$1,944",-,"$1,941","$2,621","$2,557","1,883","1,883",$1.03,$1.03
2018-06-30,"$6,305","$3,164","$3,141",-,$641,$-2,"$3,807","$2,498",$59,"$2,557",$680,"$1,877",-,"$1,877",-,"$1,873","$2,549","$2,498","1,891","1,891",$0.99,$0.99
2018-03-31,"$6,108","$3,172","$2,936",-,$618,$-2,"$3,792","$2,316",$150,"$2,466",$571,"$1,895",-,"$1,895",-,"$1,892","$2,369","$2,316","1,899","1,899",$1.00,$1.00
2017-12-31,"$6,101","$3,199","$2,902",-,$657,$-8,"$3,864","$2,237",$-54,"$2,183","$-2,785","$4,968",-,"$4,968",-,"$4,959","$2,291","$2,237","1,921","1,921",$2.59,$2.59
2017-09-30,"$6,729","$3,558","$3,171",-,$574,$-8,"$4,140","$2,589",$55,"$2,644",$777,"$1,867",-,"$1,867",-,"$1,864","$2,640","$2,589","1,915","1,915",$0.97,$0.97
2017-06-30,"$6,663","$3,549","$3,114",-,$574,$-12,"$4,135","$2,528",$382,"$2,910",$920,"$1,990",-,"$1,990",-,"$1,986","$2,580","$2,528","1,928","1,928",$1.03,$1.03
