,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$2,457.4","$2,046",$411.4,-,$110.9,$-5.7,"$2,162.6",$294.8,$64.1,$358.9,$-480.9,$839.8,-,$828.3,-,$827.9,$520.6,$294.8,379,381,$2.19,$2.19
2020-09-30,"$2,381.5","$2,026.4",$355.1,-,$97.6,$-159,"$2,283",$98.5,$-32.5,$66,$38.1,$27.9,-,$-4.6,-,$-6.2,$321.1,$98.5,379,379,$-0.02,$-0.02
2020-06-30,"$2,044.7","$1,787.7",$257,-,$95.1,$-76.1,"$1,958.9",$85.8,$-12.8,$73,$-2.7,$75.7,-,$45.9,-,$47.4,$317.9,$85.8,379,381,$0.13,$0.12
2020-03-31,"$1,798.1","$1,756.7",$41.4,-,$67.9,$-39.7,"$1,864.3",$-66.2,$-250.8,$-317,$-133,$-184,-,$-204,-,$-203,$168.9,$-66.2,379,379,$-0.54,$-0.54
2019-12-31,"$2,076.3","$1,995.6",$80.7,-,$104.3,$291.1,"$3,270.899","$-1,194.599",$-19.5,"$-1,214.1",$-288.8,$-925.3,-,$-950.4,-,$-921,$-360.299,"$-1,194.599",384,384,$-2.41,$-2.41
2019-09-30,"$2,753.4","$2,473.5",$279.9,-,$78.2,$-62.2,"$2,613.9",$139.5,$-87.3,$52.2,$69.2,$-17,-,$-40,-,$-44.1,$365.9,$139.5,385,385,$-0.11,$-0.11
2019-06-30,"$2,176.9","$1,949.7",$227.2,-,$78.1,$-391,"$2,418.8",$-241.9,$-28.9,$-270.8,$-51.7,$-219.1,-,$-230.3,-,$-233.1,$-7.8,$-241.9,386,386,$-0.60,$-0.60
2019-03-31,"$1,899.7","$1,590.2",$309.5,-,$93.5,$-13.9,"$1,697.6",$202.1,$-25.5,$176.6,$46.6,$130,-,$129.9,-,$130.8,$435.5,$202.1,386,387,$0.34,$0.34
2018-12-31,"$2,520.5","$2,054.3",$466.2,-,$89.7,$-118.5,"$2,262.5",$258,$-112.7,$145.3,$32.7,$112.6,-,$112,-,$112.3,$502.1,$258,385,386,$0.29,$0.29
2018-09-30,"$2,928.1","$2,432.6",$495.5,-,$78.5,$-23.7,"$2,534.8",$393.3,$-50.7,$342.6,$90.6,$252,-,$249.7,-,$247.5,$619,$393.3,386,388,$0.64,$0.64
2018-06-30,"$2,205","$1,910.4",$294.6,-,$79.3,$-19,"$2,008.7",$196.3,$-126.2,$70.1,$3.7,$66.4,-,$68.1,-,$67.9,$409.7,$196.3,385,387,$0.18,$0.18
2018-03-31,"$1,933.7","$1,691.6",$242.1,-,$93.6,$-67.8,"$1,853",$80.7,$-87.2,$-6.5,$-49.9,$43.4,-,$40.1,-,$42.3,$280.2,$80.7,383,384,$0.11,$0.11
2017-12-31,"$2,091.899","$1,811.8",$280.099,-,$83.1,$-69.9,"$1,964.8",$127.1,$-67.9,$59.2,$490.2,$-431,-,$-429.8,-,$-431.1,$305.2,$127.1,351,351,$-1.24,$-1.24
2017-09-30,"$1,984.8","$1,744",$240.8,-,$66.1,$39.2,"$1,770.9",$213.9,$23.5,$237.4,$17.6,$219.8,-,$229.6,-,$227.5,$389.2,$213.9,351,352,$0.65,$0.65
2017-06-30,"$1,754.6","$1,562.3",$192.3,-,$71.2,$-26.5,"$1,660",$94.6,$-25.9,$68.7,$-22.6,$91.3,-,$97.1,-,$97.3,$267.1,$94.6,351,352,$0.28,$0.28
2017-03-31,"$1,578.1","$1,448.5",$129.6,-,$80.9,$-18.6,"$1,548",$30.1,$-21.4,$8.7,$9.7,$-1,-,$-1.1,-,$-0.9,$195.4,$30.1,351,351,$-0.00,$-0.00
2016-12-31,"$1,862","$1,656",$206,-,$74.6,$-57.8,"$1,788.4",$73.6,$-62,$11.6,$-5.6,$17.2,-,$14.7,-,$12,$249.5,$73.6,350,352,$0.04,$0.04
2016-09-30,"$1,952.2","$1,738.9",$213.3,-,$66.9,$-76.7,"$1,882.5",$69.7,$-57.4,$12.3,$-30.1,$42.4,-,$40.7,-,$39.2,$252.6,$69.7,350,352,$0.11,$0.11
2016-06-30,"$1,674.6","$1,520.6",$154,-,$72.9,$-68.8,"$1,662.3",$12.3,$-19.5,$-7.2,$-9.8,$2.6,-,$-11.1,-,$-10.2,$212,$12.3,350,350,$-0.03,$-0.03
2016-03-31,"$1,674","$1,437.3",$236.7,-,$89.8,$16.5,"$1,510.6",$163.4,$62.3,$225.7,$-28.7,$254.4,-,$256.9,-,$256.8,$356.5,$163.4,351,353,$0.73,$0.73
2015-12-31,"$2,163.2","$1,807.7",$355.5,-,$94.9,$-56.3,"$1,958.9",$204.3,$-62.5,$141.8,$-14.3,$156.1,-,$156.4,-,$155,$398,$204.3,359,360,$0.45,$0.45
2015-09-30,"$2,105.5","$1,770.2",$335.3,-,$76.6,$-12.7,"$1,859.5",$246,$-73.9,$172.1,$10.1,$162,-,$160.7,-,$160,$435.1,$246,354,356,$0.45,$0.45
