,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$4,395",$876,"$3,519",-,"$1,525",$-109,"$3,454",$941,"$-1,167",$-226,$-35,$-191,-,$-191,-,$-6,"$1,964",$941,"1,959","1,969",$-0.00,$-0.01
2020-09-30,"$4,785","$1,111","$3,674",-,"$1,376",$-11,"$3,777","$1,008",$244,"$1,252",$129,"$1,123",-,"$1,123",-,"$1,229","$2,346","$1,008","1,960","1,969",$0.63,$0.63
2020-06-30,"$4,204",$731,"$3,473",-,"$1,323",$17,"$3,018","$1,186",$128,"$1,314",$185,"$1,129",-,"$1,129",-,"$1,275","$2,218","$1,186","1,959","1,967",$0.65,$0.65
2020-03-31,"$4,613",$821,"$3,792",-,"$1,236",$273,"$2,632","$1,981","$-1,908",$73,$-235,$308,-,$308,-,$421,"$2,903","$1,981","1,957","1,967",$0.21,$0.21
2019-12-31,"$4,587","$1,056","$3,531",-,"$1,479",$-206,"$3,709",$878,$159,"$1,037",$192,$845,-,$845,-,$976,"$1,919",$878,"1,928","1,942",$0.49,$0.49
2019-09-30,"$5,572","$1,266","$4,306",-,"$1,416",$-2,"$3,979","$1,593",$-737,$856,$58,$798,-,$798,-,$879,"$2,906","$1,593","1,928","1,944",$0.46,$0.45
2019-06-30,"$4,970","$1,074","$3,896",-,"$1,322",$354,"$3,223","$1,747",$-484,"$1,263",$124,"$1,139",-,"$1,139",-,"$1,234","$3,009","$1,747","1,916","1,931",$0.65,$0.64
2019-03-31,"$4,075",$967,"$3,108",-,"$1,227",$26,"$2,940","$1,135",$-455,$680,$74,$606,-,$606,-,$680,"$1,997","$1,135","1,913","1,927",$0.35,$0.35
2018-12-31,"$4,391",$936,"$3,455",-,"$1,286",$29,"$3,284","$1,107",$-818,$289,$-25,$314,-,$314,-,$421,"$2,252","$1,107","1,893","1,908",$0.21,$0.21
2018-09-30,"$4,416","$1,083","$3,333",-,"$1,239",$6,"$3,448",$968,$98,"$1,066",$125,$941,-,$941,-,"$1,005","$2,151",$968,"1,892","1,910",$0.53,$0.53
2018-06-30,"$4,063",$894,"$3,169",-,"$1,219",$28,"$2,917","$1,146",$-233,$913,$226,$687,-,$687,-,$781,"$2,040","$1,146","1,884","1,901",$0.41,$0.40
2018-03-31,"$3,857",$819,"$3,038",-,"$1,137",$14,"$2,798","$1,059","$4,025","$5,084","$1,250","$3,834",-,"$3,834",-,"$4,431","$1,984","$1,059","1,883","1,897",$2.35,$2.33
2017-12-31,"$3,989",$978,"$3,011",-,"$1,286","$-1,696","$3,805",$184,$-100,$84,"$-1,988","$2,072",-,"$2,072",-,"$2,157",$36,$184,"1,875","1,890",$1.15,$1.14
2017-09-30,"$4,808","$1,176","$3,632",-,"$1,214",$5,"$3,457","$1,351",$-131,"$1,220",$364,$856,-,$856,-,$847,"$2,489","$1,351","1,878","1,894",$0.45,$0.45
2017-06-30,"$4,404","$1,018","$3,386",-,"$1,221",$1,"$3,128","$1,276",$-183,"$1,093",$289,$804,-,$804,-,$793,"$2,233","$1,276","1,872","1,887",$0.42,$0.42
2017-03-31,"$3,972",$899,"$3,073",-,"$1,192","$1,100","$1,610","$2,362",$-96,"$2,266",$675,"$1,591",-,"$1,591",-,"$1,583","$3,053","$2,362","1,870","1,881",$0.85,$0.84
2016-12-31,"$3,681",$887,"$2,794",-,"$1,335",$182,"$2,904",$777,$735,"$1,512",$500,"$1,012",-,"$1,012",-,$960,"$1,668",$777,"1,852","1,863",$0.51,$0.51
2016-09-30,"$4,805","$1,217","$3,588",-,"$1,207",$4,"$3,526","$1,279",$-72,"$1,207",$418,$789,-,$789,-,$753,"$2,349","$1,279","1,853","1,864",$0.41,$0.41
2016-06-30,"$3,817",$960,"$2,857",-,"$1,198",$254,"$2,648","$1,169",$-406,$763,$219,$544,-,$544,-,$540,"$1,985","$1,169","1,845","1,858",$0.29,$0.29
2016-03-31,"$3,835",$928,"$2,907",-,"$1,132",-,"$2,601","$1,234",$-338,$896,$242,$654,-,$654,-,$653,"$1,885","$1,234","1,842","1,854",$0.35,$0.35
2015-12-31,"$4,070","$1,176","$2,894",-,"$1,257",-,"$3,194",$876,$-118,$758,$247,$511,-,$511,-,$507,"$1,717",$876,"1,802","1,816",$0.27,$0.27
2015-09-30,"$4,954","$1,472","$3,482",-,"$1,196",-,"$3,473","$1,481",$-179,"$1,302",$421,$881,-,$881,-,$879,"$2,381","$1,481","1,816","1,824",$0.48,$0.48
2015-06-30,"$4,358","$1,316","$3,042",-,"$1,150",-,"$3,212","$1,146",$-152,$994,$274,$720,-,$720,-,$716,"$1,971","$1,146","1,782","1,797",$0.40,$0.40
2015-03-31,"$4,104","$1,363","$2,741",-,"$1,061",-,"$2,975","$1,129",$-193,$936,$286,$650,-,$650,-,$650,"$1,766","$1,129","1,769","1,795",$0.37,$0.36
2014-12-31,"$4,664","$1,266","$3,398",-,"$1,201",-,"$3,132","$1,532",$-197,"$1,335",$452,$883,-,$883,-,$883,"$2,310","$1,532","1,738","1,760",$0.51,$0.50
2014-09-30,"$4,654","$1,566","$3,088",-,"$1,143",-,"$3,491","$1,163",$-220,$943,$279,$664,-,$664,-,$660,"$2,035","$1,163","1,738","1,762",$0.38,$0.38
2014-06-30,"$4,029","$1,373","$2,656",-,"$1,091",-,"$3,078",$951,$-167,$784,$292,$492,-,$492,-,$492,"$1,646",$951,"1,736","1,760",$0.28,$0.28
2014-03-31,"$3,674","$1,397","$2,277",-,"$1,076",-,"$2,936",$738,$-155,$583,$153,$430,-,$430,-,$430,"$1,289",$738,"1,734","1,753",$0.25,$0.24
2013-12-31,"$3,630","$1,193","$2,437",-,"$1,157",-,"$2,989",$641,$-188,$453,$125,$328,-,$328,-,$328,"$1,377",$641,"1,697","1,708",$0.19,$0.19
2013-09-30,"$4,394","$1,438","$2,956",-,"$1,166",-,"$3,209","$1,185",$-190,$995,$297,$698,-,$698,-,$698,"$1,875","$1,185","1,695","1,707",$0.41,$0.41
2013-06-30,"$3,833","$1,262","$2,571",-,"$1,090",-,"$2,852",$981,$-160,$821,$211,$610,-,$610,-,$610,"$1,576",$981,"1,687","1,699",$0.36,$0.36
2013-03-31,"$3,279","$1,065","$2,214",-,"$1,061",$-300,"$2,845",$434,$-249,$185,$144,$41,-,$41,$231,$272,$934,$434,"1,684","1,695",$0.16,$0.16
2012-12-31,"$3,375","$1,177","$2,198",-,"$1,071",-,"$2,644",$731,$-165,$566,$138,$428,-,$428,-,$428,"$1,183",$731,"1,667","1,677",$0.26,$0.26
2012-09-30,"$3,843","$1,526","$2,317",-,"$1,108",-,"$3,101",$742,$-173,$569,$154,$415,-,$415,-,$415,"$1,263",$742,"1,677","1,687",$0.25,$0.24
2012-06-30,"$3,667","$1,236","$2,431",-,"$1,096",-,"$2,667","$1,000",$-150,$850,$243,$607,-,$607,-,$607,"$1,408","$1,000","1,660","1,669",$0.36,$0.36
2012-03-31,"$3,371","$1,182","$2,189",-,"$1,066",-,"$2,568",$803,$-185,$618,$157,$461,-,$461,-,$461,"$1,199",$803,"1,649","1,659",$0.28,$0.28
2011-12-31,"$3,864","$1,384","$2,480",-,"$1,133",-,"$2,849","$1,015",$-91,$924,$256,$668,-,$668,-,$668,"$1,418","$1,015","1,666","1,676",$0.40,$0.40
2011-09-30,"$4,382","$1,911","$2,471",-,"$1,064",-,"$3,471",$911,$-346,$565,$158,$407,-,$407,-,$407,"$1,486",$911,"1,670","1,679",$0.24,$0.24
2011-06-30,"$3,961","$1,557","$2,404",-,"$1,038",$-51,"$3,054",$907,$-180,$727,$147,$580,-,$580,-,$580,"$1,376",$907,"1,668","1,677",$0.35,$0.34
2011-03-31,"$3,134","$1,404","$1,730",-,$971,-,"$2,706",$428,$-192,$236,$-32,$268,-,$268,-,$268,$830,$428,"1,663","1,674",$0.16,$0.16
2010-12-31,"$3,413","$1,447","$1,966",-,"$1,036",-,"$2,959",$454,$-189,$265,$1,$264,-,$264,-,$264,$983,$454,"1,641","1,652",$0.16,$0.16
2010-09-30,"$4,691","$1,991","$2,700",-,"$1,044",-,"$3,566","$1,125",$-165,$960,$240,$720,-,$720,-,$720,"$1,729","$1,125","1,644","1,655",$0.44,$0.43
2010-06-30,"$3,591","$1,455","$2,136",-,"$1,041",-,"$2,882",$709,$-215,$494,$77,$417,-,$417,-,$417,"$1,163",$709,"1,636","1,646",$0.26,$0.25
2010-03-31,"$3,622","$1,349","$2,273",-,$920,-,"$2,683",$939,$-169,$770,$214,$556,-,$556,-,$556,"$1,425",$939,"1,630","1,640",$0.34,$0.34
2009-12-31,"$3,654","$1,633","$2,021",-,$976,-,"$3,097",$557,$-154,$403,$55,$348,-,$348,-,$348,"$1,098",$557,"1,618","1,629",$0.21,$0.21
2009-09-30,"$4,473","$2,164","$2,309",-,"$1,027",-,"$3,624",$849,$-134,$715,$182,$533,-,$533,-,$533,"$1,349",$849,"1,620","1,632",$0.33,$0.33
2009-06-30,"$3,811","$1,797","$2,014",-,$974,-,"$3,206",$605,$-164,$441,$71,$370,-,$370,-,$370,"$1,099",$605,"1,615","1,626",$0.23,$0.23
2009-03-31,"$3,705","$1,811","$1,894",-,$902,-,"$3,122",$583,$-200,$383,$19,$364,-,$364,-,$364,"$1,052",$583,"1,609","1,619",$0.23,$0.23
2008-12-31,"$4,004","$1,994","$2,010",-,$886,-,"$3,251",$753,$-238,$515,$108,$407,-,$407,-,$407,"$1,179",$753,"1,600","1,611",$0.26,$0.25
2008-09-30,"$5,387","$2,728","$2,659",-,$975,-,"$4,071","$1,316",$-181,"$1,135",$361,$774,-,$774,-,$774,"$1,765","$1,316","1,602","1,612",$0.48,$0.48
2008-06-30,"$3,585","$1,964","$1,621",-,$949,-,"$3,272",$313,$-153,$160,$-49,$209,-,$209,-,$209,$690,$313,"1,599","1,610",$0.13,$0.13
2008-03-31,"$3,434","$1,726","$1,708",-,$921,$-11,"$2,991",$443,$-164,$279,$30,$249,-,$249,-,$249,$834,$443,"1,596","1,608",$0.15,$0.15
2007-12-31,"$3,684","$1,971","$1,713",-,$931,-,"$3,263",$421,$-189,$232,$8,$224,-,$224,-,$224,$883,$421,"1,591","1,602",$0.14,$0.14
2007-09-30,"$4,575","$2,443","$2,132",-,$903,-,"$3,675",$900,$-140,$760,$227,$533,-,$533,-,$533,"$1,205",$900,"1,592","1,604",$0.34,$0.33
2007-06-30,"$3,929","$2,106","$1,823",-,$832,-,"$3,265",$664,$-132,$532,$127,$405,-,$405,-,$405,"$1,025",$664,"1,590","1,602",$0.26,$0.25
2007-03-31,"$3,075","$1,672","$1,403",-,$787,-,"$2,777",$298,$-142,$156,$6,$150,-,$150,-,$150,$649,$298,"1,587","1,599",$0.10,$0.10
2006-12-31,"$3,623","$2,060","$1,563",-,$796,$-103,"$3,306",$317,$-36,$281,$14,$267,-,$267,-,$267,$792,$317,"1,574","1,586",$0.17,$0.17
2006-09-30,"$4,694","$2,656","$2,038",-,$814,-,"$3,822",$872,$-114,$758,$231,$527,-,$527,-,$527,"$1,124",$872,"1,580","1,590",$0.33,$0.33
2006-06-30,"$3,809","$2,174","$1,635",-,$809,$-54,"$3,374",$435,$-124,$311,$75,$236,-,$236,-,$236,$787,$435,"1,577","1,587",$0.15,$0.15
