,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$6,644.443","$4,165.16","$2,479.283",$486.936,"$1,038.104",-,"$5,690.202",$954.241,$-447.825,$506.417,$-35.739,$542.156,-,$542.156,-,$542.156,"$3,968.809",$954.241,441,454,$1.23,$1.18
2020-09-30,"$6,435.637","$3,867.751","$2,567.886",$453.802,$799.221,-,"$5,120.773","$1,314.864",$-453.403,$861.46,$71.484,$789.976,-,$789.976,-,$789.976,"$4,077.196","$1,314.864",442,455,$1.79,$1.74
2020-06-30,"$6,148.286","$3,643.707","$2,504.579",$435.045,$711.606,-,"$4,790.358","$1,357.928",$-322.326,"$1,035.602",$315.406,$720.196,-,$720.196,-,$720.196,"$3,991.748","$1,357.928",441,454,$1.63,$1.59
2020-03-31,"$5,767.691","$3,599.701","$2,167.99",$453.817,$755.917,-,"$4,809.435",$958.256,$-162.386,$795.87,$86.803,$709.067,-,$709.067,-,$709.067,"$3,470.158",$958.256,439,452,$1.61,$1.57
2019-12-31,"$5,467.435","$3,466.023","$2,001.412",$409.376,"$1,133.523",-,"$5,008.922",$458.513,$-309.179,$149.333,$-437.637,$586.97,-,$586.97,-,$586.97,"$3,066",$458.512,438,452,$1.33,$1.30
2019-09-30,"$5,244.905","$3,097.919","$2,146.986",$379.776,$786.971,-,"$4,264.666",$980.239,$32.084,"$1,012.323",$347.079,$665.244,-,$665.244,-,$665.244,"$3,286.92",$980.239,438,452,$1.52,$1.47
2019-06-30,"$4,923.116","$3,005.657","$1,917.459",$383.233,$827.807,-,"$4,216.697",$706.419,$-205.503,$500.916,$230.266,$270.65,-,$270.65,-,$270.65,"$2,963.831",$706.419,438,452,$0.62,$0.60
2019-03-31,"$4,520.992","$2,870.614","$1,650.378",$372.764,$818.53,-,"$4,061.908",$459.084,$-59.425,$399.659,$55.607,$344.052,-,$344.052,-,$344.052,"$2,607.331",$459.084,437,452,$0.79,$0.76
2018-12-31,"$4,186.841","$2,733.4","$1,453.44",$331.789,$905.885,-,"$3,971.073",$215.767,$-96.371,$119.396,$-14.538,$133.934,-,$133.934,-,$133.934,"$2,260.399",$215.768,435,451,$0.31,$0.30
2018-09-30,"$3,999.374","$2,531.128","$1,468.246",$308.62,$678.958,-,"$3,518.706",$480.668,$-101.858,$378.81,$-24.025,$402.835,-,$402.835,-,$402.835,"$2,423.555",$480.668,436,452,$0.92,$0.89
