,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-09-30,"$2,809","$2,034",$775,$1,$253,$-29,"$2,416",$393,$-52,$341,$92,$249,-,$249,-,$249,$578,$393,244,245,$1.02,$1.02
2020-06-30,"$2,238","$1,434",$804,$2,$208,-,"$1,754",$484,$-70,$414,$101,$313,-,$313,-,$313,$652,$484,245,246,$1.28,$1.27
2020-03-31,"$2,019","$1,457",$562,$3,$209,$6,"$1,775",$244,$-100,$144,$23,$121,-,$121,-,$121,$395,$244,248,249,$0.49,$0.49
2019-12-31,"$2,195","$1,654",$541,$2,$212,$-22,"$1,986",$209,$-89,$120,"$-3,343","$3,463",-,"$3,463",$-78,"$3,383",$408,$209,262,264,$12.99,$12.89
2019-09-30,"$2,996","$2,153",$843,$1,$210,-,"$2,456",$540,$-160,$380,$6,$374,-,$374,$-2,$372,$687,$540,254,256,$1.46,$1.45
2019-06-30,"$2,465","$1,845",$620,$2,$211,-,"$2,145",$320,$-132,$188,$-1,$189,-,$189,$13,$201,$446,$320,265,267,$0.76,$0.75
2019-03-31,"$2,165","$1,651",$514,$2,$194,$1,"$1,944",$221,$-123,$98,$4,$94,-,$94,$388,$482,$343,$221,278,280,$1.73,$1.72
2018-12-31,"$1,992","$1,596",$396,$2,$212,$-113,"$1,943",$49,$-153,$-104,$-12,$-92,-,$-92,$80,$-11,$216,$49,304,308,$0.01,$0.01
2018-09-30,"$2,960","$2,238",$722,$1,$211,$14,"$2,562",$398,$-103,$295,$8,$287,-,$287,$-336,$-72,$539,$398,299,299,$-0.24,$-0.24
2018-06-30,"$2,461","$1,889",$572,$3,$200,$-60,"$2,287",$174,$-142,$32,$5,$27,-,$27,$69,$72,$333,$174,310,314,$0.23,$0.23
2018-03-31,"$2,065","$1,385",$680,$5,$176,$2,"$1,704",$361,$-117,$244,$6,$238,-,$238,$-5,$279,$526,$361,318,322,$0.88,$0.87
2017-12-31,"$1,251","$1,111",$140,$-19,$165,"$-1,447","$2,664","$-1,413",$-92,"$-1,505",$-45,"$-1,460",-,"$-1,460",$-195,"$-1,535","$-1,252","$-1,413",317,317,$-4.83,$-4.82
2017-09-30,"$2,740","$2,072",$668,$6,$190,$-12,"$2,443",$297,$-111,$186,$1,$185,-,$185,$-22,$171,$308,$297,317,322,$0.54,$0.53
2017-06-30,"$2,701","$1,841",$860,$18,$221,$-22,"$2,362",$339,$-236,$103,$4,$99,-,$99,$-741,$-626,$654,$339,316,316,$-1.98,$-1.98
2017-03-31,"$2,382","$1,862",$520,$17,$260,$50,"$2,346",$36,$-209,$-173,$-4,$-169,-,$-169,$-34,$-163,$358,$36,316,316,$-0.52,$-0.52
2016-12-31,$17,$599,$-582,$-17,$237,$-354,"$1,051","$-1,034",$17,"$-1,017",$-49,$-968,-,$-968,$-87,$-987,"$-1,163","$-1,034",316,316,$-3.12,$-3.12
2016-09-30,"$3,421","$2,440",$981,$21,$277,$43,"$2,993",$428,$-272,$156,$28,$128,-,$128,$265,$402,$808,$428,316,317,$1.27,$1.27
2016-06-30,"$2,248","$1,443",$805,$18,$266,$-91,"$2,085",$163,$-301,$-138,$25,$-163,-,$-163,$-113,$-193,$483,$163,315,315,$-0.61,$-0.61
2016-03-31,"$3,229","$2,194","$1,035",$26,$252,$32,"$2,753",$476,$-408,$68,$21,$47,-,$47,-,$77,$837,$476,315,315,$0.24,$0.24
2015-12-31,$665,$459,$206,$45,$340,"$-4,397","$5,403","$-4,738",$-127,"$-4,865","$1,388","$-6,253",-,"$-6,253",-,"$-6,319","$-4,410","$-4,738",329,329,$-19.21,$-19.21
2015-09-30,"$4,434","$3,042","$1,392",$38,$327,$-263,"$4,055",$379,$-265,$114,$47,$67,-,$67,-,$61,$821,$379,331,332,$0.18,$0.18
2015-06-30,"$3,400","$2,436",$964,$37,$296,-,"$3,168",$232,$-258,$-26,$-17,$-9,-,$-9,-,$-19,$661,$232,333,333,$-0.06,$-0.06
2015-03-31,"$3,829","$3,063",$766,$34,$265,$14,"$3,753",$76,$-285,$-209,$-73,$-136,-,$-136,-,$-125,$510,$76,336,336,$-0.37,$-0.37
2014-12-31,"$4,192","$2,965","$1,227",$26,$279,$-27,"$3,739",$453,$-285,$168,$71,$97,-,$97,-,$70,$937,$453,334,339,$0.22,$0.23
2014-09-30,"$4,569","$3,278","$1,291",$22,$258,$-70,"$4,020",$549,$-278,$271,$89,$182,-,$182,-,$166,$975,$549,338,343,$0.49,$0.48
2014-06-30,"$3,621","$2,828",$793,$21,$257,-,"$3,532",$89,$-295,$-206,$-126,$-80,-,$-80,-,$-100,$505,$89,337,337,$-0.30,$-0.30
2014-03-31,"$3,486","$2,737",$749,$19,$222,$19,"$3,306",$180,$-278,$-98,$-31,$-67,-,$-67,-,$-58,$542,$180,324,324,$-0.18,$-0.18
2013-12-31,"$2,795","$1,953",$842,$21,$225,-,"$3,000",$-205,$-312,$-517,$-227,$-290,-,$-290,-,$-299,$67,$-205,323,323,$-0.92,$-0.92
2013-09-30,"$3,490","$2,373","$1,117",$24,$213,-,"$2,963",$527,$-229,$298,$160,$138,-,$138,-,$117,$802,$527,323,327,$0.36,$0.36
2013-06-30,"$2,929","$2,051",$878,$21,$230,-,"$2,642",$287,$-219,$68,$-63,$131,-,$131,-,$121,$722,$287,323,327,$0.37,$0.37
