,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$2,570.577","$1,627.086",$943.491,-,$249.771,$0.767,"$2,031.914",$538.663,$-135.427,$403.236,$95.207,$308.029,-,$308.029,-,$307.754,$691.311,$538.663,431,432,$0.74,$0.74
2020-09-30,"$2,174.264","$1,265.674",$908.59,-,$204.929,$0.017,"$1,623.831",$550.433,$-131.562,$418.871,$106.555,$312.316,-,$312.316,-,$312.041,$703.678,$550.433,445,446,$0.70,$0.70
2020-06-30,"$1,660.729",$940.458,$720.271,-,$224.464,$0.339,"$1,304.999",$355.73,$-178.269,$177.461,$43.14,$134.321,-,$134.321,-,$134.046,$-145.608,$355.73,420,420,$0.32,$0.32
2020-03-31,"$2,136.672","$1,276.928",$859.744,-,$207.04,$0.204,"$2,220.141",$-83.469,$-113.783,$-197.252,$-55.395,$-141.857,-,$-141.857,-,$-142.132,$690.638,$-83.469,414,415,$-0.34,$-0.34
2019-12-31,"$2,663.606","$1,791.341",$872.265,-,$259.275,$0.307,"$2,176.293",$487.314,$-68.883,$418.431,$98.18,$320.251,-,$320.251,-,$319.976,$613.297,$487.313,414,415,$0.77,$0.77
2019-09-30,"$2,263.228","$1,414.528",$848.7,-,$245.135,$0.016,"$1,781.077",$482.151,$-75.631,$406.52,$97.365,$309.155,-,$309.155,-,$308.88,$603.581,$482.151,414,416,$0.75,$0.74
2019-06-30,"$2,457.575","$1,625.794",$831.781,-,$237.713,$-2.958,"$1,981.429",$476.146,$-65.248,$410.898,$98.935,$311.963,-,$311.963,-,$311.688,$591.11,$476.146,414,415,$0.75,$0.75
2019-03-31,"$2,779.958","$1,956.377",$823.581,-,$240.741,$0.06,"$2,311.216",$468.742,$-53.6,$415.142,$77.934,$337.208,-,$337.208,-,$336.933,$582.9,$468.742,413,415,$0.82,$0.81
2018-12-31,"$3,136.7","$2,318.099",$818.601,-,$236.34,$0.253,"$2,664.834",$471.866,$-82.359,$389.506,$96.618,$292.888,-,$292.888,-,$292.613,$582.515,$471.866,411,414,$0.71,$0.71
2018-09-30,"$3,393.89","$2,560.765",$833.125,-,$230.371,$0.163,"$2,898.356",$495.534,$-78.635,$416.899,$102.983,$313.916,-,$313.916,-,$312.984,$602.917,$495.534,412,415,$0.76,$0.75
2018-06-30,"$2,960.529","$2,175.818",$784.711,-,$230.153,$0.096,"$2,512.163",$448.366,$-78.656,$369.71,$87.531,$282.179,-,$282.179,-,$280.773,$554.654,$448.366,412,415,$0.68,$0.68
2018-03-31,"$3,102.077","$2,368.026",$734.051,-,$210.204,$0.089,"$2,682.378",$419.699,$-77.879,$341.82,$75.771,$266.049,-,$266.049,-,$264.233,$523.936,$419.699,410,412,$0.65,$0.64
2017-12-31,"$3,792.158","$3,073.764",$718.394,-,$214.083,$0.02,"$3,391.597",$400.561,$-84.381,$316.181,$251.369,$64.812,-,$64.812,-,$62.771,$484.09,$400.562,297,300,$0.12,$0.12
2017-09-30,"$2,906.366","$2,229.416",$676.95,-,$204.334,$-15.696,"$2,551.744",$354.622,$-90.963,$263.659,$97.128,$166.531,-,$166.531,-,$165.466,$477.16,$354.622,381,383,$0.43,$0.43
2017-06-30,"$2,725.772","$2,091.022",$634.75,-,$215.088,$0.637,"$2,406.322",$319.45,$-99.615,$219.835,$43.844,$175.991,-,$175.991,-,$71.476,$420.299,$319.45,212,214,$0.34,$0.33
