,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$4,363","$1,665","$2,698",$33,$213,"$-1,728","$5,881","$-1,518",$150,"$-1,368",$-219,"$-1,149",-,"$-1,149",$37,"$-1,312",$675,"$-1,079",919,919,$-1.38,$-1.38
2020-09-30,"$4,108","$1,617","$2,491",$29,$166,"$-4,195","$8,254","$-4,146",$88,"$-4,058",$-403,"$-3,655",-,"$-3,655",$80,"$-3,778","$-1,857","$-3,772",929,929,$-4.07,$-4.07
2020-06-30,"$2,928","$1,575","$1,353",$33,$225,"$-6,658","$11,036","$-8,108",$-76,"$-8,184","$-1,468","$-6,716",-,"$-6,716","$-1,415","$-8,353","$-5,579","$-7,765",916,916,$-9.12,$-9.12
2020-03-31,"$6,410","$2,216","$4,194",$37,$260,"$-2,699","$7,920","$-1,510",$-585,"$-2,095",$-82,"$-2,013",-,"$-2,013",-,"$-2,232","$1,118","$-1,124",897,897,$-2.49,$-2.49
2019-12-31,"$6,628","$2,041","$4,587",$113,$345,$-906,"$7,763","$-1,135",$266,$-869,$167,"$-1,036",-,"$-1,036",-,"$-1,336","$1,710",$-659,810,810,$-1.82,$-1.82
2019-09-30,"$5,859","$1,936","$3,923",$63,$245,"$-2,064","$6,400",$-541,$-33,$-574,$163,$-737,-,$-737,$-15,$-912,"$1,663",$-104,846,846,$-1.08,$-1.08
2019-06-30,"$4,420","$1,386","$3,034",$35,$163,$-702,"$3,479",$941,-,$941,$306,$635,-,$635,-,$635,"$2,166","$1,135",748,750,$0.84,$0.84
2019-03-31,"$4,004","$1,345","$2,659",$36,$140,$-634,"$3,148",$856,-,$856,$225,$631,-,$631,-,$628,"$2,005","$1,032",749,751,$0.84,$0.84
2018-12-31,"$4,762","$1,588","$3,174",$50,$162,$-839,"$3,789",$973,-,$973,$126,$847,-,$706,-,$709,"$2,193","$1,107",762,763,$0.94,$0.93
2018-09-30,"$5,216","$1,443","$3,773",$24,$151,$66,"$2,637","$2,579",-,"$2,579",$710,"$1,869",-,"$1,869",-,"$1,869","$3,732","$2,709",762,763,$2.44,$2.44
