,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$3,411.905","$2,519.545",$892.36,-,$356.572,-,"$2,876.117",$535.788,$40.724,$576.512,$129.015,$447.497,-,$447.497,-,$447.306,$685.606,$535.788,129,131,$3.47,$3.41
2020-09-30,"$3,230.54","$2,384.328",$846.212,-,$369.851,-,"$2,754.179",$476.361,$-61.066,$415.295,$93.578,$321.717,-,$321.717,-,$321.409,$624.803,$476.361,129,130,$2.50,$2.47
2020-06-30,"$3,160.603","$2,357.319",$803.284,-,$352.793,-,"$2,710.111",$450.492,$-79.923,$370.568,$74.873,$295.695,-,$295.695,-,$295.716,$597.074,$450.491,128,130,$2.30,$2.29
2020-03-31,"$3,702.432","$2,766.693",$935.739,-,$413.46,-,"$3,180.153",$522.279,$-68.122,$454.157,$86.788,$367.369,-,$367.369,-,$367.253,$659.928,$522.279,128,130,$2.86,$2.83
2019-12-31,"$3,497.974","$2,682.765",$815.209,-,$491.121,-,"$3,173.886",$324.088,$-69.342,$254.746,$50.148,$204.598,-,$204.598,-,$204.474,$468.317,$324.088,128,130,$1.59,$1.57
2019-09-30,"$3,334.511","$2,479.741",$854.77,-,$399.179,-,"$2,878.92",$455.591,$-22.435,$433.156,$94.115,$339.041,-,$339.041,-,$338.898,$564.662,$455.591,128,130,$2.64,$2.60
2019-06-30,"$3,681.468","$2,739.578",$941.889,-,$391.493,-,"$3,131.071",$550.397,$-37.048,$513.348,$99.61,$413.738,-,$413.738,-,$413.668,$655.785,$550.396,130,132,$3.20,$3.19
2019-03-31,"$3,687.518","$2,766.744",$920.774,-,$360.865,-,"$3,127.609",$559.909,$-30.709,$529.2,$117.819,$411.381,-,$411.381,-,$411.248,$668.167,$559.909,129,131,$3.20,$3.14
2018-12-31,"$3,472.045","$2,602.339",$869.706,-,$397.259,-,"$2,999.598",$472.447,$-41.293,$431.154,$119.241,$311.913,-,$311.913,-,$311.737,$582.499,$472.447,130,132,$2.39,$2.36
2018-09-30,"$3,479.294","$2,594.823",$884.471,-,$394.322,-,"$2,989.145",$490.149,$-30.426,$459.723,$83.824,$375.899,-,$375.899,-,$375.711,$602.64,$490.149,132,135,$2.84,$2.79
2018-06-30,"$3,817.477","$2,830.198",$987.279,-,$418.21,-,"$3,248.409",$569.068,$-71.142,$497.927,$144.599,$353.328,-,$353.328,-,$353.256,$683.837,$569.068,133,135,$2.67,$2.62
2018-03-31,"$3,749.591","$2,819.804",$929.787,-,$416.457,-,"$3,236.261",$513.33,$-43.503,$469.827,$103.697,$366.13,-,$366.13,-,$365.989,$630.43,$513.33,133,136,$2.75,$2.70
2017-12-31,"$3,370.673","$2,564.449",$806.224,-,$408.338,-,"$2,972.787",$397.886,$-37.665,$360.221,$303.899,$56.322,-,$56.322,-,$56.159,$515.995,$397.886,133,136,$0.42,$0.41
2017-09-30,"$3,364.651","$2,523.294",$841.357,-,$396.984,-,"$2,920.278",$444.373,$-70.071,$374.302,$88.767,$285.535,-,$285.535,-,$285.397,$560.48,$444.373,133,136,$2.14,$2.10
2017-06-30,"$3,496.238","$2,584.749",$911.489,-,$361.237,-,"$2,945.986",$550.252,$-149.641,$400.611,$107.252,$293.359,-,$293.359,-,$293.305,$668.938,$550.251,133,136,$2.20,$2.17
2017-03-31,"$3,119.139","$2,383.79",$735.349,-,$392.036,-,"$2,775.826",$343.313,$-28.25,$315.063,$76.216,$238.847,-,$238.847,-,$238.673,$430.771,$343.313,133,136,$1.79,$1.75
2016-12-31,"$2,670.804","$2,044.484",$626.32,-,$336.578,-,"$2,381.062",$289.742,$30.98,$320.722,$79.322,$241.4,-,$241.4,-,$241.305,$363.494,$289.742,133,136,$1.81,$1.78
2016-09-30,"$2,743.131","$2,106.006",$637.125,-,$322.969,-,"$2,428.975",$314.156,$-21.911,$292.245,$82.007,$210.238,-,$210.238,-,$210.129,$389.489,$314.156,134,136,$1.57,$1.55
2016-06-30,"$2,957.15","$2,272.455",$684.695,-,$338.572,-,"$2,611.027",$346.123,$-9.917,$336.206,$94.295,$241.911,-,$241.911,-,$241.796,$421.189,$346.123,135,137,$1.80,$1.78
2016-03-31,"$2,828.665","$2,209.401",$619.264,-,$335.908,-,"$2,545.309",$283.356,$-10.363,$272.993,$85.851,$187.142,-,$187.142,-,$187.084,$359.04,$283.356,135,137,$1.39,$1.37
2015-12-31,"$2,705.59","$2,140.624",$564.966,-,$314.666,-,"$2,455.29",$250.3,$-20.42,$229.88,$46.743,$183.137,-,$183.137,-,$182.982,$328.171,$250.3,135,137,$1.35,$1.33
