,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$7,444","$2,572","$4,872",-,"$1,949",-,"$4,539","$2,905",$-193,"$2,712",$613,"$2,099",-,"$2,119",-,"$1,966","$3,177","$2,905","1,557","1,558",$1.26,$1.26
2020-09-30,"$7,446","$2,416","$5,030",-,"$1,769",-,"$4,203","$3,243",$-186,"$3,057",$640,"$2,417",-,"$2,437",-,"$2,302","$3,482","$3,243","1,558","1,558",$1.48,$1.48
2020-06-30,"$6,651","$2,179","$4,472",-,"$1,722",-,"$3,920","$2,731",$-184,"$2,547",$528,"$2,019",-,"$2,049",-,"$1,947","$2,960","$2,731","1,557","1,557",$1.25,$1.25
2020-03-31,"$7,153","$2,402","$4,751",-,"$1,944",-,"$4,364","$2,789",$-152,"$2,637",$596,"$2,041",-,"$1,987",-,"$1,821","$3,030","$2,789","1,557","1,558",$1.17,$1.17
2019-12-31,"$7,713","$2,778","$4,935",-,"$2,413",-,"$5,207","$2,506",$-164,"$2,342",$623,"$1,719",-,"$1,782",-,"$1,608","$2,761","$2,506","1,555","1,556",$1.03,$1.03
2019-09-30,"$7,642","$2,605","$5,037",-,"$2,234",-,"$4,854","$2,788",$-152,"$2,636",$635,"$2,001",-,"$2,046",-,"$1,891","$3,025","$2,788","1,556","1,556",$1.22,$1.22
2019-06-30,"$7,699","$2,665","$5,034",-,"$1,831",-,"$4,512","$3,187",$-170,"$3,017",$611,"$2,406",-,"$2,436",-,"$2,319","$3,419","$3,187","1,556","1,556",$1.49,$1.49
2019-03-31,"$6,751","$2,465","$4,286",-,"$2,217",-,"$4,701","$2,050",$-173,"$1,877",$424,"$1,453",-,"$1,464",-,"$1,350","$2,290","$2,050","1,555","1,556",$0.87,$0.87
2018-12-31,"$7,499","$2,781","$4,718",-,"$1,997",-,"$4,797","$2,702",$-147,"$2,555",$551,"$2,004",-,"$2,003",-,"$1,907","$2,957","$2,702","1,555","1,555",$1.23,$1.23
2018-09-30,"$7,504","$2,618","$4,886",-,"$1,710",-,"$4,348","$3,156",$-152,"$3,004",$691,"$2,313",-,"$2,341",-,"$2,242","$3,402","$3,156","1,555","1,555",$1.44,$1.44
2018-06-30,"$7,726","$2,744","$4,982",-,"$1,868",-,"$4,633","$3,093",$-174,"$2,919",$644,"$2,275",-,"$2,295",-,"$2,193","$3,339","$3,093","1,555","1,555",$1.41,$1.41
2018-03-31,"$6,896","$2,615","$4,281",-,"$1,833",-,"$4,470","$2,426",$-233,"$2,193",$559,"$1,634",-,"$1,647",-,"$1,553","$2,668","$2,426","1,553","1,554",$1.00,$1.00
2017-12-31,"$8,294","$3,001","$5,293",-,"$1,930",-,"$4,954","$3,340",$-281,"$3,059","$2,265",$794,-,$796,-,$692,"$3,583","$3,340","1,552","1,553",$0.45,$0.45
2017-09-30,"$7,473","$2,735","$4,738",-,"$1,629",-,"$4,385","$3,088",$-243,"$2,845",$812,"$2,033",-,"$2,045",-,"$1,966","$3,313","$3,088","1,553","1,554",$1.27,$1.27
2017-06-30,"$6,917","$2,519","$4,398",-,"$1,639",-,"$4,180","$2,737",$-229,"$2,508",$689,"$1,819",-,"$1,842",-,"$1,776","$2,947","$2,737","1,553","1,554",$1.14,$1.14
2017-03-31,"$6,064","$2,177","$3,887",-,"$1,449",-,"$3,648","$2,416",$-239,"$2,177",$541,"$1,636",-,"$1,658",-,"$1,587","$2,613","$2,416","1,552","1,553",$1.02,$1.02
2016-12-31,"$-29,079","$-33,551","$4,472",-,"$1,754",-,"$-31,779","$2,700",$-289,"$2,411",$658,"$1,753",-,"$1,775",-,"$1,707","$2,895","$2,700","1,551","1,551",$1.10,$1.10
2016-09-30,"$19,935","$15,385","$4,550",-,"$1,554",-,"$16,958","$2,977",$-220,"$2,757",$764,"$1,993",-,"$2,028",-,"$1,933","$3,165","$2,977","1,551","1,551",$1.25,$1.25
2016-06-30,"$19,041","$14,756","$4,285",-,"$1,513",-,"$16,288","$2,753",$-223,"$2,530",$716,"$1,814",-,"$1,842",-,"$1,783","$2,938","$2,753","1,551","1,551",$1.15,$1.15
2016-03-31,"$16,788","$12,801","$3,987",-,"$1,496",-,"$14,315","$2,473",$-247,"$2,226",$630,"$1,596",-,"$1,605",-,"$1,525","$2,648","$2,473","1,550","1,550",$0.98,$0.98
2015-12-31,"$18,371","$14,354","$4,017",-,"$2,028",-,"$16,470","$1,901",$-227,"$1,674",$412,"$1,262",-,"$1,298",-,"$1,245","$2,094","$1,901","1,549","1,549",$0.80,$0.80
2015-09-30,"$19,422","$14,878","$4,544",-,"$1,566",-,"$16,463","$2,959",$-247,"$2,712",$748,"$1,964",-,"$1,984",-,"$1,935","$3,143","$2,959","1,549","1,549",$1.25,$1.25
2015-06-30,"$18,763","$14,282","$4,481",-,"$1,568",-,"$15,871","$2,892",$-259,"$2,633",$743,"$1,890",-,"$1,916",-,"$1,881","$3,077","$2,892","1,549","1,549",$1.21,$1.21
2015-03-31,"$17,352","$12,965","$4,387",-,"$1,494",-,"$14,481","$2,871",$-275,"$2,596",$785,"$1,811",-,"$1,834",-,"$1,788","$3,063","$2,871","1,548","1,548",$1.16,$1.16
2014-12-31,"$19,941","$15,376","$4,565",-,"$1,975",$-32,"$17,409","$2,532",$-263,"$2,269",$651,"$1,618",-,"$1,649",-,"$1,596","$2,761","$2,532","1,566","1,566",$1.03,$1.03
2014-09-30,"$21,335","$16,213","$5,122",-,"$1,763",$9,"$17,990","$3,345",$-267,"$3,078",$918,"$2,160",-,"$2,198",-,"$2,146","$3,578","$3,345","1,560","1,560",$1.38,$1.38
2014-06-30,"$21,051","$15,950","$5,101",-,"$1,716",$-489,"$18,177","$2,874",$-254,"$2,620",$752,"$1,868",-,"$1,895",-,"$1,842","$3,090","$2,874","1,571","1,571",$1.17,$1.17
2014-03-31,"$17,779","$13,236","$4,543",-,"$1,547",$-23,"$14,828","$2,951",$-268,"$2,683",$776,"$1,907",-,"$1,916",-,"$1,875","$3,162","$2,951","1,583","1,583",$1.18,$1.18
2013-12-31,"$20,390","$15,203","$5,187",-,"$1,676",$-301,"$17,202","$3,188",$-252,"$2,936",$893,"$2,043",-,"$2,036",-,"$1,976","$3,411","$3,188","1,622","1,622",$1.24,$1.24
2013-09-30,"$20,629","$15,320","$5,309",-,"$1,687",-,"$17,030","$3,599",$-239,"$3,360",$952,"$2,408",-,"$2,402",-,"$2,328","$3,817","$3,599","1,614","1,614",$1.44,$1.44
2013-06-30,"$20,483","$15,267","$5,216",-,"$1,850",$-5,"$17,146","$3,337",$-246,"$3,091",$892,"$2,199",-,"$2,194",-,"$2,113","$3,556","$3,337","1,631","1,631",$1.30,$1.30
2013-03-31,"$18,527","$13,432","$5,095",-,"$1,677",$-3,"$15,136","$3,391",$-236,"$3,155",$933,"$2,222",-,"$2,218",-,"$2,114","$3,613","$3,391","1,646","1,646",$1.28,$1.28
2012-12-31,"$19,742","$14,534","$5,208",-,"$1,918",$-33,"$16,509","$3,233",$-226,"$3,007",$799,"$2,208",-,"$2,191",-,"$2,083","$3,466","$3,233","1,692","1,692",$1.24,$1.24
