,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$6,116","$3,203","$2,913",$732,"$1,174",-,"$5,153",$963,$896,"$1,859",$292,"$1,567",-,"$1,567",-,"$1,567","$1,264",$963,"1,173","1,187",$1.34,$1.32
2020-09-30,"$5,459","$2,815","$2,644",$674,$974,-,"$4,482",$977,$167,"$1,144",$123,"$1,021",-,"$1,021",-,"$1,021","$1,275",$977,"1,172","1,190",$0.87,$0.86
2020-06-30,"$5,261","$2,706","$2,555",$631,$926,-,"$4,310",$951,$848,"$1,799",$269,"$1,530",-,"$1,530",-,"$1,530","$1,248",$951,"1,173","1,184",$1.30,$1.29
2020-03-31,"$4,618","$2,729","$1,889",$605,$857,-,"$4,220",$398,$-135,$263,$179,$84,-,$84,-,$84,$691,$398,"1,173","1,185",$0.07,$0.07
2019-12-31,"$4,961","$2,732","$2,229",$558,$872,-,"$4,162",$799,$55,$854,$347,$507,-,$507,-,$507,"$1,026",$799,"1,174","1,188",$0.43,$0.43
2019-09-30,"$4,378","$2,431","$1,947",$533,$717,-,"$3,681",$697,$-213,$484,$22,$462,-,$462,-,$462,$924,$697,"1,175","1,188",$0.39,$0.39
2019-06-30,"$4,305","$2,344","$1,961",$483,$775,-,"$3,600",$705,$238,$943,$120,$823,-,$823,-,$823,$933,$705,"1,175","1,187",$0.70,$0.69
2019-03-31,"$4,128","$2,278","$1,850",$511,$748,-,"$3,610",$518,$199,$717,$50,$667,-,$667,-,$667,$748,$518,"1,171","1,188",$0.57,$0.56
2018-12-31,"$4,226","$2,295","$1,931",$490,$831,-,"$3,628",$598,$88,$686,$102,$584,-,$584,-,$584,$821,$598,"1,184","1,203",$0.50,$0.49
2018-09-30,"$3,683","$2,011","$1,672",$452,$702,-,"$3,193",$490,$43,$533,$97,$436,-,$436,-,$436,$678,$490,"1,181","1,199",$0.37,$0.36
2018-06-30,"$3,857","$2,034","$1,823",$441,$694,-,"$3,285",$572,$37,$609,$83,$526,-,$526,-,$526,$752,$572,"1,187","1,202",$0.44,$0.44
2018-03-31,"$3,685","$1,922","$1,763",$448,$628,-,"$3,151",$534,$14,$548,$37,$511,-,$511,-,$511,$719,$534,"1,192","1,217",$0.43,$0.42
2017-12-31,"$3,744","$1,573","$2,171","$1,054",$760,-,"$2,901",$843,$21,$864,$244,$620,-,$620,-,$620,"$1,070",$843,"1,203","1,221",$0.51,$0.50
2017-09-30,"$3,239","$1,811","$1,428",$240,$571,-,"$2,816",$423,$28,$451,$71,$380,-,$380,-,$380,$617,$423,"1,202","1,223",$0.32,$0.31
2017-06-30,"$3,136","$1,707","$1,429",$232,$566,-,"$2,706",$430,$17,$447,$36,$411,-,$411,-,$411,$631,$430,"1,202","1,215",$0.34,$0.34
2017-03-31,"$2,975","$1,604","$1,371",$214,$503,-,"$2,544",$431,$7,$438,$54,$384,-,$384,-,$384,$614,$431,"1,203","1,216",$0.32,$0.32
2016-12-31,"$2,981","$1,589","$1,392",$215,$528,-,"$2,521",$460,$9,$469,$79,$390,-,$390,-,$390,$649,$460,"1,210","1,218",$0.32,$0.31
2016-09-30,"$2,667","$1,426","$1,241",$215,$494,-,"$2,319",$348,$12,$360,$37,$323,-,$323,-,$323,$533,$348,"1,207","1,214",$0.27,$0.27
2016-06-30,"$2,650","$1,383","$1,267",$209,$511,-,"$2,279",$371,$9,$380,$57,$323,-,$323,-,$323,$547,$371,"1,210","1,215",$0.27,$0.27
2016-03-31,"$2,544","$1,303","$1,241",$195,$464,-,"$2,137",$407,$15,$422,$57,$365,-,$365,-,$365,$581,$407,"1,216","1,225",$0.30,$0.30
2015-12-31,"$2,556","$1,294","$1,262",$208,$480,-,"$2,145",$411,$7,$418,$51,$367,-,$367,-,$367,$575,$411,"1,222","1,229",$0.29,$0.29
2015-09-30,"$2,258","$1,136","$1,122",$197,$442,-,"$1,928",$330,$20,$350,$49,$301,-,$301,-,$301,$483,$330,"1,221","1,227",$0.25,$0.25
2015-06-30,"$2,297","$1,097","$1,200",$202,$449,-,"$1,899",$398,$1,$399,$94,$305,-,$305,-,$305,$548,$398,"1,218","1,224",$0.25,$0.25
2015-03-31,"$2,137","$1,002","$1,135",$185,$439,-,"$1,815",$322,$-1,$321,$66,$255,-,$255,-,$255,$463,$322,"1,218","1,224",$0.21,$0.21
2014-12-31,"$2,193","$1,003","$1,190",$239,$614,-,"$1,988",$205,$-1,$347,$61,$286,-,$286,-,$286,$337,$205,"1,218","1,224",$0.23,$0.23
2014-09-30,"$1,975",$974,"$1,001",$232,$368,-,"$1,703",$272,$4,$276,$42,$234,-,$234,-,$234,$401,$272,"1,218","1,224",$0.19,$0.19
2014-06-30,"$1,983",$932,"$1,051",$221,$375,-,"$1,653",$330,$-4,$326,$45,$281,-,$281,-,$281,$455,$330,"1,218","1,224",$0.23,$0.23
2014-03-31,"$1,874",$898,$976,$198,$330,-,"$1,556",$318,$-6,$312,$694,$-382,-,$-382,-,$-382,$448,$318,-,-,-,-
2013-12-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-12-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
