,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$4,176",-,"$4,176",-,"$2,171",-,"$2,448","$1,728",$-252,"$1,476",$341,"$1,135",-,"$1,135",-,"$1,050","$2,579","$1,728","1,429","1,435",$0.58,$0.58
2020-09-30,"$2,448",-,"$2,448",-,"$1,328",-,"$1,450",$998,$-109,$889,$191,$698,-,$698,-,$615,"$1,621",$998,"1,289","1,294",$0.48,$0.48
2020-06-30,"$2,450",-,"$2,450",-,"$1,317",-,"$1,426","$1,024",$-136,$888,$217,$671,-,$671,-,$621,"$1,454","$1,024","1,288","1,294",$0.48,$0.48
2020-03-31,"$2,617",-,"$2,617",-,"$1,363",-,"$1,459","$1,158",$-111,"$1,047",$252,$795,-,$795,-,$757,"$1,444","$1,158","1,287","1,294",$0.59,$0.58
2019-12-31,"$2,606",-,"$2,606",-,"$1,299",-,"$1,393","$1,213",$-101,"$1,112",$260,$852,-,$852,-,$801,"$1,471","$1,213","1,311","1,320",$0.63,$0.62
2019-09-30,"$2,711",-,"$2,711",-,"$1,303",-,"$1,391","$1,320",$-84,"$1,236",$285,$951,-,$951,-,$913,"$1,531","$1,320","1,300","1,308",$0.70,$0.70
2019-06-30,"$2,681",-,"$2,681",-,"$1,257",-,"$1,341","$1,340",$-104,"$1,236",$299,$937,-,$937,-,$887,"$1,515","$1,340","1,328","1,337",$0.67,$0.66
2019-03-31,"$2,723",-,"$2,723",-,"$1,282",-,"$1,365","$1,358",$-94,"$1,264",$300,$964,-,$964,-,$925,"$1,509","$1,358","1,333","1,344",$0.69,$0.69
2018-12-31,"$2,669",-,"$2,669",-,"$1,267",-,"$1,347","$1,322",$-112,"$1,210",$275,$935,-,$935,-,$885,"$1,476","$1,322","1,348","1,361",$0.66,$0.65
2018-09-30,"$2,579",-,"$2,579",-,"$1,154",-,"$1,232","$1,347",$-128,"$1,219",$296,$923,-,$923,-,$885,"$1,514","$1,347","1,351","1,364",$0.66,$0.65
2018-06-30,"$2,486",-,"$2,486",-,"$1,158",-,"$1,233","$1,253",$-122,"$1,131",$265,$866,-,$866,-,$813,"$1,419","$1,253","1,350","1,364",$0.60,$0.60
2018-03-31,"$2,398",-,"$2,398",-,"$1,183",-,"$1,256","$1,142",$-140,"$1,002",$219,$783,-,$783,-,$746,"$1,311","$1,142","1,347","1,362",$0.55,$0.55
2017-12-31,"$2,242",-,"$2,242",-,"$1,098",-,"$1,167","$1,075",$-122,$953,$356,$597,-,$597,-,$550,"$1,246","$1,075","1,339","1,353",$0.41,$0.41
2017-09-30,"$2,165",-,"$2,165",-,"$1,044",-,"$1,113","$1,052",$-107,$945,$327,$618,-,$618,-,$575,"$1,213","$1,052","1,339","1,353",$0.43,$0.42
2017-06-30,"$2,130",-,"$2,130",-,"$1,043",-,"$1,109","$1,021",$-112,$909,$334,$575,-,$575,-,$530,"$1,163","$1,021","1,338","1,351",$0.40,$0.39
2017-03-31,"$2,081",-,"$2,081",-,"$1,067",-,"$1,132",$949,$-106,$843,$279,$564,-,$564,-,$525,"$1,086",$949,"1,336","1,351",$0.39,$0.39
2016-12-31,"$1,972",-,"$1,972",-,$981,-,"$1,042",$930,$-106,$824,$302,$522,-,$522,-,$478,"$1,076",$930,"1,324","1,334",$0.35,$0.37
2016-09-30,"$1,914",-,"$1,914",-,$961,-,"$1,021",$893,$-99,$794,$291,$503,-,$503,-,$470,"$1,027",$893,"1,324","1,334",$0.36,$0.35
2016-06-30,"$1,828",-,"$1,828",-,$960,-,"$1,017",$811,$-91,$720,$268,$452,-,$452,-,$406,$929,$811,"1,322","1,333",$0.31,$0.30
2016-03-31,"$1,764",-,"$1,764",-,$970,-,"$1,026",$738,$-83,$655,$243,$412,-,$412,-,$392,$840,$738,"1,321","1,330",$0.30,$0.29
2015-12-31,"$1,691",-,"$1,691",-,$902,-,$960,$731,$-86,$645,$229,$416,-,$416,-,$378,$832,$731,"1,315","1,327",$0.29,$0.28
2015-09-30,"$1,597",-,"$1,597",-,$870,-,$927,$670,$-87,$583,$207,$376,-,$376,-,$365,$769,$670,"1,316","1,328",$0.28,$0.28
2015-06-30,"$1,566",-,"$1,566",-,$858,-,$913,$653,$-86,$567,$214,$353,-,$353,-,$330,$747,$653,"1,314","1,326",$0.25,$0.25
2015-03-31,"$1,526",-,"$1,526",-,$905,-,$959,$567,$-83,$484,$182,$302,-,$302,-,$291,$659,$567,"1,312","1,323",$0.22,$0.22
2014-12-31,"$1,551",-,"$1,551",-,$860,-,$914,$637,$-83,$554,$204,$350,-,$350,-,$329,$725,$637,"1,303","1,315",$0.25,$0.24
