,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$1,131.428",$215.117,$916.311,-,$43.012,$-79.4,$669.38,$462.048,$-197.361,$264.687,$-1.571,$266.258,-,$312.726,-,$271.483,$799.522,$462.048,309,309,$0.85,$0.85
2020-09-30,"$1,060.674",$222.518,$838.156,-,$17.767,$-82.61,$656.65,$404.024,$-203.137,$200.887,$2.779,$198.108,-,$168.646,-,$145.926,$743.865,$404.024,306,306,$0.48,$0.48
2020-06-30,"$1,062.041",$201.921,$860.12,-,$19.985,$-65.127,$611.173,$450.868,$-196.859,$254.009,$-0.062,$254.071,-,$290.548,-,$254.213,$788.279,$450.868,306,306,$0.83,$0.83
2020-03-31,"$1,353.36",$247.598,"$1,105.762",-,$40.421,$-82.21,$698.491,$654.869,$-206.675,$448.194,$-5.783,$453.977,-,$505.404,-,$437.605,$995.134,$654.869,307,307,$1.43,$1.43
2019-12-31,"$1,488.615",$259.086,"$1,229.529",-,$48.549,$-79.793,$711.738,$776.877,$-309.435,$467.442,$6.745,$460.697,-,$590.415,-,$510.194,"$1,115.941",$776.877,308,308,$1.66,$1.66
2019-09-30,"$1,416.554",$263.745,"$1,152.809",-,$44.615,$-67.948,$711.252,$705.302,$-200.228,$505.074,$6.197,$498.877,-,$628.724,-,$544.254,"$1,048.661",$705.302,307,307,$1.77,$1.77
2019-06-30,"$1,397.186",$243.883,"$1,153.303",-,$45.779,$-74.287,$716.555,$680.631,$-210.742,$469.889,$7.01,$462.879,-,$572.102,-,$495.324,"$1,052.461",$680.631,309,309,$1.60,$1.60
2019-03-31,"$1,452.834",$254.93,"$1,197.904",-,$46.261,$-77.979,$707.813,$745.021,$-193.416,$551.605,$10.102,$541.503,-,$631.947,-,$548.475,"$1,084.939",$745.021,309,309,$1.78,$1.78
2018-12-31,"$1,462.026",$254.086,"$1,207.94",-,$54.092,$-51.163,$688.486,$773.54,$-359.067,$414.473,$10.423,$404.05,-,$833.193,-,$712.796,"$1,113.645",$773.54,310,310,$2.30,$2.30
2018-09-30,"$1,404.021",$261.968,"$1,142.053",-,$48.86,$-54.175,$681.178,$722.843,$-204.921,$517.922,$10.118,$507.804,-,$642.212,-,$556.267,"$1,058.447",$722.843,309,309,$1.80,$1.80
2018-06-30,"$1,385.059",$236.591,"$1,148.468",-,$47.404,$-52.883,$657.076,$727.983,$-196.932,$531.051,$10.137,$520.914,-,$631.414,-,$547.004,"$1,067.378",$727.983,309,309,$1.77,$1.77
2018-03-31,"$1,394.182",$255.319,"$1,138.863",-,$47.428,$-72.566,$692.249,$701.933,$-70.215,$631.718,$6.22,$625.498,-,$715.524,-,$620.654,"$1,036.605",$701.933,311,311,$2.00,$2.00
2017-12-31,"$1,416.387",$245.174,"$1,171.213",-,$54.298,$-42.276,$666.935,$749.453,$-209.974,$539.478,$6.363,$533.115,-,$659.82,-,$571.116,"$1,094.469",$749.452,312,312,$1.83,$1.83
2017-09-30,"$1,403.638",$256.112,"$1,147.526",-,$49.02,$-91.401,$713.57,$690.068,$-199.032,$491.036,$14.511,$476.525,-,$592.635,-,$513.783,"$1,026.795",$690.068,311,311,$1.65,$1.65
2017-06-30,"$1,361.548",$242.486,"$1,119.062",-,$49.57,$-60.947,$675.399,$686.149,$-330.803,$355.346,$5.99,$349.356,-,$441.373,-,$381.99,"$1,026.008",$686.149,312,312,$1.23,$1.23
2017-03-31,"$1,345.763",$236.308,"$1,109.455",-,$49.949,$-72.003,$669.092,$676.671,$-198.202,$478.469,$-3.521,$481.99,-,$551.075,-,$477.736,"$1,012.42",$676.671,313,313,$1.53,$1.53
2016-12-31,"$1,425.966",$242.492,"$1,183.474",-,$58.835,$-87.422,$725.466,$700.5,$-346.285,$354.215,$1.052,$353.163,-,$455.602,-,$394.431,"$1,056.4",$700.5,313,313,$1.26,$1.26
2016-09-30,"$1,357.168",$255.004,"$1,102.164",-,$50.849,$-63.367,$680.977,$676.191,$-214.861,$461.33,$6.325,$455.005,-,$587.94,-,$504.744,"$1,005.591",$676.191,314,314,$1.61,$1.61
2016-06-30,"$1,315.38",$235.103,"$1,080.277",-,$48.297,$-69.159,$656.144,$659.236,$-213.995,$445.241,$7.115,$438.126,-,$527.325,-,$455.389,$984.083,$659.236,313,362,$1.45,$1.45
2016-03-31,"$1,336.715",$238.548,"$1,098.167",-,$49.902,$-62.75,$651.814,$684.901,$-219.19,$465.711,$15.186,$450.525,-,$563.839,-,$480.995,"$1,002.7",$684.901,309,309,$1.55,$1.55
2015-12-31,"$1,380.621",$243.655,"$1,136.966",-,$51.274,$-71.638,$670.891,$709.73,$-351.849,$357.881,$6.73,$351.151,-,$459.918,-,$392.296,"$1,028.255",$709.73,310,310,$1.27,$1.27
2015-09-30,"$1,320.137",$251.154,"$1,068.983",-,$53.594,$-68.442,$662.55,$657.587,$-229.654,$427.933,$3.658,$424.275,-,$492.496,-,$420.009,$963.027,$657.587,309,309,$1.36,$1.36
2015-06-30,"$1,349.11",$229.004,"$1,120.106",-,$56.56,$-65.383,$646.725,$702.385,$-230.974,$471.411,$3.42,$467.991,-,$554.526,-,$472.944,"$1,014.967",$702.385,310,310,$1.52,$1.52
2015-03-31,"$1,216.235",$236.379,$979.856,-,$33.755,$-58.824,$617.064,$599.171,$-232.173,$366.998,$6.362,$360.636,$206.927,$632.435,-,$539.134,$901.838,$599.171,311,311,$1.73,$1.73
2014-12-31,"$1,297.12",$224.586,"$1,072.534",-,$52.645,$-70.141,$641.831,$655.289,$-233.657,$421.632,$8.007,$413.625,-,$475.992,-,$405.048,$967.439,$655.289,311,311,$1.30,$1.30
2014-09-30,"$1,234.694",$225.517,"$1,009.177",-,$52.747,$-67.212,$627.137,$607.557,$-377.353,$230.204,$6.589,$223.615,-,$296.963,-,$251.968,$910.477,$607.557,311,311,$0.81,$0.81
2014-06-30,"$1,181.982",$213.682,$968.3,-,$53.748,$-65.807,$620.451,$561.531,$-254.93,$306.601,$6.626,$299.975,-,$489.609,$-12.141,$406.587,$901.683,$561.531,311,311,$1.31,$1.31
2014-03-31,"$1,157.022",$219.018,$938.004,-,$37.474,$-59.072,$596.057,$560.965,$-254.234,$306.731,$6.863,$299.868,$2.655,$359.601,$41.502,$341.648,$891.527,$560.965,311,311,$1.10,$1.10
2013-12-31,"$1,096.921",$169.224,$927.697,-,$55.955,$-60.951,$524.358,$572.563,$-260.126,$312.437,$9.686,$302.751,-,$344.484,$104.82,$381.555,$913.798,$572.563,310,310,$1.23,$1.23
2013-09-30,"$1,146.877",$214.74,$932.137,-,$43.001,$-61.356,$598.399,$548.478,$-270.7,$277.778,$7.7,$270.078,-,$328.712,$38.581,$311.675,$886.839,$548.478,310,310,$1.00,$1.00
2013-06-30,"$1,084.993",$204.642,$880.351,-,$42.973,$-53.902,$575.054,$509.939,$-266.229,$243.71,$8.959,$234.751,-,$359.129,$41.396,$339.936,$841.319,$509.939,310,310,$1.10,$1.10
2013-03-31,"$1,215.058",$249.34,$965.718,-,$35.768,$-55.628,$657.369,$557.689,$-285.026,$272.663,$13.193,$259.47,$20.767,$334.468,-,$283.138,$879.663,$557.689,310,310,$0.91,$0.91
2012-12-31,$720.505,$57.209,$663.296,-,$46.405,$-55.497,$320.277,$400.228,$-232.646,$167.582,$5.845,$161.737,-,$214.106,-,$315.383,$761.222,$400.228,303,303,$0.99,$0.99
2012-09-30,"$1,228.617",$264.628,$963.989,-,$42.279,$-46.513,$663.664,$564.953,$-288.896,$276.057,$3.904,$272.153,-,$306.371,-,$254.921,$885.074,$564.953,304,304,$0.84,$0.84
2012-06-30,"$1,188.066",$249.46,$938.606,-,$43.282,$-59.134,$663.739,$524.327,$-288.56,$235.767,$3.963,$231.804,-,$260.936,-,$215.445,$846.014,$524.327,303,303,$0.71,$0.71
2012-03-31,"$1,118.969",$229.083,$889.886,-,$34.987,$-53.069,$602.248,$516.721,$-258.079,$258.642,$2.003,$256.639,$494.837,$781.829,-,$645.41,$815.223,$516.721,296,296,$2.18,$2.18
2011-12-31,"$1,171.337",$234.901,$936.436,-,$49.087,$-68.719,$630.243,$541.094,$-246.506,$294.588,$8.89,$285.698,-,$441.931,-,$362.929,$834.479,$541.094,294,294,$1.24,$1.24
2011-09-30,"$1,074.36",$234.175,$840.185,-,$40.747,$-55.038,$590.762,$483.598,$-244.384,$239.214,$0.86,$238.354,-,$333.781,-,$274,$758.236,$483.598,294,294,$0.93,$0.93
2011-06-30,"$1,040.861",$227.106,$813.755,-,$33.932,$-50.953,$573.289,$467.572,$-244.517,$223.055,$0.703,$222.352,-,$250.522,-,$205.121,$737.708,$467.572,293,293,$0.70,$0.70
2011-03-31,"$1,019.874",$223.64,$796.234,-,$29.555,$-49.479,$568.984,$450.89,$-248.119,$202.771,$1.142,$201.629,$-0.584,$219.666,-,$179.412,$725.169,$450.89,293,293,$0.61,$0.61
2010-12-31,"$1,119.718",$227.383,$892.335,-,$39.999,$-69.259,$613.059,$506.659,$-252.405,$254.254,$4.888,$249.366,-,$267.076,-,$217.923,$791.293,$506.659,291,291,$0.76,$0.76
2010-09-30,$979.275,$222.527,$756.748,-,$26.605,$-89.046,$581.481,$397.794,$-434.327,$-36.533,$-0.249,$-36.284,-,$280.532,-,$230.624,$655.108,$397.794,293,293,$0.79,$0.79
2010-06-30,$933.566,$200.497,$733.069,-,$27.909,$-55.503,$518.099,$415.467,$-261.463,$154.004,$-0.51,$154.514,-,$185.152,-,$152.504,$655.69,$415.467,292,293,$0.52,$0.52
2010-03-31,$925.071,$212.242,$712.829,-,$23.948,$-33.056,$498.155,$426.916,$-429.584,$-2.668,$0.202,$-2.87,$6.042,$20.754,-,$9.373,$660.772,$426.916,286,286,$0.03,$0.03
2009-12-31,"$1,028.18",$211.5,$816.68,-,$36.267,$-255.865,$743.057,$285.123,$-165.924,$119.199,$-2.316,$121.515,-,$115.933,-,$91.543,$529.288,$285.123,267,268,$0.31,$0.30
2009-09-30,$924.932,$212.82,$712.112,-,$27.735,$-42.049,$532.755,$392.177,$-257.881,$134.296,$-0.238,$134.534,-,$139.189,-,$105.547,$645.67,$392.177,281,282,$0.38,$0.38
2009-06-30,$903.612,$210.098,$693.514,-,$25.133,$-51.52,$538.436,$365.176,$-384.921,$-19.745,$-0.143,$-19.602,-,$-14.108,-,$-20.76,$619.403,$365.176,268,268,$-0.08,$-0.08
2009-03-31,$918.492,$216.978,$701.514,-,$22.554,$-58.407,$554.276,$364.216,$-226.036,$138.18,$-2.523,$140.703,-,$146.248,-,$106.768,$621.821,$364.216,236,236,$0.45,$0.45
2008-12-31,"$1,029.316",$216.894,$812.422,-,$38.284,$-76.353,$600.433,$428.883,$-249.616,$179.267,$2.005,$177.262,-,$196.448,-,$145.203,$698.858,$428.883,225,226,$0.65,$0.64
2008-09-30,$935.594,$232.008,$703.586,-,$27.977,$-56.342,$552.242,$383.352,$-239.955,$143.397,$0.972,$142.425,-,$159.737,-,$112.809,$619.689,$383.352,225,226,$0.50,$0.50
2008-06-30,$922.947,$223.206,$699.741,-,$26.834,$-57.252,$543.909,$379.038,$-252.665,$126.373,$0.627,$125.746,-,$114.353,-,$76.572,$604.543,$379.038,225,226,$0.34,$0.34
2008-03-31,$895.298,$226.302,$668.996,-,$24.675,$-64.503,$543.523,$351.775,$-229.917,$121.858,$-0.023,$121.881,-,$129.022,-,$87.933,$576.785,$351.775,223,224,$0.39,$0.39
2007-12-31,"$1,035.581",$224.741,$810.84,-,$37.536,$-65.396,$562.765,$472.816,$-296.626,$176.19,$-12.727,$188.917,-,$198.821,$-28.106,$112.929,$701.079,$472.816,223,224,$0.51,$0.50
2007-09-30,$907.145,$225.959,$681.186,-,$27.079,$-50.746,$528.446,$378.699,$-238.155,$140.544,$0.648,$139.896,-,$236.47,$-7.118,$164.937,$596.198,$378.699,223,224,$0.74,$0.74
