,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$11,558.98","$9,460.524","$2,098.458",-,-,"$-1,886.396","$11,346.92",$212.063,$-130.942,$81.12,$13.831,$67.289,-,$67.289,-,$67.289,$431.119,$212.063,510,513,$0.13,$0.13
2020-09-30,"$11,777.38","$9,557.534","$2,219.845",-,-,"$-1,800.266","$11,357.8",$419.579,$-160.841,$258.738,$41.838,$216.9,-,$216.9,-,$216.9,$634.032,$419.579,509,511,$0.43,$0.42
2020-06-30,"$8,866.562","$7,300.908","$1,565.653",-,-,"$-2,097.235","$9,398.144",$-531.582,$-204.665,$-736.245,$-117.826,$-618.419,-,$-618.419,-,$-618.419,$-117.881,$-531.582,510,514,$-1.20,$-1.18
2020-03-31,"$13,698.7","$11,134.46","$2,564.24",-,-,"$-2,503.966","$13,638.42",$60.274,$-89.054,$-28.78,$-25.483,$-3.297,-,$-3.297,-,$-3.297,$350.834,$60.274,509,513,$-0.01,$-0.01
2019-12-31,"$15,025.04","$12,196.64","$2,828.399",-,-,"$-2,275.906","$14,472.55",$552.493,$-75.955,$476.538,$93.128,$383.41,-,$383.41,-,$383.41,$768.992,$552.493,510,516,$0.75,$0.74
2019-09-30,"$15,303","$12,359.63","$2,943.37",-,-,"$-2,275.052","$14,634.69",$668.318,$-86.447,$581.871,$128.09,$453.781,-,$453.781,-,$453.781,$887.568,$668.318,513,519,$0.88,$0.87
2019-06-30,"$15,474.86","$12,495.67","$2,979.195",-,-,"$-2,258.662","$14,754.33",$720.531,$-38.222,$682.308,$146.542,$535.766,-,$535.766,-,$535.766,$913.008,$720.532,517,523,$1.03,$1.03
2019-03-31,"$14,658.07","$11,903.78","$2,754.298",-,-,"$-2,224.713","$14,128.49",$529.585,$-98.634,$430.951,$-9.132,$440.083,-,$440.083,-,$440.083,$719.198,$529.585,514,520,$0.86,$0.85
2018-12-31,"$14,765.71","$11,994","$2,771.712",-,-,"$-2,319.817","$14,313.81",$451.895,$-97.31,$354.585,$87.205,$267.38,-,$267.38,-,$267.38,$661.325,$451.895,518,525,$0.52,$0.51
2018-09-30,"$15,215.28","$12,311.49","$2,903.785",-,-,"$-2,275.645","$14,587.14",$628.141,$-90.148,$537.992,$106.95,$431.042,-,$431.042,-,$431.042,$821.938,$628.141,521,529,$0.83,$0.81
2018-06-30,"$15,315.91","$12,399.2","$2,916.707",-,-,"$-2,232.773","$14,631.97",$683.934,$-90.78,$593.156,$144.228,$448.928,-,$448.928,-,$448.928,$893.079,$683.934,523,529,$0.86,$0.84
