,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2021-01-31,"$10,943.21","$7,882.574","$3,060.637",-,"$2,193.101",-,"$10,075.67",$867.537,$-359.396,$508.138,$182.615,$325.523,-,$325.523,-,$325.523,"$1,138.317",$867.536,"1,200","1,215",$0.28,$0.28
2020-10-31,"$10,117.29","$7,062.285","$3,055.004",-,"$1,986.128",-,"$9,048.413","$1,068.876",$-52.884,"$1,015.992",$149.336,$866.656,-,$866.656,-,$866.656,"$1,287.848","$1,068.876","1,200","1,214",$0.72,$0.71
2020-07-31,"$6,667.575","$5,174.49","$1,493.085",-,"$1,527.768",-,"$6,702.258",$-34.683,$-57.336,$-92.019,$122.201,$-214.22,-,$-214.22,-,$-214.22,$185.382,$-34.683,"1,199","1,199",$-0.18,$-0.18
2020-04-30,"$4,408.888","$4,414.465",$-5.577,-,"$1,313.92",-,"$5,728.385","$-1,319.497",$-23.351,"$-1,342.848",$-455.359,$-887.489,-,$-887.489,-,$-887.489,"$-1,100.037","$-1,319.497","1,198","1,198",$-0.74,$-0.74
2020-01-31,"$12,206.46","$8,741.805","$3,464.657",-,"$2,135.329",-,"$10,877.13","$1,329.332",$-3.053,"$1,326.275",$341.485,$984.79,-,$984.79,-,$984.79,"$1,674.203","$1,329.331","1,208","1,227",$0.81,$0.80
2019-10-31,"$10,451.33","$7,440.033","$3,011.301",-,"$1,885.923",-,"$9,325.956","$1,125.378",$-3.259,"$1,122.119",$293.856,$828.263,-,$828.263,-,$828.263,"$1,344.933","$1,125.378","1,206","1,224",$0.69,$0.68
2019-07-31,"$9,781.596","$7,026.057","$2,755.539",-,"$1,731.335",-,"$8,757.393","$1,024.203",$-2.897,"$1,021.307",$262.345,$758.962,-,$758.962,-,$758.962,"$1,239.836","$1,024.203","1,211","1,229",$0.63,$0.62
2019-04-30,"$9,277.585","$6,637.885","$2,639.7",-,"$1,702.401",-,"$8,340.286",$937.299,$-0.817,$936.482,$236.304,$700.178,-,$700.178,-,$700.178,"$1,149.5",$937.299,"1,215","1,233",$0.58,$0.57
2019-01-31,"$11,127.34","$8,033.642","$3,093.699",-,"$1,916.627",-,"$9,950.268","$1,177.073",$1.505,"$1,178.578",$337.04,$841.538,-,$841.538,-,$841.538,"$1,499.058","$1,177.072","1,241","1,259",$0.69,$0.68
2018-10-31,"$9,825.759","$6,983.483","$2,842.276",-,"$1,756.448",-,"$8,776.053","$1,049.706",$-3.188,"$1,046.518",$284.265,$762.253,-,$762.253,-,$762.253,"$1,204.677","$1,049.706","1,237","1,258",$0.62,$0.61
2018-07-31,"$9,331.115","$6,635.815","$2,695.3",-,"$1,699.714",-,"$8,335.529",$995.586,$-3.029,$992.557,$252.931,$739.626,-,$739.626,-,$739.626,"$1,249.547",$995.586,"1,247","1,266",$0.59,$0.58
2018-04-30,"$8,688.72","$6,178.239","$2,510.481",-,"$1,550.775",-,"$7,729.014",$959.706,$-4.148,$955.558,$239.177,$716.381,-,$716.381,-,$716.381,"$1,152.001",$959.706,"1,253","1,269",$0.57,$0.56
2018-01-31,"$10,960.72","$7,849.402","$3,111.321",-,"$1,895.601",-,"$9,844.253","$1,116.47",$-4.089,"$1,112.38",$235.104,$877.276,-,$877.276,-,$877.276,"$1,409.253","$1,116.469","1,274","1,292",$0.69,$0.69
2017-10-31,"$8,762.22","$6,150.02","$2,612.2",-,"$1,584.219",-,"$7,734.239","$1,027.98",$-7.981,"$1,020",$378.564,$641.436,-,$641.436,-,$641.436,"$1,212.274","$1,027.98","1,268","1,286",$0.51,$0.50
2017-07-31,"$8,357.7","$5,972.675","$2,385.025",-,"$1,483.648",-,"$7,456.323",$901.377,$-9.677,$891.7,$338.743,$552.957,-,$552.957,-,$552.957,"$1,077.022",$901.377,"1,278","1,297",$0.43,$0.42
2017-04-30,"$7,784.024","$5,530.072","$2,253.952",-,"$1,411.603",-,"$6,941.675",$842.349,$-9.841,$832.508,$296.229,$536.279,-,$536.279,-,$536.279,"$1,014.834",$842.349,"1,289","1,310",$0.41,$0.41
2017-01-31,"$9,467.646","$6,786.777","$2,680.87",-,"$1,577.594",-,"$8,364.371","$1,103.275",$-9.616,"$1,093.659",$415.731,$677.928,-,$677.928,-,$677.928,"$1,192.296","$1,103.272","1,311","1,329",$0.52,$0.52
2016-10-31,"$8,291.688","$5,843.873","$2,447.815",-,"$1,462.574",-,"$7,337.62",$954.068,$-64.235,$889.833,$340.047,$549.786,-,$549.786,-,$549.786,"$1,149.19",$954.068,"1,307","1,323",$0.42,$0.41
2016-07-31,"$7,882.053","$5,562.961","$2,319.092",-,"$1,393.248",-,"$6,956.209",$925.844,$-11.262,$914.582,$352.408,$562.174,-,$562.174,-,$562.174,"$1,118.524",$925.844,"1,316","1,333",$0.42,$0.42
2016-04-30,"$7,542.356","$5,372.143","$2,170.213",-,"$1,335.05",-,"$6,707.193",$835.163,$-10.194,$824.969,$316.623,$508.346,-,$508.346,-,$508.346,"$1,017.136",$835.163,"1,323","1,341",$0.39,$0.38
2016-01-31,"$8,962.074","$6,388.192","$2,573.882",-,"$1,497.119",-,"$7,885.311","$1,076.764",$-10.963,"$1,065.801",$399.335,$666.466,-,$666.466,-,$666.466,"$1,239.754","$1,076.763","1,347","1,367",$0.49,$0.49
2015-10-31,"$7,753.495","$5,506.899","$2,246.596",-,"$1,292.401",-,"$6,799.3",$954.195,$-13.005,$941.19,$353.934,$587.256,-,$587.256,-,$587.256,"$1,109.443",$954.195,"1,342","1,362",$0.44,$0.43
2015-07-31,"$7,363.731","$5,219.191","$2,144.54",-,"$1,247.538",-,"$6,466.729",$897.002,$-10.808,$886.194,$336.859,$549.335,-,$549.335,-,$549.335,"$1,046.92",$897.002,"1,352","1,371",$0.41,$0.40
2015-04-30,"$6,865.637","$4,920.241","$1,945.396",-,"$1,168.657",-,"$6,088.898",$776.739,$-11.624,$765.115,$290.514,$474.601,-,$474.601,-,$474.601,$925.279,$776.739,"1,363","1,382",$0.35,$0.34
2015-01-31,"$8,303.952","$5,959.037","$2,344.915",-,"$1,306.279",-,"$7,265.316","$1,038.636",$-9.002,"$1,029.635",$381.405,$648.23,-,$648.23,-,$648.23,"$1,277.463","$1,038.636","1,385","1,407",$0.47,$0.47
2014-10-31,"$7,366.066","$5,203.629","$2,162.437",-,"$1,193.297",-,"$6,396.926",$969.14,$-10.04,$959.1,$364.143,$594.957,-,$594.957,-,$594.957,"$1,115.651",$969.14,"1,380","1,402",$0.43,$0.42
2014-07-31,"$6,917.212","$4,935.856","$1,981.356",-,"$1,122.758",-,"$6,058.614",$858.598,$-27.98,$830.618,$312.994,$517.624,-,$517.624,-,$517.624,"$1,006.094",$858.598,"1,388","1,410",$0.38,$0.36
2014-04-30,"$6,491.176","$4,678","$1,813.176",-,"$1,073.05",-,"$5,751.05",$740.126,$-9.595,$730.531,$276.214,$454.317,-,$454.317,-,$454.317,$884.281,$740.126,"1,402","1,426",$0.33,$0.32
2014-01-31,"$7,808.788","$5,650.301","$2,158.487",-,"$1,215.192",-,"$6,865.491",$943.296,$-7.509,$935.786,$353.494,$582.292,-,$582.292,-,$582.292,"$1,084.837",$943.295,"1,427","1,453",$0.41,$0.40
2013-10-31,"$6,981.876","$4,934.465","$2,047.411",-,"$1,158.668",-,"$6,093.133",$888.743,$-9.371,$879.372,$256.717,$622.655,-,$622.655,-,$622.655,"$1,030.055",$888.743,"1,423","1,448",$0.44,$0.43
2013-07-31,"$6,442.424","$4,586.739","$1,855.685",-,"$1,074.32",-,"$5,661.059",$781.365,$-8.919,$772.446,$292.887,$479.559,-,$479.559,-,$479.559,$916.792,$781.365,"1,431","1,457",$0.34,$0.33
2013-04-30,"$6,189.609","$4,433.533","$1,756.076",-,"$1,018.909",-,"$5,452.442",$737.167,$-5.282,$731.885,$278.995,$452.89,-,$452.89,-,$452.89,$867.71,$737.167,"1,439","1,465",$0.32,$0.31
2013-01-31,"$7,723.813","$5,514.526","$2,209.287",-,"$1,239.524",-,"$6,754.048",$969.764,$-5.077,$964.687,$359.843,$604.844,-,$604.844,-,$604.844,"$1,106.326",$969.764,"1,467","1,495",$0.42,$0.41
2012-10-31,"$6,410.913","$4,566.073","$1,844.84",-,"$1,090.282",-,"$5,656.355",$754.558,$-6.089,$748.469,$286.918,$461.551,-,$461.551,-,$461.551,$880.464,$754.558,"1,463","1,491",$0.32,$0.31
2012-07-31,"$5,945.559","$4,275.073","$1,670.486",-,$978.514,-,"$5,253.587",$691.972,$-9.182,$682.79,$261.698,$421.092,-,$421.092,-,$421.092,$817.795,$691.972,"1,474","1,502",$0.28,$0.28
2012-04-30,"$5,798.086","$4,165.728","$1,632.358",-,$942.126,-,"$5,107.854",$690.232,$-8.827,$681.405,$262.205,$419.2,-,$419.2,-,$419.2,$810.87,$690.232,"1,484","1,512",$0.28,$0.28
2012-01-31,"$6,709.76","$4,884.368","$1,825.392",-,"$1,057.739",-,"$5,942.108",$767.652,$-9.071,$758.579,$283.265,$475.314,-,$475.314,-,$475.314,$896.41,$767.65,"1,522","1,548",$0.32,$0.30
2011-10-31,"$5,793.128","$4,166.587","$1,626.541",-,$954.238,-,"$5,120.825",$672.303,$-8.551,$663.752,$257.265,$406.487,-,$406.487,-,$406.487,$792.804,$672.303,"1,509","1,532",$0.27,$0.27
