,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$2,878.264","$1,882.735",$995.529,-,$683.6,-,"$2,693.798",$184.466,$-8.086,$176.381,$40.488,$135.893,-,$135.893,-,$135.893,$242.956,$184.467,116,117,$1.16,$1.15
2020-09-30,"$2,606.572","$1,658.615",$947.957,-,$641.129,-,"$2,354.395",$252.177,$-7.208,$244.969,$54.359,$190.61,-,$190.61,-,$190.61,$306.828,$252.177,116,118,$1.64,$1.62
2020-06-30,"$3,176.327","$2,019.514","$1,156.813",-,$656.52,-,"$2,728.581",$447.746,$-8.438,$439.308,$100.63,$338.678,-,$338.678,-,$338.678,$500.293,$447.746,116,117,$2.92,$2.90
2020-03-31,"$1,959.188","$1,297.939",$661.249,-,$497.275,-,"$1,846.65",$112.538,$-5.049,$107.489,$23.712,$83.777,-,$83.777,-,$83.777,$163.974,$112.538,117,117,$0.72,$0.71
2019-12-31,"$2,191.785","$1,449.984",$741.801,-,$499.969,-,"$2,001.347",$190.438,$-4.837,$185.601,$41.422,$144.179,-,$144.179,-,$144.179,$241.832,$190.438,120,121,$1.22,$1.21
2019-09-30,"$1,984.144","$1,289.904",$694.24,-,$482.604,-,"$1,822.327",$161.817,$-4.9,$156.917,$34.784,$122.133,-,$122.133,-,$122.133,$211.636,$161.817,119,120,$1.03,$1.02
2019-06-30,"$2,353.782","$1,533.037",$820.745,-,$484.19,-,"$2,066.225",$287.557,$-5.176,$282.381,$63.171,$219.21,-,$219.21,-,$219.21,$336.555,$287.557,120,122,$1.82,$1.80
2019-03-31,"$1,822.22","$1,207.236",$614.984,-,$465.809,-,"$1,718.812",$103.408,$-4.93,$98.478,$21.646,$76.832,-,$76.832,-,$76.832,$149.175,$103.408,121,122,$0.63,$0.63
2018-12-31,"$2,133.271","$1,416.938",$716.333,-,$489.983,-,"$1,952.889",$180.382,$-4.446,$175.936,$39.085,$136.851,-,$136.851,-,$136.851,$226.35,$180.382,123,123,$1.11,$1.10
2018-09-30,"$1,881.625","$1,228.493",$653.132,-,$454.998,-,"$1,728.477",$153.148,$-4.46,$148.688,$31.904,$116.784,-,$116.784,-,$116.784,$198.134,$153.148,122,123,$0.96,$0.95
2018-06-30,"$2,213.249","$1,443.835",$769.414,-,$452.346,-,"$1,939.791",$273.458,$-4.978,$268.48,$61.191,$207.289,-,$207.289,-,$207.289,$317.068,$273.458,122,123,$1.70,$1.69
2018-03-31,"$1,682.901","$1,119.252",$563.649,-,$426.113,-,"$1,588.152",$94.749,$-4.468,$90.281,$18.848,$71.433,-,$71.433,-,$71.433,$137.536,$94.749,124,125,$0.57,$0.57
2017-12-31,"$1,952.838","$1,284.24",$668.598,-,$441.623,-,"$1,768.996",$183.842,$-4.238,$179.604,$69.861,$109.743,-,$109.743,-,$109.743,$226.975,$183.842,128,128,$0.87,$0.87
2017-09-30,"$1,721.704","$1,121.248",$600.456,-,$410.276,-,"$1,573.451",$148.253,$-3.752,$144.501,$52.605,$91.896,-,$91.896,-,$91.896,$190.18,$148.253,126,127,$0.73,$0.72
2017-06-30,"$2,017.762","$1,313.054",$704.708,-,$405.736,-,"$1,759.837",$257.925,$-3.092,$254.833,$94.184,$160.649,-,$160.649,-,$160.649,$298.972,$257.925,128,129,$1.25,$1.25
2017-03-31,"$1,564.078","$1,045.875",$518.203,-,$382.114,-,"$1,467.716",$96.362,$-2.777,$93.585,$33.274,$60.311,-,$60.311,-,$60.311,$136.089,$96.362,130,131,$0.46,$0.46
2016-12-31,"$1,916.542","$1,270.28",$646.262,-,$411.984,-,"$1,721.926",$194.616,$-1.665,$192.951,$69.368,$123.583,-,$123.583,-,$123.583,$234.278,$194.616,133,134,$0.94,$0.94
2016-09-30,"$1,542.706","$1,007.432",$535.274,-,$357.592,-,"$1,400.686",$142.02,$-1.11,$140.91,$51.466,$89.444,-,$89.444,-,$89.444,$177.682,$142.02,133,134,$0.67,$0.67
2016-06-30,"$1,852.534","$1,203.312",$649.222,-,$365.916,-,"$1,603.285",$249.249,$-1.91,$247.339,$90.914,$156.425,-,$156.425,-,$156.425,$283.306,$249.249,134,135,$1.17,$1.16
2016-03-31,"$1,467.797",$973.353,$494.444,-,$352.672,-,"$1,359.602",$108.195,$-1.125,$107.07,$39.402,$67.668,-,$67.668,-,$67.668,$141.772,$108.195,134,135,$0.51,$0.50
2015-12-31,"$1,646.61","$1,085.609",$561.001,-,$354.888,-,"$1,473.322",$173.288,$-0.411,$172.877,$61.165,$111.712,-,$111.712,-,$111.712,$206.113,$173.288,136,137,$0.83,$0.82
2015-09-30,"$1,475.645",$963.397,$512.248,-,$342.891,-,"$1,336.437",$139.208,$-0.782,$138.426,$51.114,$87.312,-,$87.312,-,$87.312,$169.357,$139.208,136,137,$0.64,$0.64
2015-06-30,"$1,772.9","$1,147.58",$625.32,-,$349.842,-,"$1,527.735",$245.165,$-0.832,$244.333,$91.002,$153.331,-,$153.331,-,$153.331,$275.478,$245.165,136,137,$1.13,$1.12
2015-03-31,"$1,331.352",$886.747,$444.605,-,$321.476,-,"$1,238.505",$92.847,$-0.866,$91.981,$33.941,$58.04,-,$58.04,-,$58.04,$123.129,$92.847,136,138,$0.43,$0.42
2014-12-31,"$1,584.254","$1,044.659",$539.595,-,$331.78,-,"$1,406.553",$177.7,$-0.618,$177.083,$65.021,$112.062,-,$112.062,-,$112.062,$207.814,$177.7,138,139,$0.82,$0.81
2014-09-30,"$1,359.95",$895.881,$464.069,-,$312.669,-,"$1,237.937",$122.013,$-0.505,$121.508,$44.905,$76.603,-,$76.603,-,$76.603,$151.4,$122.013,137,139,$0.56,$0.55
2014-06-30,"$1,583.831","$1,033.299",$550.532,-,$311.589,-,"$1,372.802",$211.029,$-0.308,$210.721,$77.31,$133.411,-,$133.411,-,$133.411,$238.943,$211.029,138,140,$0.96,$0.95
