,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,$860.889,$346.244,$514.645,$86.428,$238.53,-,$684.832,$176.057,$40.389,$216.446,$34.198,$182.248,-,$182.248,-,$182.248,$221.954,$176.057,115,116,$1.58,$1.57
2020-09-30,$841.142,$432.505,$408.637,$74.216,$205.124,-,$725.775,$115.367,$2.051,$117.418,$18.097,$99.321,-,$99.321,-,$99.321,$170.933,$115.367,114,115,$0.87,$0.86
2020-06-30,$831.31,$476.689,$354.621,$73.108,$186.952,-,$749.167,$82.143,$8.218,$90.361,$1.856,$88.505,-,$88.505,-,$88.505,$156.868,$82.143,114,115,$0.78,$0.77
2020-03-31,$760.541,$395.64,$364.901,$68.718,$162.181,-,$638.657,$121.884,$2.75,$124.634,$1.912,$122.722,-,$122.722,-,$122.722,$191.377,$121.884,113,114,$1.10,$1.07
2019-12-31,$930.129,$437.093,$493.036,$82.52,$221.599,-,$753.296,$176.833,$11.943,$188.776,$25.134,$163.642,-,$163.642,-,$163.642,$237.714,$176.833,113,114,$1.44,$1.43
2019-09-30,$857.841,$468.248,$389.593,$76.197,$226.225,-,$783.021,$74.82,$8.054,$82.874,$11.059,$71.815,-,$71.815,-,$71.815,$133.797,$74.82,113,114,$0.63,$0.63
2019-06-30,$540.459,$241.469,$298.99,$68.963,$166.654,-,$488.729,$51.73,$10.425,$62.155,$15.875,$46.28,-,$46.28,-,$46.28,$98.922,$51.73,113,114,$0.41,$0.41
2019-03-31,$539.007,$258.915,$280.092,$56.588,$153.148,-,$480.946,$58.061,$6.466,$64.527,$7.698,$56.829,-,$56.829,-,$56.829,$116.257,$58.061,113,115,$0.51,$0.49
2018-12-31,"$1,248.738",$898.484,$350.254,$62.305,$231.96,-,"$1,196.959",$51.779,$8.071,$59.85,$-120.098,$179.948,-,$179.948,-,$179.948,$207.206,$51.779,113,115,$1.59,$1.57
2018-09-30,$492.667,$234.88,$257.787,$60.565,$161.485,-,$466.681,$25.986,$4.975,$30.961,$5.594,$25.367,-,$25.367,-,$25.367,$54.431,$25.986,114,116,$0.22,$0.22
2018-06-30,$387.982,$131.365,$256.617,$50.712,$126.041,-,$317.136,$70.846,$6.601,$77.447,$5.754,$71.693,-,$71.693,-,$71.693,$93.695,$70.846,113,116,$0.63,$0.62
2018-03-31,$450.274,$189.211,$261.063,$54.128,$107.901,-,$362.449,$87.825,$3.451,$91.276,$0.423,$90.853,-,$90.853,-,$90.853,$120.49,$87.825,110,113,$0.81,$0.80
2017-12-31,$480.84,$267.983,$212.857,$49.977,$145.464,-,$471.988,$8.852,$3.374,$12.226,$-12.914,$25.14,-,$25.14,-,$25.14,$50.854,$8.852,114,118,$0.22,$0.21
2017-09-30,$443.562,$246.548,$197.014,$49.999,$137.738,-,$454.881,$-11.319,$-2.969,$-14.288,$-11.552,$-2.736,-,$-2.736,-,$-2.736,$35.04,$-11.319,109,109,$-0.03,$-0.03
2017-06-30,$418.216,$194.569,$223.647,$42.269,$112.817,-,$367.997,$50.219,$-2.808,$47.411,$-12.865,$60.276,-,$60.276,-,$60.276,$89.774,$50.219,105,118,$0.57,$0.56
2017-03-31,$571.556,$314.9,$256.656,$36.421,$100.354,-,$460.053,$111.503,$-0.391,$111.112,$11.832,$99.28,-,$99.28,-,$100.025,$220.614,$111.503,90,92,$1.10,$1.12
2016-12-31,$476.473,$311.074,$165.399,$37.589,$148.759,-,$504.882,$-28.409,$-3.715,$-32.124,$-2.282,$-29.842,-,$-29.842,-,$-29.842,$52.197,$-28.409,90,90,$-0.33,$-0.33
2016-09-30,$420.167,$205.605,$214.562,$30.005,$129.872,-,$372.973,$47.194,$-7.078,$40.116,$3.684,$36.432,-,$36.432,-,$35.687,$84.391,$47.194,85,113,$0.42,$0.39
2016-06-30,$311.552,$191.38,$120.172,$33.9,$117.877,-,$350.535,$-38.983,$-3.156,$-42.139,$-3.572,$-38.567,-,$-38.567,-,$-38.567,$15.908,$-38.983,85,85,$-0.46,$-0.46
2016-03-31,$377.206,$209.457,$167.749,$33.308,$82.415,-,$332.631,$44.575,$-3.574,$41.001,$-5.398,$46.399,-,$46.399,-,$46.399,$109.718,$44.575,84,112,$0.54,$0.48
2015-12-31,$414.221,$257.861,$156.36,$27.944,$108.907,-,$473.418,$-59.197,$-8.018,$-67.215,$-24.802,$-42.413,-,$-42.413,-,$-42.413,$-3.027,$-59.197,83,83,$-0.51,$-0.51
2015-09-30,$346.974,$143.94,$203.034,$24.413,$104.837,-,$280.543,$66.431,$-8.396,$58.035,$3.3,$54.735,-,$54.735,-,$54.735,$97.252,$66.431,84,110,$0.63,$0.55
2015-06-30,$275.297,$202.615,$72.682,$34.142,$94.602,-,$337.934,$-62.637,$-7.534,$-70.171,$-3.148,$-67.023,-,$-67.023,-,$-67.023,$-26.315,$-62.637,83,83,$-0.81,$-0.81
2015-03-31,$300.089,$410.682,$-110.593,$35.157,$90.669,-,$542.442,$-242.353,$-7.204,$-249.557,$-6.766,$-242.791,-,$-242.791,-,$-239.664,$-186.67,$-242.353,80,80,$-2.98,$-2.94
2014-12-31,$531.147,$278.013,$253.134,$31.221,$150.456,-,$465.535,$65.612,$-10.958,$54.654,$14.561,$40.093,-,$40.093,-,$36.966,$157.106,$65.612,81,107,$0.46,$0.42
2014-09-30,$126.277,$52.016,$74.261,$24.533,$93.111,-,$174.79,$-48.513,$11.464,$-37.049,$4.32,$-41.369,-,$-41.369,-,$-41.369,$-34.463,$-48.513,80,80,$-0.51,$-0.51
2014-06-30,$125.425,$54.156,$71.269,$24.132,$76.198,-,$158.634,$-33.209,$-7.719,$-40.928,$-5.525,$-35.403,-,$-35.403,-,$-35.403,$-15.893,$-33.209,79,79,$-0.45,$-0.45
2014-03-31,$195.208,$108.288,$86.92,$28.632,$78.35,-,$218.792,$-23.584,$-7.535,$-31.119,$-0.345,$-30.774,-,$-30.774,$-0.013,$6.005,$-0.844,$-23.584,85,114,$0.02,$0.62
2013-12-31,"$1,863.869","$1,119.734",$744.135,$29.233,$105.194,-,"$1,257.574",$606.295,$-5.949,$600.346,$21.902,$578.444,-,$578.444,$-0.018,$500.569,$783.76,$606.295,85,112,$5.88,$4.69
2013-09-30,$148.824,$92.463,$56.361,$26.52,$144.365,-,$266.715,$-117.891,$-14.389,$-132.28,$-8.185,$-124.095,-,$-124.095,$-0.025,$-124.12,$-63.175,$-117.891,89,89,$-1.40,$-1.40
2013-06-30,$142.667,$93.842,$48.825,$20.871,$74.461,-,$192.231,$-49.564,$-11.233,$-60.797,$1.087,$-61.884,-,$-61.884,$-0.03,$-61.914,$2.713,$-49.564,87,87,$-0.71,$-0.71
2013-03-31,$299.487,$154.32,$145.167,$21.183,$92.116,-,$270.425,$29.062,$-7.789,$21.273,$0.103,$21.17,-,$21.17,$1.303,$28.281,$79.01,$29.062,86,86,$0.35,$0.45
2012-12-31,$415.773,$216.299,$199.474,$22.369,$93.604,-,$334.781,$80.992,$-8.094,$72.898,$2.021,$70.877,-,$70.877,$0.488,$65.557,$137.544,$80.992,86,112,$0.76,$0.66
