,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$3,667","$3,124",$543,-,$285,-,"$3,409",$258,$-43,$215,$-21,$236,-,$236,-,$236,$366,$258,229,229,$1.03,$1.03
2020-09-30,"$2,735","$2,332",$403,-,$258,-,"$2,590",$145,$-29,$116,$1,$115,-,$115,-,$115,$240,$145,229,229,$0.50,$0.50
2020-06-30,"$2,472","$2,251",$221,-,$239,-,"$2,490",$-18,$-100,$-118,$-26,$-92,-,$-92,-,$-92,$80,$-18,228,228,$-0.40,$-0.40
2020-03-31,"$2,777","$2,387",$390,-,$263,-,"$2,650",$127,$-58,$69,$19,$50,-,$50,-,$50,$217,$127,228,229,$0.22,$0.22
2019-12-31,"$4,035","$3,441",$594,-,$298,-,"$3,739",$296,$-86,$210,$11,$199,-,$199,-,$199,$410,$296,231,233,$0.86,$0.86
2019-09-30,"$3,259","$2,747",$512,-,$255,-,"$3,002",$257,$-16,$241,$21,$220,-,$220,-,$220,$357,$257,230,231,$0.96,$0.95
2019-06-30,"$3,227","$2,641",$586,-,$292,-,"$2,933",$294,$-15,$279,$62,$217,-,$217,-,$217,$394,$294,232,234,$0.94,$0.93
2019-03-31,"$3,109","$2,577",$532,-,$307,-,"$2,884",$225,$-13,$212,$33,$179,-,$179,-,$179,$327,$225,235,236,$0.76,$0.76
2018-12-31,"$3,750","$3,105",$645,-,$271,-,"$3,376",$374,$-96,$278,$32,$246,-,$246,-,$246,$489,$374,250,253,$0.98,$0.98
2018-09-30,"$3,200","$2,687",$513,-,$307,-,"$2,994",$206,$422,$628,$65,$563,-,$563,-,$563,$312,$206,246,249,$2.29,$2.26
2018-06-30,"$3,726","$3,073",$653,-,$370,-,"$3,443",$283,$-23,$260,$36,$224,-,$224,-,$224,$394,$283,254,257,$0.88,$0.87
2018-03-31,"$3,296","$2,729",$567,-,$327,-,"$3,056",$240,$-22,$218,$29,$189,-,$189,-,$189,$345,$240,260,264,$0.73,$0.72
2017-12-31,"$4,017","$3,355",$662,-,$347,-,"$3,715",$302,$-79,$223,$329,$-106,-,$-106,-,$-106,$417,$302,266,269,$-0.39,$-0.40
2017-09-30,"$3,484","$2,884",$600,-,$335,$7,"$3,212",$272,$-69,$203,$44,$159,-,$159,-,$159,$386,$272,265,267,$0.60,$0.60
2017-06-30,"$3,604","$2,996",$608,-,$343,$6,"$3,333",$271,$-56,$215,$62,$153,-,$153,-,$153,$383,$271,267,269,$0.57,$0.57
2017-03-31,"$3,093","$2,592",$501,-,$309,-,"$2,901",$192,$-71,$121,$21,$100,-,$100,$1,$101,$298,$192,270,273,$0.37,$0.37
2016-12-31,"$3,825","$3,152",$673,-,$368,-,"$3,520",$305,$-11,$294,$79,$215,-,$215,$-1,$214,$423,$305,271,272,$0.78,$0.78
2016-09-30,"$3,251","$2,661",$590,-,$323,-,"$2,984",$267,$-160,$107,$-192,$299,-,$299,$122,$421,$375,$267,271,272,$1.56,$1.55
2016-06-30,"$3,511","$2,889",$622,-,$318,-,"$3,207",$304,$-44,$260,$82,$178,-,$178,$-1,$177,$418,$304,270,271,$0.66,$0.65
2016-03-31,"$3,201","$2,635",$566,-,$308,-,"$2,943",$258,$-43,$215,$64,$151,-,$151,$-1,$150,$367,$258,272,273,$0.55,$0.55
2015-12-31,"$3,923","$3,251",$672,-,$335,-,"$3,586",$337,$-43,$294,$69,$225,-,$225,$1,$226,$466,$337,277,279,$0.82,$0.81
2015-09-30,"$3,180","$2,584",$596,-,$303,-,"$2,887",$293,$-41,$252,$76,$176,-,$176,-,$176,$405,$293,276,278,$0.64,$0.63
2015-06-30,"$3,247","$2,635",$612,-,$329,-,"$2,964",$283,$-42,$241,$72,$169,-,$169,$-2,$167,$393,$283,278,280,$0.60,$0.60
2015-03-31,"$3,073","$2,509",$564,-,$337,-,"$2,846",$227,$-43,$184,$56,$128,-,$128,-,$128,$337,$227,278,280,$0.46,$0.46
2014-12-31,"$4,096","$3,344",$752,-,$402,-,"$3,707",$389,$-102,$287,$74,$213,-,$213,$-1,$212,$523,$389,279,282,$0.76,$0.75
2014-09-30,"$3,430","$2,845",$585,-,$304,-,"$3,152",$278,$-47,$231,$71,$160,-,$160,$-1,$159,$389,$278,279,281,$0.57,$0.57
2014-06-30,"$3,505","$2,875",$630,-,$353,-,"$3,248",$257,$-47,$210,$65,$145,-,$145,$-1,$144,$373,$257,280,283,$0.52,$0.51
2014-03-31,"$2,847","$2,357",$490,-,$302,-,"$2,675",$172,$-47,$125,$38,$87,-,$87,$-2,$85,$270,$172,281,283,$0.30,$0.30
2013-12-31,"$3,506","$2,938",$568,-,$306,-,"$3,244",$262,$-39,$223,$52,$171,-,$171,$-4,$167,$366,$262,279,284,$0.59,$0.59
2013-09-30,"$2,904","$2,473",$431,-,$245,-,"$2,718",$186,$-41,$145,$47,$98,-,$98,$1,$99,$279,$186,282,282,$0.35,$0.35
2013-06-30,"$2,839","$2,338",$501,-,$296,-,"$2,634",$205,$-42,$163,$49,$114,-,$114,$-1,$113,$300,$205,280,284,$0.40,$0.40
2013-03-31,"$2,855","$2,382",$473,-,$279,-,"$2,661",$194,$-51,$143,$28,$115,-,$115,$4,$119,$291,$194,273,289,$0.44,$0.41
2012-12-31,"$3,362","$2,797",$565,-,$313,-,"$3,110",$252,$-52,$200,$54,$146,-,$146,$2,$148,$358,$252,280,295,$0.53,$0.51
2012-09-30,"$3,000","$2,475",$525,-,$264,-,"$2,739",$261,$-52,$209,$67,$142,-,$142,$9,$151,$355,$261,282,297,$0.54,$0.51
2012-06-30,"$3,019","$2,435",$584,-,$276,-,"$2,711",$308,$-53,$255,$82,$173,-,$173,$-1,$172,$400,$308,281,296,$0.61,$0.58
2012-03-31,"$2,856","$2,312",$544,-,$312,-,"$2,624",$232,$-55,$177,$57,$120,-,$120,$-2,$118,$323,$232,280,295,$0.42,$0.40
2011-12-31,"$3,254","$2,715",$539,-,$345,-,"$3,060",$194,$-224,$-30,$-13,$-17,-,$-17,-,$-19,$308,$194,278,307,$-0.06,$-0.06
2011-09-30,"$2,814","$2,313",$501,-,$251,-,"$2,564",$250,$-64,$186,$50,$136,-,$136,$6,$142,$344,$250,278,301,$0.51,$0.47
2011-06-30,"$2,728","$2,225",$503,-,$295,-,"$2,520",$208,$-73,$135,$43,$92,-,$92,$-2,$90,$308,$208,277,315,$0.32,$0.29
2011-03-31,"$2,479","$2,055",$424,-,$304,-,"$2,359",$120,$-74,$46,$15,$31,-,$31,$-2,$29,$215,$120,276,319,$0.10,$0.09
2010-12-31,"$3,127","$2,604",$523,-,$346,-,"$2,950",$177,$-132,$45,$-18,$63,-,$63,$-3,$60,$288,$177,274,303,$0.21,$0.21
2010-09-30,"$2,479","$2,037",$442,-,$301,-,"$2,338",$141,$-210,$-69,$-21,$-48,-,$-48,-,$-48,$236,$141,275,275,$-0.17,$-0.17
2010-06-30,"$2,709","$2,188",$521,-,$299,-,"$2,487",$222,$-123,$99,$18,$81,-,$81,$1,$82,$319,$222,274,302,$0.30,$0.27
2010-03-31,"$2,210","$1,776",$434,-,$285,-,"$2,061",$149,$-138,$11,$15,$-4,-,$-4,$-4,$-8,$239,$149,273,273,$-0.03,$-0.03
2009-12-31,"$2,813","$2,323",$490,-,$304,-,"$2,627",$186,$-251,$-65,$-5,$-60,-,$-60,$-3,$-63,$298,$186,263,263,$-0.26,$-0.26
2009-09-30,"$2,549","$2,047",$502,-,$348,-,"$2,395",$154,$-159,$-5,$-11,$6,-,$6,$-2,$4,$254,$154,271,278,$0.01,$0.01
2009-06-30,"$2,612","$2,099",$513,-,$340,-,"$2,439",$173,$-293,$-120,$-58,$-62,-,$-62,$4,$-58,$274,$173,264,264,$-0.22,$-0.22
2009-03-31,"$2,526","$1,999",$527,-,$346,-,"$2,345",$181,$-140,$41,$-2,$43,-,$43,$43,$86,$277,$181,244,245,$0.35,$0.35
2008-12-31,"$3,549","$2,779",$770,-,$387,-,"$3,166",$383,$-789,$-406,$-50,$-356,-,$-356,$147,$-209,$490,$383,246,250,$-0.84,$-0.81
2008-09-30,"$3,471","$2,595",$876,-,$419,-,"$3,014",$457,$-136,$321,$116,$205,-,$205,$1,$206,$551,$457,244,247,$0.85,$0.83
2008-06-30,"$3,684","$2,775",$909,-,$393,-,"$3,168",$516,$-141,$375,$125,$250,-,$250,$8,$258,$616,$516,250,255,$1.03,$1.01
2008-03-31,"$3,306","$2,434",$872,-,$391,-,"$2,825",$481,$-142,$339,$114,$225,-,$225,$6,$231,$580,$481,249,255,$0.93,$0.91
2007-12-31,"$3,086","$2,270",$816,-,$361,-,"$2,631",$455,$-131,$324,$96,$228,-,$228,$28,$256,$547,$455,250,255,$1.03,$1.00
2007-09-30,"$3,110","$2,275",$835,-,$383,-,"$2,658",$452,$-123,$329,$104,$225,-,$225,$30,$255,$529,$452,249,254,$1.02,$1.00
2007-06-30,"$3,235","$2,374",$861,-,$429,-,"$2,803",$432,$-135,$297,$82,$215,-,$215,$-5,$210,$511,$432,250,254,$0.84,$0.83
2007-03-31,"$2,964","$2,180",$784,-,$372,-,"$2,552",$412,$-128,$284,$86,$198,-,$198,$-2,$196,$486,$412,250,255,$0.78,$0.77
2006-12-31,"$2,684","$2,010",$674,-,$301,-,"$2,311",$373,$-126,$247,$64,$183,-,$183,$12,$195,$442,$373,255,260,$0.77,$0.76
2006-09-30,"$2,837","$2,099",$738,-,$369,-,"$2,468",$369,$-127,$242,$67,$175,-,$175,$-6,$169,$441,$369,252,257,$0.67,$0.66
2006-06-30,"$2,820","$2,081",$739,-,$376,-,"$2,457",$363,$-108,$255,$78,$177,-,$177,$-108,$69,$435,$363,257,263,$0.27,$0.27
2006-03-31,"$2,632","$1,955",$677,-,$361,-,"$2,316",$316,$-103,$213,$55,$158,-,$158,$10,$168,$382,$316,260,266,$0.65,$0.63
2005-12-31,"$2,701","$1,981",$720,-,$377,-,"$2,358",$343,$-119,$224,$56,$168,-,$168,$-50,$118,$425,$343,267,273,$0.45,$0.46
2005-09-30,"$2,405","$1,787",$618,-,$350,-,"$2,137",$268,$-70,$198,$52,$146,-,$146,$-310,$-164,$343,$268,266,271,$-0.61,$-0.61
2005-06-30,"$2,667","$2,029",$638,-,$336,-,"$2,365",$302,$-114,$188,$70,$118,-,$118,$5,$123,$377,$302,269,275,$0.46,$0.45
2005-03-31,"$2,270","$1,667",$603,-,$340,-,"$2,007",$263,$-134,$129,$45,$84,-,$84,$42,$126,$334,$263,270,277,$0.47,$0.46
