,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$24,896","$6,423","$18,473",-,"$12,523","$-3,201","$22,859","$2,037","$-6,325","$-4,288",$-941,"$-3,347",-,"$-3,347",-,"$-3,347","$2,749","$2,037",867,871,$-3.86,$-3.84
2020-09-30,"$21,238","$5,131","$16,107",-,"$11,077","$-1,990","$18,875","$2,363",$162,"$2,525",$568,"$1,957",-,"$1,957",-,"$1,957","$3,040","$2,363",868,872,$2.25,$2.24
2020-06-30,"$20,459","$4,769","$15,690",-,"$10,843","$-1,974","$18,247","$2,212",$145,"$2,357",$589,"$1,768",-,"$1,768",-,"$1,768","$2,873","$2,212",866,869,$2.04,$2.03
2020-03-31,"$18,035","$4,255","$13,780",-,"$10,086","$-1,974","$16,963","$1,072",$178,"$1,250",$285,$965,-,$965,-,$965,"$1,720","$1,072",864,869,$1.12,$1.11
2019-12-31,"$20,568","$4,924","$15,644",-,"$10,702","$-2,179","$18,435","$2,133","$-2,331",$-198,$-92,$-106,-,$-106,-,$-106,"$2,763","$2,133",864,869,$-0.12,$-0.12
2019-09-30,"$18,318","$4,293","$14,025",-,"$9,590","$-1,720","$16,190","$2,128",$78,"$2,206",$456,"$1,750",-,"$1,750",-,"$1,750","$2,715","$2,128",864,870,$2.03,$2.01
2019-06-30,"$18,048","$4,330","$13,718",-,"$9,299","$-1,701","$15,905","$2,143",$61,"$2,204",$519,"$1,685",-,"$1,685",-,"$1,685","$2,718","$2,143",865,869,$1.95,$1.94
2019-03-31,"$17,160","$4,170","$12,990",-,"$9,317","$-1,711","$15,766","$1,394",$46,"$1,440",$329,"$1,111",-,"$1,111",-,"$1,111","$1,962","$1,394",866,869,$1.28,$1.28
2018-12-31,"$19,848","$5,235","$14,613",-,"$10,151","$-1,913","$17,844","$2,004","$-1,461",$543,$90,$453,-,$453,-,$453,"$2,549","$2,004",866,870,$0.53,$0.52
2018-09-30,"$17,444","$4,520","$12,924",-,"$9,015","$-1,658","$15,717","$1,727",$162,"$1,889",$381,"$1,508",-,"$1,508",-,"$1,508","$2,251","$1,727",865,870,$1.74,$1.73
