,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,$778.8,$419.8,$359,$72.2,$161.9,-,$661.6,$117.2,$7.2,$124.4,$27.6,$96.8,-,$96.8,-,$96.5,$143,$117.2,91,92,$1.06,$1.05
2020-09-30,$850.5,$475.8,$374.7,$77.2,$174.5,-,$752.1,$98.4,$9.6,$108,$31.5,$76.5,-,$76.5,-,$76.6,$123.7,$98.4,91,92,$0.84,$0.84
2020-06-30,$694.3,$395.8,$298.5,$65.3,$145,-,$634.4,$59.9,$24.9,$84.8,$23.9,$60.9,-,$60.9,-,$61.2,$83.9,$59.9,91,91,$0.67,$0.67
2020-03-31,$794.5,$457.3,$337.2,$71,$175.3,-,$739.6,$54.9,$-2.1,$52.8,$9.7,$43.1,-,$43.1,-,$43.2,$79.3,$54.9,91,91,$0.48,$0.47
2019-12-31,$828.9,$462.1,$366.8,$67.1,$177,-,$718.9,$110,$2.7,$112.7,$23.8,$88.9,-,$88.9,-,$88.2,$135.2,$110,91,92,$0.97,$0.96
2019-09-30,$878.9,$494.3,$384.6,$65.2,$181.6,-,$768.1,$110.8,$-0.4,$110.4,$40,$70.4,-,$70.4,-,$70.7,$146.4,$110.8,91,92,$0.79,$0.78
2019-06-30,$825.8,$474.4,$351.4,$62.1,$153.6,-,$771.9,$53.9,$6.1,$60,$30.5,$29.5,-,$29.5,-,$29.4,$74.1,$53.9,91,92,$0.32,$0.32
2019-03-31,$779.4,$461.2,$318.2,$59.4,$146.8,-,$669.6,$109.8,$3.2,$113,$24.6,$88.4,-,$88.4,-,$88.6,$129.5,$109.8,91,92,$0.97,$0.96
2018-12-31,$741,$424.9,$316.1,$60.9,$141.1,-,$629.3,$111.7,$25.7,$137.4,$33.5,$103.9,-,$103.9,-,$103.2,$129.2,$111.7,91,92,$1.13,$1.12
2018-09-30,$801.6,$462.9,$338.7,$59.6,$138.4,-,$684.9,$116.7,$25.3,$142,$25.2,$116.8,-,$116.8,-,$116.4,$135.9,$116.7,92,93,$1.27,$1.26
2018-06-30,$709.1,$395.5,$313.6,$59.5,$140.4,-,$619.1,$90,$2,$92,$19.5,$72.5,-,$72.5,-,$72.6,$107.7,$90,92,93,$0.79,$0.79
2018-03-31,$729.9,$411.4,$318.5,$58.9,$139.4,-,$620.8,$109.1,$-13.5,$95.6,$22.4,$73.2,-,$73.2,-,$73.2,$125.8,$109.1,92,93,$0.80,$0.79
2017-12-31,$678.5,$375.7,$302.8,$55.9,$125.3,-,$556.9,$121.6,$0.9,$122.5,$234.7,$-112.2,-,$-112.2,-,$-112.3,$140.7,$121.6,92,92,$-1.22,$-1.22
2017-09-30,$721.8,$416,$305.8,$51.7,$138.4,-,$620,$101.8,$2.9,$104.7,$26.1,$78.6,-,$78.6,-,$78.6,$120.2,$101.8,93,93,$0.85,$0.85
2017-06-30,$632.8,$367.3,$265.5,$55.1,$121.4,-,$544.3,$88.5,$0.2,$88.7,$18.8,$69.9,-,$69.9,-,$69.7,$106,$88.5,92,92,$0.76,$0.75
2017-03-31,$663.2,$387.6,$275.6,$53.3,$131.6,-,$573.1,$90.1,$0.3,$90.4,$20.9,$69.5,-,$69.5,$-13.3,$56.3,$108.8,$90.1,93,94,$0.60,$0.60
2016-12-31,$601.5,$334.5,$267,$49.9,$161.4,-,$584.1,$17.4,$1.9,$19.3,$11.3,$8,-,$8,$6.5,$13.9,$39.7,$17.4,94,94,$0.15,$0.15
2016-09-30,$578.5,$325.1,$253.4,$40.3,$105,-,$473.5,$105,$1.3,$106.3,$32.1,$74.2,-,$74.2,$40.6,$114.5,$128.4,$105,95,96,$1.22,$1.20
2016-06-30,$642.9,$359.4,$283.5,$51.1,$128.1,-,$540.8,$102.1,$1.6,$103.7,$21.8,$81.9,-,$81.9,$17,$98.8,$120.6,$102.1,95,95,$1.04,$1.04
2016-03-31,$615.2,$357.1,$258.1,$49,$106.1,-,$512.2,$103,$1,$104,$26.8,$77.2,-,$77.2,$19.8,$97,$122.4,$103,96,96,$1.01,$1.01
2015-12-31,$757.1,$447.4,$309.7,$60,$133,-,$640.4,$116.7,$1.7,$118.4,$29.4,$89,-,$89,-,$89,$135.2,$116.7,97,98,$0.92,$0.91
2015-09-30,$209.429,$141.851,$67.578,$19.002,$72.606,-,$233.459,$-24.03,$1.954,$-22.076,$-20.551,$-1.525,-,$-1.525,-,$98.711,$-5.535,$-24.03,100,101,$1.00,$0.99
2015-06-30,$784.011,$469.035,$314.976,$60.01,$110.722,-,$639.767,$144.244,$1.608,$145.852,$32.21,$113.642,-,$113.642,-,$113.506,$160.852,$144.244,100,100,$1.14,$1.13
2015-03-31,$759.406,$436.868,$322.538,$59.312,$117.19,-,$613.37,$146.036,$1.043,$147.079,$41.11,$105.969,-,$105.969,-,$105.969,$162.362,$146.036,100,101,$1.06,$1.05
2014-12-31,$737.854,$410.846,$327.008,$57.076,$140.482,-,$608.404,$129.45,$0.995,$130.445,$37.131,$93.314,-,$93.314,-,$93.314,$146.521,$129.45,100,102,$0.93,$0.92
2014-09-30,$812.107,$472.023,$340.084,$59.132,$121.824,$0.03,$652.949,$159.158,$1.067,$160.225,$54.363,$105.862,-,$105.862,-,$105.862,$175.682,$159.158,104,105,$1.04,$1.02
2014-06-30,$747.685,$423.958,$323.727,$56.988,$124.235,-,$605.181,$142.504,$1.258,$143.762,$36.672,$107.09,-,$107.09,-,$107.09,$157.841,$142.504,104,105,$1.03,$1.02
2014-03-31,$778.506,$450.196,$328.31,$60.677,$114.959,$-25.13,$650.962,$127.544,$0.603,$128.147,$35.359,$92.788,-,$92.788,-,$92.788,$142.118,$127.544,104,105,$0.89,$0.88
2013-12-31,$711.502,$401.923,$309.579,$58.003,$109.582,-,$569.508,$141.994,$0.372,$142.366,$44.406,$97.96,-,$97.96,-,$97.96,$158.059,$141.994,106,107,$0.92,$0.91
2013-09-30,$769.93,$441.434,$328.496,$56.853,$110.679,-,$608.966,$160.964,$0.8,$161.764,$44.418,$117.346,-,$117.346,-,$117.346,$175.914,$160.964,108,110,$1.09,$1.07
2013-06-30,$726.211,$415.746,$310.465,$53.335,$102.398,-,$571.479,$154.732,$1.041,$155.773,$42.942,$112.831,-,$112.831,-,$112.831,$170.135,$154.732,108,110,$1.04,$1.03
2013-03-31,$768.358,$448.72,$319.638,$50.903,$113.031,-,$612.654,$155.704,$0.679,$156.383,$43.595,$112.788,-,$112.788,-,$112.788,$171.254,$155.704,109,111,$1.04,$1.02
2012-12-31,$678.398,$387.31,$291.088,$47.117,$106.481,-,$540.908,$137.49,$0.673,$138.163,$42.88,$95.283,-,$95.283,-,$95.283,$154.446,$137.49,109,111,$0.87,$0.86
2012-09-30,$756.157,$432.887,$323.27,$45.967,$109.534,-,$588.388,$167.769,$0.748,$168.517,$48.317,$120.2,-,$120.2,-,$120.2,$186.192,$167.769,111,113,$1.09,$1.07
