,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$1,175.119",$872.378,$302.741,-,$98.626,$-7.685,$978.689,$196.43,$-55.242,$141.188,$25.273,$115.915,-,$115.915,$-1.397,$114.518,$297.324,$196.43,133,133,$0.87,$0.86
2020-09-30,"$1,309.89",$929.392,$380.498,-,$83.511,$-8.883,"$1,021.786",$288.104,$-29.995,$258.109,$56.984,$201.125,-,$201.125,$-1.337,$199.788,$389.065,$288.104,133,133,$1.51,$1.50
2020-06-30,"$1,322.575",$926.056,$396.519,-,$91.205,$-6.418,"$1,023.679",$298.896,$-26.587,$272.309,$61.352,$210.957,-,$210.957,$-1.041,$209.916,$398.367,$298.896,133,133,$1.58,$1.58
2020-03-31,"$1,049.242",$847.519,$201.723,-,$86.43,$-2.992,$936.941,$112.301,$-40.109,$72.192,$12.194,$59.998,-,$59.998,$0.26,$60.258,$207.781,$112.301,133,133,$0.45,$0.45
2019-12-31,"$1,186.152",$893.071,$293.081,-,$95.802,$-3.704,$992.577,$193.575,$-27.545,$166.03,$23.435,$142.595,-,$142.595,$-1.503,$141.092,$289.246,$193.575,132,133,$1.07,$1.05
2019-09-30,"$1,418.758","$1,018.115",$400.643,-,$88.789,$-8.478,"$1,115.382",$303.376,$-31.838,$271.538,$53.472,$218.066,-,$218.066,$-2.353,$215.713,$399.624,$303.376,132,133,$1.63,$1.62
2019-06-30,"$1,327.682",$957.18,$370.502,-,$95.689,$1.261,"$1,051.608",$276.074,$-30.569,$245.505,$47.598,$197.907,-,$197.907,$-0.349,$197.558,$369.57,$276.074,132,133,$1.49,$1.48
2019-03-31,$996.511,$804.836,$191.675,-,$90.268,$3.026,$892.078,$104.433,$-29.805,$74.628,$10.693,$63.935,-,$63.935,$-0.636,$63.299,$193.614,$104.433,132,133,$0.48,$0.48
2018-12-31,"$1,088.047",$812.762,$275.285,-,$84.382,$-3.822,$900.966,$187.081,$-33.158,$153.923,$29.643,$124.28,-,$124.28,$-0.257,$124.023,$276.864,$187.081,132,134,$0.94,$0.93
2018-09-30,"$1,240.197",$897.055,$343.142,-,$81.606,$-12.352,$991.013,$249.184,$-28.657,$220.527,$40.663,$179.864,-,$179.864,$-0.713,$179.151,$338.575,$249.184,132,134,$1.35,$1.34
2018-06-30,"$1,200.151",$876.967,$323.184,-,$89.043,$-3.888,$969.898,$230.253,$-29.905,$200.348,$40.046,$160.302,-,$160.302,$-0.65,$159.652,$315.886,$230.253,132,134,$1.21,$1.19
2018-03-31,$854.474,$695.14,$159.334,-,$78.34,$0.201,$773.279,$81.195,$-32.703,$48.492,$-4.903,$53.395,-,$53.395,$-0.416,$52.979,$162.634,$81.195,133,134,$0.40,$0.39
2017-12-31,$977.49,$735.973,$241.517,-,$85.921,$-6.375,$828.269,$149.221,$-134.884,$14.337,$-313.632,$327.969,-,$327.969,$-0.423,$327.546,$227.212,$149.221,133,135,$2.47,$2.43
2017-09-30,"$1,094.715",$790.957,$303.758,-,$73.612,$-2.668,$867.237,$227.478,$-78.248,$149.23,$39.08,$110.15,-,$110.15,$-1.571,$108.579,$307.113,$227.478,132,135,$0.82,$0.81
2017-06-30,"$1,030.763",$740.746,$290.017,-,$83.056,$-14.995,$838.797,$191.966,$-34.565,$157.401,$45.652,$111.749,-,$111.749,$8.39,$120.139,$268.742,$191.966,132,135,$0.91,$0.89
2017-03-31,$787.328,$629.107,$158.221,-,$82.383,$-5.459,$716.949,$70.379,$-30.031,$40.348,$-3.175,$43.523,-,$43.523,$1.398,$44.921,$141.942,$70.379,133,135,$0.34,$0.33
2016-12-31,$872.974,$645.2,$227.774,-,$81.309,$13.654,$712.855,$160.119,$-18.779,$141.34,$33.277,$108.063,-,$108.063,$4.537,$112.6,$231.697,$160.119,133,136,$0.85,$0.82
2016-09-30,"$1,008.14",$703.931,$304.209,-,$76.311,$-0.822,$781.064,$227.076,$-32.136,$194.94,$49.803,$145.137,-,$145.137,$-3.113,$142.024,$299.124,$227.076,133,136,$1.07,$1.05
