,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,$376.431,$188.989,$187.442,-,$61.254,$-181.018,$606.911,$-230.48,$19.953,$-210.527,$-1.801,$-208.726,-,$-208.726,-,$-209.127,$-122.267,$-230.48,191,191,$-1.11,$-1.11
2020-09-30,$363.962,$196.229,$167.733,-,$32.407,$-4.341,$339.99,$23.972,$68.545,$92.517,$23.781,$68.736,-,$68.736,-,$53.17,$132.309,$23.972,191,191,$0.28,$0.28
2020-06-30,$343.026,$105.204,$237.822,-,$35.014,$-6.356,$239.379,$103.647,$-319.162,$-215.515,$1.837,$-217.352,-,$-217.352,-,$-197.75,$195.454,$103.647,191,191,$-1.03,$-1.03
2020-03-31,$444.532,$230.078,$214.454,-,$52.834,$11.245,$364.46,$80.072,$-171.762,$-91.69,$12.813,$-104.503,-,$-104.503,-,$4.963,$172.779,$80.072,191,191,$0.03,$0.03
2019-12-31,$460.968,$223.975,$236.993,-,$39.791,$-110.425,$363.802,$97.166,$86.352,$183.518,$22.897,$160.621,-,$160.621,$0.055,$193.217,$189.879,$97.166,191,191,$1.01,$1.01
2019-09-30,$465.961,$227.935,$238.026,-,$33.237,$-0.974,$358.583,$107.378,$280.364,$387.742,$23.885,$363.857,-,$363.857,$-0.008,$322.906,$204.07,$107.378,191,191,$1.69,$1.69
2019-06-30,$463.103,$322.342,$140.761,-,$38.872,$-1.315,$475.564,$-12.461,"$2,636.008","$2,623.547",$26.914,"$2,596.633",-,"$2,596.633",$0.06,"$2,400.195",$100.627,$-12.461,191,191,$12.58,$12.56
2019-03-31,$534.668,$247.044,$287.624,-,$58.02,$-5.433,$427.206,$107.462,$135.462,$242.924,$29.743,$213.181,-,$213.181,$-0.137,$181.488,$224.072,$107.462,191,191,$0.95,$0.95
2018-12-31,$543.417,$254.32,$289.097,-,$32.934,$-26.359,$407.938,$135.479,$-5.246,$130.233,$32.669,$97.564,-,$97.564,$0.257,$100.494,$247.41,$135.479,190,191,$0.52,$0.52
2018-09-30,$542.048,$238.085,$303.963,-,$31.977,-,$385.092,$156.956,$64.088,$221.044,$1.943,$219.101,-,$219.101,$0.061,$190.645,$266.596,$156.956,190,191,$1.00,$1.00
