,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,$713.3,$260.4,$452.9,-,$109,-,$462.6,$250.7,$-34.7,$216,$39.8,$176.2,-,$176.2,-,$176.2,$344.4,$250.7,163,165,$1.09,$1.07
2020-09-30,$702.7,$240,$462.7,-,$96.4,-,$427.3,$275.4,$-35.4,$240,$54.2,$185.8,-,$185.8,-,$185.8,$366.8,$275.4,163,166,$1.14,$1.12
2020-06-30,$678.8,$235.8,$443,-,$96.4,-,$419.1,$259.7,$-34.9,$224.8,$45.8,$179,-,$179,-,$179,$347.1,$259.7,162,165,$1.10,$1.08
2020-03-31,$689.8,$257.7,$432.1,-,$112.1,$19.4,$437.5,$252.3,$-35.6,$216.7,$45,$171.7,-,$171.7,-,$171.7,$339.7,$252.3,163,166,$1.05,$1.04
2019-12-31,$676.8,$259.8,$417,-,$124.8,-,$470.1,$206.7,$-34.6,$172.1,$39.9,$132.2,-,$132.2,-,$132.2,$292.7,$206.7,164,167,$0.81,$0.79
2019-09-30,$652.7,$242.9,$409.8,-,$255,$-6.2,$583.2,$69.5,$-30.6,$38.9,$6,$32.9,-,$32.9,-,$32.9,$150.1,$69.5,164,167,$0.20,$0.20
2019-06-30,$652.6,$242.7,$409.9,-,$112.3,-,$434.3,$218.3,$-31,$187.3,$36.9,$150.4,-,$150.4,-,$150.4,$298.6,$218.3,164,167,$0.92,$0.90
2019-03-31,$625,$231.4,$393.6,-,$111.4,-,$422.6,$202.4,$-32.3,$170.1,$35.7,$134.4,-,$134.4,-,$134.4,$283.1,$202.4,164,167,$0.82,$0.81
2018-12-31,$613.9,$223.4,$390.5,-,$98.2,-,$397.7,$216.2,$-36.6,$179.6,$33.4,$146.2,-,$146.2,-,$146.2,$293.3,$216.2,165,168,$0.88,$0.87
2018-09-30,$598.7,$219.2,$379.5,-,$95.7,-,$387.6,$211.1,$-18.3,$192.8,$26.8,$166,-,$166,-,$166,$285,$211.1,165,168,$1.01,$0.99
2018-06-30,$601.3,$222.4,$378.9,-,$93,-,$389,$212.3,$-27.3,$185,$31.5,$153.5,-,$153.5,-,$153.5,$286.9,$212.3,165,169,$0.93,$0.91
2018-03-31,$581.2,$221.2,$360,-,$91.8,-,$386.7,$194.5,$-32.2,$162.3,$29.3,$133,-,$133,-,$133,$269.2,$194.5,165,169,$0.81,$0.79
