,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$1,122.016",$703.646,$418.37,-,$27.848,$-33.088,"$1,007.315",$114.701,$-144.855,$-30.154,$0.29,$-30.444,-,$155.278,-,$163.729,$360.537,$114.701,415,417,$0.39,$0.39
2020-09-30,"$1,036.874",$637.574,$399.3,-,$31.003,$-11.544,$935.653,$101.221,$-182.563,$-81.342,$2.003,$-83.345,-,$394.978,-,$325.585,$359.054,$101.221,417,419,$0.78,$0.77
2020-06-30,"$1,188.475",$662.186,$526.289,-,$34.062,$-19.411,$981.03,$207.445,$-203.191,$4.254,$2.233,$2.021,-,$159.216,-,$179.246,$476.1,$207.445,417,419,$0.43,$0.42
2020-03-31,"$1,258.602",$688.853,$569.749,-,$35.481,$-6.292,"$1,005.427",$253.175,$-177.485,$75.69,$5.442,$70.248,-,$329.38,-,$310.284,$530.631,$253.175,410,412,$0.76,$0.75
2019-12-31,"$1,262.822",$662.52,$600.302,-,$26.507,$-16.042,$967.713,$295.109,$-129.289,$165.82,$-4.832,$170.652,-,$240.136,-,$224.324,$560.765,$295.109,402,404,$0.55,$0.55
2019-09-30,"$1,266.133",$655.588,$610.545,-,$31.019,$-6.186,$965.238,$300.895,$-222.507,$78.388,$3.968,$74.42,-,$647.932,-,$589.876,$576.72,$300.895,405,407,$1.46,$1.45
2019-06-30,"$1,320.106",$701.127,$618.979,-,$33.741,$-21.628,"$1,004.548",$315.558,$-153.188,$162.37,$1.599,$160.771,-,$150.04,-,$137.762,$567.377,$315.558,405,407,$0.34,$0.34
2019-03-31,"$1,272.245",$689.497,$582.748,-,$35.282,$-8.756,$977.467,$294.778,$-158.464,$136.314,$2.222,$134.092,-,$292.302,-,$280.47,$544.702,$294.778,391,393,$0.72,$0.71
2018-12-31,"$1,241.243",$650.644,$590.599,-,$31.101,$-10.502,$935.081,$306.162,$-222.07,$84.092,$1.504,$82.588,-,$124.696,-,$101.763,$554.51,$306.162,374,375,$0.26,$0.27
2018-09-30,"$1,236.379",$657.157,$579.222,-,$28.746,$-88.626,"$1,017.678",$218.701,$-157.801,$60.9,$1.741,$59.159,-,$84.226,-,$64.384,$466.597,$218.701,373,374,$0.17,$0.17
