,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$19,120","$1,195","$17,925",-,"$14,170",-,"$15,365","$3,755",$-781,"$3,302",$108,"$3,194",-,"$3,194",-,"$2,642",-,-,"4,118","4,134",$0.65,$0.64
2020-09-30,"$20,294","$1,432","$18,862",-,"$15,280",-,"$16,712","$3,582",$-718,"$2,864",$645,"$2,219",-,"$2,219",-,"$1,720",-,-,"4,124","4,132",$0.42,$0.42
2020-06-30,"$19,757","$1,921","$17,836",-,"$24,063",-,"$26,006","$-6,249",-,"$-6,249","$-3,917","$-2,332",-,"$-2,332",-,"$-2,694",-,-,"4,106","4,106",$-0.66,$-0.66
2020-03-31,"$21,132","$3,415","$17,717",-,"$17,030",-,"$20,468",$664,-,$664,$159,$505,-,$505,-,$42,-,-,"4,105","4,135",$0.01,$0.01
2019-12-31,"$24,255","$4,395","$19,860",-,"$16,616",-,"$21,011","$3,244",-,"$3,602",$678,"$2,924",-,"$2,924",-,"$2,546",-,-,"4,393","4,425",$0.63,$0.63
2019-09-30,"$26,884","$4,874","$22,010",-,"$15,894",-,"$20,768","$6,116",-,"$6,116","$1,304","$4,812",-,"$4,812",-,"$4,037",-,-,"4,359","4,390",$0.93,$0.92
2019-06-30,"$26,475","$4,891","$21,584",-,"$13,925",-,"$18,843","$7,632",-,"$7,632","$1,294","$6,338",-,"$6,338",-,"$5,848",-,-,"4,469","4,495",$1.31,$1.30
2019-03-31,"$26,301","$4,692","$21,609",-,"$14,733",-,"$19,453","$6,848",-,"$6,848",$881,"$5,967",-,"$5,967",-,"$5,507",-,-,"4,552","4,584",$1.21,$1.20
2018-12-31,"$25,257","$4,277","$20,980",-,"$15,611",-,"$19,888","$5,369",-,"$7,120",$966,"$6,154",-,"$6,154",-,"$5,711",-,-,"4,800","4,838",$1.22,$1.21
2018-09-30,"$25,733","$3,792","$21,941",-,"$14,079",-,"$18,135","$7,598",-,"$7,598","$1,512","$6,086",-,"$6,086",-,"$5,453",-,-,"4,784","4,823",$1.14,$1.13
2018-06-30,"$25,027","$3,474","$21,553",-,"$14,169",-,"$17,908","$7,119",-,"$7,119","$1,810","$5,309",-,"$5,309",-,"$4,792",-,-,"4,866","4,900",$0.98,$0.98
