,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$5,798","$4,434","$1,364",-,$523,-,"$5,082",$716,$-64,$652,$151,$501,-,$501,-,$497,$877,$716,63,63,$7.92,$7.84
2020-09-30,"$5,291","$4,136","$1,155",-,$513,$7,"$4,721",$570,$-29,$541,$143,$398,-,$398,-,$397,$716,$570,63,63,$6.35,$6.27
2020-06-30,"$4,042","$3,411",$631,-,$421,-,"$3,965",$77,$-34,$43,$18,$25,-,$25,-,$35,$210,$77,62,63,$0.55,$0.55
2020-03-31,"$4,325","$3,625",$700,-,$420,-,"$4,065",$260,$-41,$219,$72,$147,-,$147,-,$152,$395,$260,63,63,$2.42,$2.41
2019-12-31,"$5,382","$4,334","$1,048",-,$562,-,"$4,958",$424,$-93,$331,$43,$288,-,$288,-,$288,$568,$424,64,64,$4.58,$4.53
2019-09-30,"$5,091","$4,350",$741,-,$491,$516,"$4,398",$693,$-16,$677,$313,$364,-,$364,-,$358,$834,$693,64,64,$5.62,$5.57
2019-06-30,"$5,186","$4,254",$932,-,$584,$-79,"$4,995",$191,$11,$202,$130,$72,-,$72,-,$67,$351,$191,64,64,$1.04,$1.04
2019-03-31,"$4,760","$3,948",$812,-,$505,-,"$4,497",$263,$79,$342,$-132,$474,-,$474,-,$471,$405,$263,64,65,$7.36,$7.31
2018-12-31,"$5,660","$4,710",$950,-,$593,-,"$5,351",$309,$-53,$256,$86,$170,-,$170,-,$170,$463,$309,67,67,$2.22,$2.26
2018-09-30,"$5,326","$4,431",$895,-,$550,-,"$5,027",$299,$-76,$223,$7,$216,-,$216,-,$210,$451,$299,65,65,$3.25,$3.22
2018-06-30,"$5,140","$4,260",$880,-,$541,-,"$5,612",$-472,$-137,$-609,$30,$-639,-,$-639,-,$-657,$437,$-472,69,69,$-9.50,$-9.50
2018-03-31,"$4,911","$4,099",$812,-,$505,-,"$4,768",$143,$-34,$109,$15,$94,-,$94,-,$94,$320,$143,71,72,$1.31,$1.30
2017-12-31,"$5,702","$4,717",$985,-,$566,-,"$5,435",$267,$-58,$209,$481,$-272,-,$-272,-,$-268,$434,$267,73,74,$-3.60,$-3.55
2017-09-30,"$5,418","$4,503",$915,-,$521,-,"$5,087",$331,$-63,$268,$-4,$272,-,$272,-,$276,$499,$331,73,74,$3.78,$3.72
2017-06-30,"$5,347","$4,471",$876,-,$526,-,"$5,073",$274,$-62,$212,$33,$179,-,$179,-,$189,$430,$274,74,75,$2.55,$2.52
2017-03-31,"$4,786","$3,960",$826,-,$499,-,"$4,522",$264,$-66,$198,$40,$158,-,$158,-,$153,$427,$264,75,76,$2.05,$2.01
2016-12-31,"$5,656","$4,696",$960,-,$545,-,"$5,315",$341,$-33,$308,$122,$186,-,$186,-,$180,$500,$341,76,77,$2.39,$2.33
2016-09-30,"$5,248","$4,308",$940,-,$519,-,"$4,874",$374,$-69,$305,$61,$244,-,$244,-,$238,$538,$374,76,77,$3.14,$3.10
2016-06-30,"$5,198","$4,229",$969,-,$543,-,"$4,830",$368,$-82,$286,$-56,$342,-,$342,-,$320,$532,$368,76,77,$4.20,$4.15
2016-03-31,"$4,616","$3,793",$823,-,$473,-,"$4,331",$285,$-70,$215,$59,$156,-,$156,-,$150,$453,$285,77,78,$1.94,$1.92
2015-12-31,"$5,560","$4,588",$972,-,$560,-,"$5,223",$337,$-55,$282,$93,$189,-,$189,-,$180,$509,$337,79,80,$2.31,$2.29
2015-09-30,"$5,277","$4,347",$930,-,$529,-,"$4,948",$329,$-62,$267,$17,$250,-,$250,-,$235,$494,$329,79,80,$2.98,$2.95
