,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$1,082",$511,$571,-,$421,-,$947,$135,$-12,$123,$24,$99,-,$99,-,$99,-,$135,219,220,$0.45,$0.45
2020-09-30,$894.8,$452.5,$442.3,-,$341.9,-,$813.1,$81.7,$-15,$66.7,$12.5,$54.2,-,$54.2,-,$53.8,$171.4,$81.7,219,219,$0.25,$0.25
2020-06-30,$490.6,$314.5,$176.1,-,$279.1,-,$594.9,$-104.3,$-15.6,$-119.9,$-24,$-95.9,-,$-95.9,-,$-95.4,$-24.3,$-104.3,219,219,$-0.44,$-0.44
2020-03-31,$874.3,$406.5,$467.8,-,$393.5,-,$999.1,$-124.8,$-4.9,$-129.7,$10.2,$-139.9,-,$-139.9,-,$-139.9,$111.9,$-124.8,221,221,$-0.63,$-0.63
2019-12-31,"$1,111.3",$500.8,$610.5,-,$460.9,-,$974.6,$136.7,$0.4,$137.1,$34.7,$102.4,-,$102.4,-,$102.4,$216.1,$136.7,223,224,$0.46,$0.46
2019-09-30,$962.1,$448.1,$514,-,$399.3,-,$852.6,$109.5,$-3,$106.5,$21.5,$85,-,$85,-,$85,$188.8,$109.5,223,225,$0.38,$0.38
2019-06-30,"$1,009.4",$468.6,$540.8,-,$430.9,-,$941.9,$67.5,$-19.9,$47.6,$11.2,$36.4,-,$36.4,-,$36.4,$151,$67.5,224,226,$0.16,$0.16
2019-03-31,$946.2,$446.5,$499.7,-,$431.9,-,$898.9,$47.3,$6.5,$53.8,$14.6,$39.2,-,$39.2,-,$39.2,$131.1,$47.3,223,225,$0.18,$0.17
2018-12-31,"$1,059.4",$534.4,$525,-,$433.1,-,$977.5,$81.9,-,$77.8,$76.4,$1.4,-,$1.4,-,$1.8,$161,$81.9,224,224,$-0.02,$-0.01
2018-09-30,$928.4,$452.3,$476.1,-,$418.5,-,$882.9,$45.5,$-13.8,$31.7,$4.2,$27.5,-,$27.5,-,$28,$130.4,$45.5,222,224,$0.13,$0.13
2018-06-30,"$1,042.1",$489.3,$552.8,-,$432.2,-,"$2,196.2","$-1,154.1",$-8.2,"$-1,162.3",$-41.3,"$-1,121",-,"$-1,121",-,"$-1,122",$18,"$-1,154.1",225,225,$-4.98,$-4.98
2018-03-31,$956.1,$442,$514.1,-,$435.2,-,$887.4,$68.7,$26.1,$94.8,$13.7,$81.1,-,$81.1,-,$81.2,$152.6,$68.7,227,230,$0.36,$0.35
2017-12-31,"$1,091",$497.7,$593.3,-,$421.9,-,"$1,797.4",$-706.4,$-6.5,$-712.9,$-62.7,$-650.2,-,$-650.2,-,$-650.4,$-65.7,$-706.4,229,229,$-2.83,$-2.83
2017-09-30,"$1,009.2",$450.2,$559,-,$430.5,-,$901.3,$107.9,$-10.3,$97.6,$7.1,$90.5,-,$90.5,-,$90.6,$189,$107.9,230,233,$0.39,$0.39
2017-06-30,$992.7,$448.5,$544.2,-,$417.6,-,"$2,040.7","$-1,048",$-16.8,"$-1,064.8",$-14.5,"$-1,050.3",-,"$-1,050.3",-,"$-1,050",$123.3,"$-1,048",229,229,$-4.58,$-4.58
2017-03-31,$900.5,$408.5,$492,-,$404.7,-,$816.3,$84.2,$-7.6,$76.6,$16.9,$59.7,-,$59.7,-,$59.8,$161,$84.2,230,234,$0.26,$0.26
2016-12-31,$996.5,$455,$541.5,-,$399.7,-,$862.3,$134.2,$-1.6,$132.6,$24.7,$107.9,-,$107.9,-,$107,$209.901,$134.2,218,222,$0.40,$0.41
2016-09-30,$954.2,$440.6,$513.6,-,$379.1,-,$827.6,$126.6,$-9.5,$117.1,$24.8,$92.3,-,$92.3,-,$92.5,$204.3,$126.6,233,236,$0.40,$0.39
2016-06-30,"$1,022",$495.1,$526.9,-,$402.1,-,$900.8,$121.2,$2.6,$123.8,$17.9,$105.9,-,$105.9,-,$105.4,$197.6,$121.2,234,237,$0.45,$0.44
2016-03-31,$772.6,$353.7,$418.9,-,$342.1,-,$699.9,$72.7,$-5.3,$67.4,$-57.9,$125.3,-,$125.3,-,$125,$119.1,$72.7,175,178,$0.72,$0.70
2015-12-31,$671.1,$296.5,$374.6,-,$267.7,-,$578,$93.1,$-20.8,$72.3,$13.7,$58.6,-,$58.6,-,$58.6,$129.6,$93.1,140,143,$0.41,$0.41
2015-09-30,$648.9,$279.4,$369.5,-,$264.3,-,$550.3,$98.6,$-5.4,$93.2,$19.6,$73.6,-,$84.4,-,$84.5,$133.5,$98.6,140,142,$0.60,$0.59
