,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$1,308",$690,$618,$137,$218,-,"$1,077",$231,$-15,$216,$17,$199,-,$199,-,$199,$275,$231,53,54,$3.72,$3.69
2020-09-30,"$1,132",$639,$493,$113,$190,-,$982,$150,$-12,$138,$22,$116,-,$116,-,$116,$186,$150,53,54,$2.18,$2.16
2020-06-30,$956,$537,$419,$98,$183,-,$837,$119,$-16,$103,$3,$100,-,$100,-,$100,$153,$119,53,54,$1.87,$1.85
2020-03-31,"$1,052",$579,$473,$105,$196,-,$901,$151,$-48,$103,$14,$89,-,$89,-,$89,$186,$151,54,54,$1.66,$1.65
2019-12-31,"$1,192",$648,$544,$118,$209,-,"$1,004",$188,$-9,$179,$10,$169,-,$169,-,$169,$224,$188,54,55,$3.14,$3.09
2019-09-30,"$1,130",$595,$535,$110,$202,-,$945,$185,$-26,$159,$23,$136,-,$136,-,$136,$233,$185,54,55,$2.52,$2.50
2019-06-30,"$1,097",$577,$520,$108,$217,-,$937,$160,$-31,$129,$5,$124,-,$124,-,$124,$209,$160,54,55,$2.28,$2.26
2019-03-31,"$1,066",$565,$501,$111,$198,-,$907,$159,$-28,$131,$16,$115,-,$115,-,$115,$207,$159,54,55,$2.14,$2.12
2018-12-31,"$1,137",$598,$539,$121,$211,-,$958,$179,$-31,$148,$33,$115,-,$115,-,$115,$226,$179,54,54,$2.14,$2.12
2018-09-30,"$1,092",$587,$505,$113,$195,-,$930,$162,$-19,$143,$16,$127,-,$127,-,$127,$210,$162,54,54,$2.37,$2.34
2018-06-30,"$1,012",$540,$472,$109,$214,-,$887,$125,$-25,$100,$30,$70,-,$70,-,$70,$175,$125,54,54,$1.31,$1.29
2018-03-31,$977,$512,$465,$101,$191,-,$833,$144,$-11,$133,$24,$109,-,$109,-,$109,$189,$144,53,54,$2.04,$2.01
2017-12-31,"$1,026",$557,$469,$98,$199,-,$893,$133,$-55,$78,$74,$4,-,$4,-,$4,$195,$133,53,54,$0.07,$0.07
2017-09-30,$935,$506,$429,$96,$184,-,$844,$91,$-98,$-7,$5,$-12,-,$-12,-,$-12,$179,$91,52,52,$-0.23,$-0.23
2017-06-30,$896,$485,$411,$99,$182,-,$838,$58,$-39,$19,$2,$17,-,$17,-,$17,$136,$58,52,53,$0.33,$0.32
2017-03-31,$865,$464,$401,$96,$184,-,$825,$40,$-42,$-2,$-10,$8,-,$8,-,$8,$113,$40,52,53,$0.16,$0.16
2016-12-31,$942,$510,$432,$92,$189,-,$871,$71,$-51,$20,$3,$17,-,$17,-,$17,$143,$71,52,52,$0.34,$0.34
2016-09-30,$904,$490,$414,$96,$186,-,$928,$-24,$-53,$-77,$6,$-83,-,$-83,-,$-83,$128,$-24,52,52,$-1.61,$-1.61
2016-06-30,$879,$473,$406,$95,$189,-,$856,$23,$-56,$-33,$12,$-45,-,$-45,-,$-45,$106,$23,52,52,$-0.88,$-0.88
2016-03-31,$849,$459,$390,$93,$187,-,$839,$10,$-49,$-39,$-13,$-26,-,$-26,-,$-26,$92,$10,51,51,$-0.50,$-0.50
2015-12-31,$951,$523,$428,$98,$207,-,$945,$6,$-50,$-44,$-17,$-27,-,$-27,-,$-27,$89,$6,51,51,$-0.53,$-0.53
2015-09-30,$916,$502,$414,$100,$187,-,$891,$25,$-50,$-25,$4,$-29,-,$-29,-,$-29,$106,$25,51,51,$-0.57,$-0.57
2015-06-30,$890,$497,$393,$100,$195,-,$904,$-14,$-39,$-53,$24,$-77,-,$-77,-,$-77,$73,$-14,51,51,$-1.50,$-1.50
2015-03-31,$893,$484,$409,$96,$188,-,$873,$20,$-78,$-58,$-33,$-25,-,$-25,-,$-25,$105,$20,51,51,$-0.50,$-0.50
2014-12-31,$791.039,$454.652,$336.387,$79.208,$163.595,-,$815.468,$-24.429,$-67.919,$-92.348,$-40.24,$-52.108,-,$-52.108,-,$-52.108,$31.348,$-24.429,51,51,$-1.02,$-1.02
2014-09-30,$303.272,$151.766,$151.506,$25.225,$61.522,-,$276.316,$26.956,$-2.15,$24.806,$9.861,$14.945,-,$14.945,-,$14.945,$36.083,$26.956,51,51,$0.29,$0.29
