,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",103.85,104.43,95.77,97.76,97.36,"19,417,800"
"Nov 01, 2020",97.36,111.25,95.71,103.11,102.26,"22,928,600"
"Oct 01, 2020",97.32,100.72,92.24,96.07,95.28,"19,362,400"
"Sep 01, 2020",97.45,100.09,92.00,96.92,96.12,"20,047,700"
"Aug 01, 2020",100.81,106.45,96.27,97.03,95.83,"17,338,500"
"Jul 01, 2020",100.95,105.08,94.76,100.19,98.96,"20,269,000"
"Jun 01, 2020",94.84,103.37,92.57,100.77,99.53,"30,032,900"
"May 01, 2020",88.35,96.49,81.51,95.34,93.69,"26,819,900"
"Apr 01, 2020",88.21,92.08,80.00,89.66,88.11,"31,240,000"
"Mar 01, 2020",84.53,90.76,72.06,88.50,86.97,"59,843,200"
"Feb 01, 2020",85.94,97.50,81.47,84.32,82.50,"31,024,600"
"Jan 01, 2020",85.64,92.42,83.01,85.56,83.71,"27,647,000"
"Dec 01, 2019",87.87,89.21,82.57,85.02,83.19,"20,963,200"
"Nov 01, 2019",85.92,90.81,82.10,87.91,85.61,"22,732,000"
"Oct 01, 2019",82.48,90.00,79.75,85.38,83.15,"26,705,900"
"Sep 01, 2019",81.87,88.46,80.43,82.33,80.18,"24,151,400"
"Aug 01, 2019",90.88,94.75,80.41,82.27,79.75,"32,619,000"
"Jul 01, 2019",85.78,94.20,84.52,87.15,84.48,"24,853,400"
"Jun 01, 2019",78.12,87.10,78.12,85.26,82.65,"28,021,800"
"May 01, 2019",75.13,82.08,73.04,77.86,75.08,"34,444,200"
"Apr 01, 2019",80.04,80.25,70.55,74.76,72.10,"30,895,300"
"Mar 01, 2019",83.71,84.27,75.53,79.52,76.69,"30,672,800"
"Feb 01, 2019",81.82,87.53,79.70,83.30,79.96,"25,735,700"
"Jan 01, 2019",73.74,85.86,72.55,83.37,80.03,"32,148,800"
"Dec 01, 2018",88.98,90.26,69.36,74.40,71.42,"26,767,500"
"Nov 01, 2018",88.44,92.59,80.28,88.90,84.95,"31,257,900"
"Oct 01, 2018",92.75,94.85,83.07,88.00,84.09,"31,094,100"
"Sep 01, 2018",89.53,92.51,83.39,92.22,88.12,"23,156,100"
"Aug 01, 2018",81.67,90.39,77.28,89.97,85.60,"30,628,800"
"Jul 01, 2018",84.80,89.55,81.78,81.83,77.85,"25,119,300"
"Jun 01, 2018",82.66,94.88,82.14,85.27,81.13,"29,455,600"
"May 01, 2018",90.45,95.00,81.97,82.14,77.81,"33,922,600"
"Apr 01, 2018",86.10,94.22,81.58,90.58,85.80,"32,386,500"
"Mar 01, 2018",94.84,101.39,82.88,86.21,81.66,"35,061,500"
"Feb 01, 2018",97.74,102.00,85.80,95.16,89.79,"57,519,900"
"Jan 01, 2018",92.15,106.27,92.12,99.67,94.05,"33,370,900"
"Dec 01, 2017",83.98,94.44,81.21,91.82,86.64,"34,930,800"
"Nov 01, 2017",77.48,86.10,71.90,84.82,79.65,"47,165,800"
"Oct 01, 2017",82.97,85.80,75.46,76.95,72.26,"45,747,900"
"Sep 01, 2017",80.46,84.81,78.34,82.75,77.71,"29,040,400"
"Aug 01, 2017",94.11,94.17,77.69,80.25,75.02,"46,421,900"
"Jul 01, 2017",94.86,95.68,90.30,93.82,87.70,"20,883,100"
"Jun 01, 2017",91.71,97.85,91.03,94.53,88.37,"26,682,300"
"May 01, 2017",82.32,91.79,81.07,91.77,85.43,"37,803,500"
"Apr 01, 2017",88.41,89.25,79.40,82.05,76.38,"31,016,600"
"Mar 01, 2017",92.19,92.81,85.22,88.50,82.38,"37,416,000"
"Feb 01, 2017",87.71,94.50,86.09,91.51,84.84,"40,007,900"
"Jan 01, 2017",78.51,87.84,78.31,87.28,80.92,"51,239,800"
"Dec 01, 2016",77.88,80.24,73.86,78.19,72.49,"40,754,000"
"Nov 01, 2016",69.85,82.58,68.71,77.99,71.97,"81,570,700"
"Oct 01, 2016",80.68,81.77,68.38,70.32,64.89,"49,113,400"
"Sep 01, 2016",87.01,88.44,79.34,80.78,74.55,"47,867,900"
"Aug 01, 2016",85.28,90.54,85.11,86.97,79.95,"44,163,200"
"Jul 01, 2016",79.29,87.05,79.11,85.19,78.32,"39,937,600"
"Jun 01, 2016",74.76,79.33,73.44,79.32,72.92,"55,301,900"
"May 01, 2016",85.19,86.07,73.31,74.98,68.62,"69,414,500"
"Apr 01, 2016",86.61,92.48,84.05,85.10,77.88,"49,934,300"
"Mar 01, 2016",86.80,89.77,85.41,86.55,79.21,"44,627,500"
"Feb 01, 2016",89.11,89.89,80.50,86.62,78.96,"58,845,400"
"Jan 01, 2016",102.31,103.40,87.09,89.56,81.64,"60,277,000"
"Dec 01, 2015",98.84,105.81,98.03,103.71,94.54,"40,736,200"
"Nov 01, 2015",97.51,100.86,96.22,98.64,89.61,"35,872,100"
"Oct 01, 2015",94.99,102.64,90.82,96.51,87.67,"69,505,100"
"Sep 01, 2015",97.55,108.18,94.07,94.99,86.29,"42,480,700"
"Aug 01, 2015",105.75,107.85,91.48,101.15,91.63,"50,259,800"
"Jul 01, 2015",107.17,115.41,104.13,105.75,95.80,"43,472,400"
"Jun 01, 2015",112.81,113.76,105.78,106.34,96.34,"38,556,600"
"May 01, 2015",115.12,116.28,112.56,112.56,101.71,"41,601,900"
"Apr 01, 2015",113.93,120.68,111.41,114.30,103.28,"38,211,000"
"Mar 01, 2015",102.57,114.73,102.00,113.67,102.71,"44,467,700"
"Feb 01, 2015",95.57,103.71,93.60,102.76,92.58,"33,069,500"
"Jan 01, 2015",90.61,100.20,89.52,95.05,85.64,"44,102,500"
"Dec 01, 2014",90.64,92.84,89.26,90.16,81.23,"32,680,200"
"Nov 01, 2014",85.81,91.59,85.58,91.05,81.77,"31,704,700"
"Oct 01, 2014",78.21,85.99,74.32,85.41,76.70,"48,207,100"
