,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",50.19,50.67,48.57,50.41,50.06,"47,688,600"
"Nov 01, 2020",47.15,51.39,46.46,49.77,49.07,"52,671,400"
"Oct 01, 2020",46.66,52.05,45.68,46.24,45.59,"66,661,700"
"Sep 01, 2020",44.52,48.56,44.42,46.49,45.84,"76,648,800"
"Aug 01, 2020",42.97,45.21,42.47,44.76,43.77,"43,390,600"
"Jul 01, 2020",40.10,43.60,37.54,42.83,41.88,"52,414,100"
"Jun 01, 2020",39.08,42.92,38.04,39.90,39.02,"66,908,200"
"May 01, 2020",36.66,39.67,33.01,39.31,38.06,"58,264,700"
"Apr 01, 2020",33.70,38.71,33.52,37.14,35.96,"66,569,300"
"Mar 01, 2020",38.19,39.60,28.92,35.18,34.06,"103,424,900"
"Feb 01, 2020",44.97,46.51,35.78,37.65,36.16,"58,755,400"
"Jan 01, 2020",46.57,46.64,43.03,44.76,42.99,"66,543,100"
"Dec 01, 2019",42.95,47.20,42.55,46.35,44.52,"59,064,200"
"Nov 01, 2019",42.27,43.78,42.01,42.93,40.90,"55,657,400"
"Oct 01, 2019",41.21,42.17,38.39,42.04,40.05,"60,721,500"
"Sep 01, 2019",37.68,43.00,37.37,41.07,39.13,"56,016,100"
"Aug 01, 2019",41.12,42.10,36.45,38.05,35.91,"98,391,200"
"Jul 01, 2019",41.35,42.24,39.63,41.08,38.77,"72,246,800"
"Jun 01, 2019",38.41,41.72,38.41,40.80,38.51,"69,295,900"
"May 01, 2019",44.44,44.89,37.77,38.32,35.86,"89,739,500"
"Apr 01, 2019",43.22,44.64,40.39,44.60,41.73,"72,043,300"
"Mar 01, 2019",42.64,43.82,41.58,43.13,40.36,"70,986,800"
"Feb 01, 2019",45.04,45.13,41.12,42.50,39.44,"83,139,800"
"Jan 01, 2019",40.57,45.04,40.40,44.90,41.67,"65,290,400"
"Dec 01, 2018",47.16,47.16,39.16,40.97,38.02,"79,333,500"
"Nov 01, 2018",47.37,49.20,44.89,46.02,42.39,"79,811,800"
"Oct 01, 2018",50.56,52.07,46.15,47.25,43.52,"79,638,400"
"Sep 01, 2018",50.30,50.62,48.81,50.27,46.31,"57,678,700"
"Aug 01, 2018",48.34,51.11,48.05,50.40,46.12,"79,888,700"
"Jul 01, 2018",45.79,49.57,44.97,48.26,44.16,"69,561,700"
"Jun 01, 2018",43.84,46.79,43.64,45.83,41.93,"77,045,800"
"May 01, 2018",45.60,45.99,43.35,43.72,39.70,"86,645,100"
"Apr 01, 2018",43.33,46.25,41.91,45.38,41.21,"84,305,100"
"Mar 01, 2018",41.50,44.99,40.99,43.37,39.38,"84,542,200"
"Feb 01, 2018",42.77,43.43,40.20,41.52,37.41,"78,639,500"
"Jan 01, 2018",40.20,43.69,39.28,42.95,38.70,"79,431,400"
"Dec 01, 2017",39.96,42.23,39.52,40.08,36.11,"64,673,500"
"Nov 01, 2017",40.97,41.11,38.59,39.88,35.64,"68,184,600"
"Oct 01, 2017",42.52,44.42,39.95,40.87,36.53,"57,402,800"
"Sep 01, 2017",41.37,44.26,41.32,42.51,38.00,"57,169,000"
"Aug 01, 2017",42.98,43.69,41.06,41.32,36.65,"70,564,400"
"Jul 01, 2017",41.48,42.68,40.22,42.18,37.41,"59,980,800"
"Jun 01, 2017",41.05,42.78,40.40,41.38,36.70,"62,902,500"
"May 01, 2017",45.88,45.91,41.10,41.58,36.60,"74,519,200"
