,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",39.50,40.81,36.77,37.86,37.31,"98,841,400"
"Nov 01, 2020",32.25,41.57,31.28,38.44,37.88,"127,556,700"
"Oct 01, 2020",27.56,33.29,27.07,31.49,31.03,"140,165,700"
"Sep 01, 2020",28.87,30.96,25.57,27.53,26.83,"160,113,500"
"Aug 01, 2020",32.21,32.90,28.23,29.14,28.40,"137,029,600"
"Jul 01, 2020",31.01,33.04,27.98,32.14,31.32,"137,978,200"
"Jun 01, 2020",30.11,39.51,29.49,31.18,30.08,"148,341,600"
"May 01, 2020",24.52,32.96,23.12,30.06,29.00,"145,707,700"
"Apr 01, 2020",22.70,27.65,19.90,25.43,24.53,"194,874,500"
"Mar 01, 2020",42.11,43.88,16.07,24.25,23.10,"263,930,500"
"Feb 01, 2020",50.52,56.42,41.31,42.16,40.16,"125,684,900"
"Jan 01, 2020",51.64,53.10,49.89,50.26,47.88,"85,867,600"
"Dec 01, 2019",52.74,52.77,50.27,51.33,48.59,"90,351,100"
"Nov 01, 2019",51.99,56.33,51.60,52.66,49.85,"76,074,700"
"Oct 01, 2019",55.93,55.99,51.21,52.96,50.13,"77,060,400"
"Sep 01, 2019",51.75,58.66,51.65,55.70,52.43,"69,957,800"
"Aug 01, 2019",55.73,57.48,51.80,52.04,48.99,"88,238,900"
"Jul 01, 2019",53.53,57.59,53.14,55.99,52.71,"69,224,000"
"Jun 01, 2019",51.06,54.73,50.92,53.28,49.85,"89,208,900"
"May 01, 2019",47.50,53.04,46.15,51.07,47.78,"144,305,700"
"Apr 01, 2019",43.52,47.60,43.34,47.57,44.51,"81,698,200"
"Mar 01, 2019",43.48,45.00,41.11,43.06,39.99,"101,702,100"
"Feb 01, 2019",43.45,44.74,40.00,43.20,40.12,"145,822,200"
"Jan 01, 2019",38.90,44.17,38.67,43.23,40.15,"98,217,800"
"Dec 01, 2018",43.84,44.07,36.16,39.41,36.29,"190,772,200"
"Nov 01, 2018",43.36,45.00,41.21,43.25,39.83,"157,684,100"
"Oct 01, 2018",53.44,54.44,39.29,41.29,38.02,"180,575,200"
"Sep 01, 2018",52.77,54.97,51.76,53.24,48.73,"87,729,200"
"Aug 01, 2018",55.53,56.36,51.24,53.17,48.67,"111,467,800"
"Jul 01, 2018",52.84,55.80,52.53,55.21,50.53,"73,172,800"
"Jun 01, 2018",53.41,55.81,52.25,53.02,48.24,"111,796,900"
"May 01, 2018",55.90,56.33,49.57,52.79,48.04,"153,832,900"
"Apr 01, 2018",54.23,56.79,52.42,56.00,50.96,"102,578,800"
"Mar 01, 2018",57.34,58.25,53.34,54.42,49.24,"172,084,400"
"Feb 01, 2018",63.74,64.28,57.34,57.34,51.88,"162,595,300"
"Jan 01, 2018",60.00,65.05,59.12,63.92,57.83,"126,946,600"
"Dec 01, 2017",60.07,60.67,57.85,59.58,53.62,"88,703,300"
"Nov 01, 2017",64.92,65.30,58.52,60.06,54.05,"177,095,600"
"Oct 01, 2017",61.72,65.55,61.00,64.61,58.14,"101,345,400"
"Sep 01, 2017",60.58,61.88,57.90,61.39,54.95,"120,633,500"
"Aug 01, 2017",65.73,67.30,60.02,60.48,54.14,"109,016,300"
"Jul 01, 2017",62.82,66.03,62.46,65.45,58.59,"76,782,500"
"Jun 01, 2017",63.81,64.53,62.28,62.52,55.69,"107,793,800"
"May 01, 2017",61.19,64.32,60.92,63.63,56.68,"185,054,400"
"Apr 01, 2017",62.43,62.77,58.71,60.91,54.25,"120,582,000"
"Mar 01, 2017",64.73,64.90,59.89,62.43,55.32,"158,646,700"
"Feb 01, 2017",64.75,66.93,60.41,63.92,56.64,"155,061,300"
"Jan 01, 2017",65.95,67.47,64.02,64.26,56.95,"111,418,600"
"Dec 01, 2016",63.66,67.03,63.60,65.31,57.59,"110,889,900"
"Nov 01, 2016",61.77,64.72,57.35,63.33,55.84,"163,135,700"
"Oct 01, 2016",59.19,62.03,58.49,61.70,54.40,"109,575,600"
"Sep 01, 2016",59.91,59.99,57.54,59.34,52.04,"147,026,500"
"Aug 01, 2016",54.46,59.89,53.93,59.83,52.47,"113,187,700"
"Jul 01, 2016",52.65,54.92,50.20,54.44,47.74,"104,492,800"
"Jun 01, 2016",57.88,57.90,48.41,52.89,46.12,"162,600,900"
