,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",115.89,116.65,108.82,116.38,115.69,"14,340,500"
"Nov 01, 2020",99.89,118.38,99.60,114.04,113.36,"14,953,400"
"Oct 01, 2020",99.94,108.09,95.67,98.50,97.91,"17,037,400"
"Sep 01, 2020",102.97,105.67,94.01,98.91,98.00,"16,325,200"
"Aug 01, 2020",100.12,106.21,98.22,103.39,102.44,"12,950,800"
"Jul 01, 2020",102.28,112.40,95.43,99.46,98.55,"15,491,300"
"Jun 01, 2020",100.38,117.49,95.08,102.22,100.97,"15,257,800"
"May 01, 2020",98.92,103.79,89.83,99.70,98.48,"15,355,700"
"Apr 01, 2020",88.55,104.60,82.20,100.54,99.31,"17,293,900"
"Mar 01, 2020",115.36,124.72,77.37,92.02,90.63,"23,675,100"
"Feb 01, 2020",130.05,139.24,111.96,114.99,113.26,"15,223,400"
"Jan 01, 2020",124.79,131.71,120.88,129.32,127.37,"14,093,900"
"Dec 01, 2019",120.22,125.75,119.23,124.54,122.39,"12,110,400"
"Nov 01, 2019",117.10,122.37,113.96,120.03,117.96,"11,815,500"
"Oct 01, 2019",104.25,117.15,98.40,116.04,114.04,"17,707,200"
"Sep 01, 2019",95.73,104.70,94.72,103.65,101.59,"11,903,300"
"Aug 01, 2019",103.49,104.67,92.93,96.27,94.35,"16,451,400"
"Jul 01, 2019",111.48,111.99,98.24,103.54,101.48,"14,695,500"
"Jun 01, 2019",97.24,110.61,97.24,110.55,108.07,"12,778,500"
"May 01, 2019",99.35,102.54,94.72,97.05,94.87,"20,948,500"
"Apr 01, 2019",91.16,99.56,91.16,99.23,97.00,"15,776,700"
"Mar 01, 2019",90.89,91.74,87.10,90.71,88.41,"13,936,100"
"Feb 01, 2019",86.00,93.85,85.22,89.96,87.68,"16,091,900"
"Jan 01, 2019",78.65,86.41,78.31,85.86,83.68,"13,517,600"
"Dec 01, 2018",92.69,94.30,74.83,79.71,77.50,"14,319,300"
"Nov 01, 2018",86.14,92.89,85.99,91.59,89.05,"13,386,300"
"Oct 01, 2018",91.55,92.87,79.64,85.73,83.35,"16,927,100"
"Sep 01, 2018",87.17,91.58,86.21,90.57,87.85,"10,139,700"
"Aug 01, 2018",81.54,88.40,80.24,87.22,84.60,"11,742,400"
"Jul 01, 2018",76.95,82.45,75.89,81.54,79.09,"14,701,300"
"Jun 01, 2018",77.10,82.46,76.14,77.36,74.84,"15,038,500"
"May 01, 2018",77.23,79.75,73.85,76.43,73.94,"20,125,200"
"Apr 01, 2018",85.28,87.04,75.50,77.18,74.67,"20,725,900"
"Mar 01, 2018",84.15,87.99,80.59,85.29,82.32,"12,832,600"
"Feb 01, 2018",85.84,88.41,76.15,84.11,81.18,"18,392,800"
"Jan 01, 2018",80.07,87.07,79.19,86.11,83.11,"15,473,200"
"Dec 01, 2017",84.23,85.76,78.67,79.56,76.64,"14,149,500"
"Nov 01, 2017",83.58,84.63,81.22,84.14,81.05,"12,899,600"
"Oct 01, 2017",86.56,89.81,78.63,83.39,80.32,"18,492,800"
"Sep 01, 2017",79.03,86.89,78.85,86.47,83.13,"12,792,100"
"Aug 01, 2017",81.63,82.62,76.79,78.71,75.67,"9,716,600"
"Jul 01, 2017",81.57,82.90,77.62,81.24,78.10,"10,102,000"
"Jun 01, 2017",79.02,82.77,76.47,81.12,77.83,"12,452,300"
"May 01, 2017",78.70,79.99,75.85,78.63,75.44,"19,867,600"
