,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",119.54,121.07,114.24,120.94,120.55,"17,719,800"
"Nov 01, 2020",99.81,121.69,99.71,118.53,118.15,"21,094,500"
"Oct 01, 2020",100.70,110.82,96.86,98.20,97.88,"21,421,200"
"Sep 01, 2020",100.42,103.95,94.90,99.40,98.90,"18,504,100"
"Aug 01, 2020",93.83,102.03,93.13,100.70,100.19,"19,278,400"
"Jul 01, 2020",89.74,94.66,85.74,93.25,92.78,"26,014,600"
"Jun 01, 2020",91.31,98.00,84.53,89.37,88.75,"30,962,900"
"May 01, 2020",81.97,93.20,75.22,91.71,91.07,"30,203,300"
"Apr 01, 2020",68.45,84.96,68.02,83.87,83.29,"32,578,900"
"Mar 01, 2020",86.53,91.92,54.82,72.02,71.35,"60,441,800"
"Feb 01, 2020",97.63,102.00,83.24,86.00,85.20,"31,634,200"
"Jan 01, 2020",100.15,102.31,96.54,97.15,96.25,"22,954,800"
"Dec 01, 2019",99.00,100.88,95.85,99.74,98.67,"17,298,700"
"Nov 01, 2019",92.48,99.74,91.85,99.01,97.95,"22,215,800"
"Oct 01, 2019",92.24,94.00,85.18,91.65,90.67,"25,783,900"
"Sep 01, 2019",85.07,91.99,82.76,91.82,90.69,"25,325,600"
"Aug 01, 2019",89.30,90.69,82.66,85.93,84.88,"24,533,300"
"Jul 01, 2019",91.76,92.30,88.25,89.61,88.51,"27,906,100"
"Jun 01, 2019",81.88,90.87,81.62,90.84,89.58,"24,467,400"
"May 01, 2019",88.50,88.76,81.83,81.89,80.75,"23,469,600"
"Apr 01, 2019",83.72,88.24,83.41,88.17,86.95,"19,016,600"
"Mar 01, 2019",79.96,83.12,77.91,82.97,81.68,"25,952,300"
"Feb 01, 2019",73.19,80.41,72.66,79.58,78.34,"29,909,300"
"Jan 01, 2019",66.74,72.95,65.42,72.90,71.76,"25,153,100"
"Dec 01, 2018",74.66,76.32,63.14,67.70,66.52,"31,898,700"
"Nov 01, 2018",69.82,75.55,69.82,73.43,72.15,"38,263,500"
"Oct 01, 2018",79.67,80.32,64.91,67.08,65.91,"33,667,500"
"Sep 01, 2018",76.74,81.92,75.93,79.12,77.60,"21,937,600"
"Aug 01, 2018",77.85,77.89,74.50,76.96,75.48,"23,744,800"
"Jul 01, 2018",71.46,78.01,70.79,77.80,76.31,"21,135,000"
"Jun 01, 2018",73.77,76.21,71.04,72.16,70.64,"23,776,700"
"May 01, 2018",69.74,76.69,68.57,73.03,71.49,"38,966,400"
"Apr 01, 2018",75.97,77.20,69.79,69.80,68.33,"24,551,700"
"Mar 01, 2018",75.75,79.32,73.19,75.97,74.24,"20,671,100"
