,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",165.08,179.79,164.92,178.22,175.97,"16,515,700"
"Nov 01, 2020",152.96,169.47,152.30,163.73,161.66,"16,745,900"
"Oct 01, 2020",160.60,168.09,150.08,151.52,149.61,"14,800,400"
"Sep 01, 2020",167.70,173.35,154.19,160.00,156.94,"20,772,000"
"Aug 01, 2020",176.43,177.70,167.50,168.38,165.16,"11,283,800"
"Jul 01, 2020",162.94,177.64,158.83,177.55,174.16,"20,357,800"
"Jun 01, 2020",153.50,173.50,149.62,162.25,158.11,"27,169,300"
"May 01, 2020",153.48,155.38,136.52,153.72,149.79,"17,168,500"
"Apr 01, 2020",131.67,158.47,127.42,157.09,153.08,"16,901,100"
"Mar 01, 2020",152.89,163.44,109.22,137.06,132.60,"30,680,400"
"Feb 01, 2020",163.85,175.74,147.83,151.88,146.94,"15,745,900"
"Jan 01, 2020",161.93,165.74,154.70,163.20,157.89,"22,847,000"
"Dec 01, 2019",162.40,163.28,154.59,161.58,155.32,"15,371,800"
"Nov 01, 2019",159.29,163.51,152.69,162.52,156.22,"13,518,000"
"Oct 01, 2019",154.03,160.25,150.68,158.75,152.60,"13,766,200"
"Sep 01, 2019",149.53,155.99,148.90,154.04,147.12,"11,660,300"
"Aug 01, 2019",146.04,150.60,140.97,149.84,143.11,"13,521,700"
"Jul 01, 2019",142.18,150.47,140.10,146.36,139.78,"15,587,300"
"Jun 01, 2019",146.76,153.51,137.44,141.09,133.78,"23,618,500"
"May 01, 2019",142.56,147.59,138.47,146.41,138.82,"17,780,900"
"Apr 01, 2019",142.63,144.46,136.15,142.39,135.01,"12,359,000"
"Mar 01, 2019",136.10,144.10,134.26,142.56,134.26,"15,289,000"
"Feb 01, 2019",131.76,137.78,127.97,135.89,127.97,"13,128,700"
"Jan 01, 2019",114.28,131.88,110.66,131.71,124.04,"14,679,000"
"Dec 01, 2018",125.97,127.70,109.04,115.24,107.61,"16,841,700"
"Nov 01, 2018",122.65,126.03,118.90,124.50,116.25,"12,139,300"
"Oct 01, 2018",125.38,128.35,119.24,122.23,114.13,"14,443,900"
"Sep 01, 2018",128.07,129.01,121.77,125.79,116.57,"11,645,500"
"Aug 01, 2018",126.20,130.42,123.17,128.35,118.94,"11,106,000"
"Jul 01, 2018",125.90,129.00,121.61,127.44,118.10,"12,441,700"
"Jun 01, 2018",125.24,128.61,124.08,126.17,116.05,"16,305,800"
"May 01, 2018",125.62,130.53,120.59,124.92,114.90,"16,194,200"
"Apr 01, 2018",124.84,125.40,120.10,124.57,114.58,"10,356,100"
"Mar 01, 2018",120.81,128.57,118.06,124.89,114.02,"13,435,900"
"Feb 01, 2018",129.70,130.41,114.00,121.31,110.75,"13,704,000"
"Jan 01, 2018",131.00,131.00,123.34,129.70,118.41,"18,032,800"
"Dec 01, 2017",127.56,134.37,125.68,130.59,118.41,"15,175,700"
"Nov 01, 2017",124.68,128.29,123.25,127.06,115.21,"11,502,300"
"Oct 01, 2017",119.19,124.49,118.43,123.96,112.40,"11,164,900"
"Sep 01, 2017",121.37,122.03,116.26,118.97,107.08,"15,780,600"
"Aug 01, 2017",121.69,123.89,117.87,121.31,109.19,"12,409,700"
"Jul 01, 2017",121.00,123.18,116.20,121.25,109.14,"8,689,600"
"Jun 01, 2017",116.51,122.28,116.51,120.47,107.67,"18,975,100"
"May 01, 2017",112.79,119.37,111.92,116.68,104.28,"13,591,500"
"Apr 01, 2017",110.15,116.64,109.85,112.51,100.55,"12,607,200"
"Mar 01, 2017",119.48,119.48,106.89,110.52,98.03,"39,763,500"
"Feb 01, 2017",110.65,120.96,108.13,119.31,105.83,"14,397,000"
"Jan 01, 2017",111.85,114.63,107.71,110.82,98.30,"8,209,400"
"Dec 01, 2016",109.07,112.25,105.74,111.13,97.83,"13,061,300"
"Nov 01, 2016",107.44,114.02,101.73,109.59,96.47,"13,030,300"
"Oct 01, 2016",108.31,108.51,101.51,107.81,94.91,"11,190,200"
"Sep 01, 2016",110.23,114.67,103.79,108.77,95.07,"9,475,100"
"Aug 01, 2016",112.35,113.28,107.54,110.09,96.22,"11,962,300"
"Jul 01, 2016",103.82,112.97,100.53,112.30,98.16,"14,843,300"
"Jun 01, 2016",96.32,103.60,95.28,103.52,89.75,"10,461,600"
"May 01, 2016",92.73,98.39,92.41,96.90,84.01,"19,084,900"
"Apr 01, 2016",90.43,94.49,89.43,92.95,80.59,"8,592,700"
"Mar 01, 2016",79.64,91.25,79.20,90.89,78.10,"9,806,100"
"Feb 01, 2016",78.27,79.87,70.69,79.16,68.02,"9,383,000"
"Jan 01, 2016",89.67,90.73,74.96,79.18,68.04,"10,653,900"
"Dec 01, 2015",92.09,93.14,87.67,90.36,76.99,"8,436,300"
"Nov 01, 2015",89.59,93.01,87.08,92.09,78.47,"7,162,800"
