,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",214.31,244.08,210.30,214.06,214.06,"409,410,400"
"Nov 01, 2020",145.75,223.02,143.38,210.71,210.71,"526,599,500"
"Oct 01, 2020",170.15,175.56,141.58,144.39,144.39,"421,904,500"
"Sep 01, 2020",170.71,180.85,145.02,165.26,165.26,"464,324,100"
"Aug 01, 2020",156.51,189.97,153.41,171.82,171.82,"624,740,900"
"Jul 01, 2020",185.88,190.61,156.26,158.00,158.00,"802,602,000"
"Jun 01, 2020",145.45,234.20,144.55,183.30,183.30,"1,464,787,800"
"May 01, 2020",143.23,156.70,113.89,145.85,145.85,"611,968,100"
"Apr 01, 2020",138.91,164.80,120.02,141.02,141.02,"819,316,200"
"Mar 01, 2020",279.54,297.44,89.00,149.14,149.14,"743,744,400"
"Feb 01, 2020",318.75,349.95,269.60,275.11,273.48,"118,303,100"
"Jan 01, 2020",328.55,344.19,302.72,318.27,316.39,"181,565,800"
"Dec 01, 2019",367.08,367.38,320.61,325.76,323.83,"127,581,300"
"Nov 01, 2019",340.59,375.60,339.50,366.18,361.90,"86,725,600"
"Oct 01, 2019",381.70,382.85,324.40,339.91,335.94,"112,287,600"
"Sep 01, 2019",354.11,391.00,350.61,380.47,376.03,"78,398,300"
"Aug 01, 2019",341.91,369.69,319.55,364.09,357.61,"95,712,300"
"Jul 01, 2019",364.88,382.48,336.56,341.18,335.10,"104,187,800"
"Jun 01, 2019",338.20,379.31,330.67,364.01,357.53,"80,829,400"
"May 01, 2019",378.53,381.20,337.00,341.61,333.61,"102,803,500"
"Apr 01, 2019",385.80,398.66,362.92,377.69,368.84,"141,408,400"
"Mar 01, 2019",446.01,446.01,361.53,381.42,372.49,"256,769,400"
"Feb 01, 2019",386.11,441.42,384.73,439.96,427.51,"76,882,600"
"Jan 01, 2019",316.19,391.97,309.40,385.62,374.71,"90,783,300"
"Dec 01, 2018",364.31,369.00,292.47,322.50,313.37,"91,168,000"
"Nov 01, 2018",357.47,373.70,296.61,346.76,335.40,"85,447,700"
"Oct 01, 2018",375.16,394.28,328.63,354.86,343.23,"100,261,700"
"Sep 01, 2018",341.60,374.22,337.31,371.90,359.71,"64,530,500"
"Aug 01, 2018",354.09,357.91,328.03,342.79,329.93,"62,969,600"
"Jul 01, 2018",330.69,364.54,329.10,356.30,342.93,"60,241,500"
"Jun 01, 2018",355.79,374.48,327.29,335.51,322.92,"84,391,800"
"May 01, 2018",332.50,365.00,319.13,352.16,337.26,"85,713,100"
"Apr 01, 2018",325.20,347.67,311.88,333.56,319.45,"103,765,100"
"Mar 01, 2018",362.33,362.74,311.17,327.88,314.01,"138,587,800"
"Feb 01, 2018",352.95,371.60,317.39,362.21,345.18,"116,097,000"
"Jan 01, 2018",295.75,360.97,295.40,354.37,337.71,"125,945,500"
"Dec 01, 2017",277.51,299.33,270.60,294.91,281.05,"71,520,900"
"Nov 01, 2017",258.29,277.04,256.24,276.80,262.38,"52,751,800"
"Oct 01, 2017",254.65,267.21,253.53,257.98,244.54,"68,772,900"
"Sep 01, 2017",239.66,259.30,234.29,254.21,240.96,"76,743,100"
"Aug 01, 2017",243.38,243.99,230.94,239.66,225.83,"84,525,400"
"Jul 01, 2017",198.07,246.49,197.75,242.46,228.46,"75,175,600"
"Jun 01, 2017",187.41,204.39,184.53,197.75,186.34,"64,606,400"
"May 01, 2017",184.23,188.26,175.47,187.63,175.46,"66,022,900"
"Apr 01, 2017",177.08,184.93,175.50,184.83,172.84,"52,177,700"
"Mar 01, 2017",181.85,185.71,173.75,176.86,165.39,"71,329,400"
"Feb 01, 2017",164.25,181.93,160.82,180.23,167.10,"67,320,300"
"Jan 01, 2017",156.30,170.00,155.21,163.42,151.51,"73,378,000"
"Dec 01, 2016",150.74,160.07,150.02,155.68,144.34,"63,386,600"
"Nov 01, 2016",142.95,153.08,138.80,150.56,137.47,"73,758,100"
"Oct 01, 2016",131.28,146.23,130.74,142.43,130.04,"80,980,500"
"Sep 01, 2016",130.03,133.08,126.31,131.74,120.28,"71,556,000"
"Aug 01, 2016",133.21,136.37,129.14,129.45,117.22,"61,479,300"
"Jul 01, 2016",129.54,139.45,123.96,133.66,121.03,"76,110,800"
"Jun 01, 2016",126.00,134.55,122.35,129.87,117.60,"102,673,100"
"May 01, 2016",134.38,135.24,125.88,126.15,113.31,"82,271,600"
"Apr 01, 2016",126.23,137.89,125.11,134.80,121.08,"96,194,200"
"Mar 01, 2016",119.01,136.78,118.25,126.94,114.02,"107,857,100"
"Feb 01, 2016",119.64,124.91,102.10,118.18,105.18,"153,197,300"
"Jan 01, 2016",141.38,141.70,115.02,120.13,106.91,"135,869,300"
"Dec 01, 2015",146.54,149.80,138.89,144.59,128.68,"79,703,200"
"Nov 01, 2015",148.38,150.59,141.59,145.45,128.65,"52,884,600"
"Oct 01, 2015",131.32,149.60,128.56,148.07,130.97,"92,079,800"
"Sep 01, 2015",128.16,139.91,126.94,130.95,115.82,"81,291,700"
"Aug 01, 2015",144.44,146.77,115.14,130.68,114.85,"92,795,600"
"Jul 01, 2015",140.48,149.18,139.00,144.17,126.71,"70,138,100"
"Jun 01, 2015",141.45,146.53,138.44,138.72,121.92,"70,463,300"
"May 01, 2015",144.41,148.30,140.32,140.52,122.71,"79,306,200"
"Apr 01, 2015",149.97,155.50,142.75,143.34,125.18,"84,509,000"
"Mar 01, 2015",150.85,156.91,145.96,150.08,131.06,"81,607,600"
"Feb 01, 2015",143.72,158.83,143.05,150.85,130.93,"92,535,100"
"Jan 01, 2015",131.07,148.25,126.18,145.37,126.17,"109,099,900"
"Dec 01, 2014",134.31,134.40,120.58,129.98,112.81,"96,842,100"
"Nov 01, 2014",125.35,135.78,123.37,134.36,115.94,"72,415,400"
"Oct 01, 2014",127.37,128.00,116.32,124.91,107.78,"107,425,800"
"Sep 01, 2014",125.62,129.87,124.10,127.38,109.91,"75,364,300"
