,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",39.80,42.49,39.29,42.44,42.12,"107,511,500"
"Nov 01, 2020",35.02,40.84,34.39,39.12,38.82,"111,082,700"
"Oct 01, 2020",34.46,38.75,33.19,34.36,33.81,"118,227,800"
"Sep 01, 2020",36.80,38.45,32.65,34.34,33.79,"98,526,000"
"Aug 01, 2020",35.93,39.16,35.52,36.98,36.39,"88,839,000"
"Jul 01, 2020",38.69,39.29,35.27,35.85,34.98,"127,615,500"
"Jun 01, 2020",37.37,43.17,36.04,38.65,37.71,"128,995,400"
"May 01, 2020",36.65,39.21,31.24,37.17,36.27,"113,499,400"
"Apr 01, 2020",31.95,38.39,31.38,37.54,36.31,"131,353,100"
"Mar 01, 2020",40.03,40.96,26.40,33.68,32.58,"206,985,800"
"Feb 01, 2020",45.04,47.63,38.54,39.90,38.59,"102,132,700"
"Jan 01, 2020",50.46,51.60,44.10,44.78,43.03,"120,597,900"
"Dec 01, 2019",49.11,51.40,47.91,50.33,48.36,"70,580,300"
"Nov 01, 2019",47.09,50.03,46.94,48.97,47.05,"75,620,300"
"Oct 01, 2019",45.21,47.18,41.66,46.75,44.62,"158,828,800"
"Sep 01, 2019",41.69,47.45,41.01,45.21,43.15,"92,278,000"
"Aug 01, 2019",46.38,47.50,40.52,42.06,40.14,"94,621,700"
"Jul 01, 2019",44.92,47.66,42.46,46.92,44.49,"108,446,300"
"Jun 01, 2019",42.69,45.34,42.13,44.15,41.86,"116,759,000"
"May 01, 2019",49.70,50.41,42.43,42.69,40.48,"100,488,200"
"Apr 01, 2019",50.80,53.61,47.37,49.66,46.81,"124,574,700"
"Mar 01, 2019",52.81,54.27,49.87,50.43,47.54,"93,790,000"
"Feb 01, 2019",52.35,53.66,50.99,52.48,49.47,"73,235,500"
"Jan 01, 2019",46.55,53.89,46.41,52.32,49.06,"116,645,700"
"Dec 01, 2018",51.80,51.98,43.67,47.07,44.14,"171,157,800"
"Nov 01, 2018",47.61,51.67,46.89,51.31,48.12,"109,377,700"
"Oct 01, 2018",51.15,53.14,45.16,47.33,44.11,"145,053,300"
"Sep 01, 2018",52.16,53.51,50.90,50.99,47.52,"99,959,200"
"Aug 01, 2018",53.60,54.15,50.12,52.15,48.60,"112,217,800"
"Jul 01, 2018",53.47,55.70,52.10,53.47,49.57,"120,807,300"
"Jun 01, 2018",55.45,58.22,53.69,53.93,50.00,"96,400,900"
"May 01, 2018",54.39,58.08,52.66,54.75,50.76,"96,592,000"
"Apr 01, 2018",51.26,56.63,49.39,54.51,50.32,"98,262,800"
"Mar 01, 2018",57.04,57.56,50.11,51.53,47.57,"123,072,200"
"Feb 01, 2018",56.68,58.67,52.11,57.03,52.64,"91,472,100"
"Jan 01, 2018",54.27,58.99,53.66,56.70,52.12,"96,512,100"
"Dec 01, 2017",54.92,55.40,53.68,53.86,49.51,"83,164,300"
"Nov 01, 2017",51.67,55.28,50.53,54.74,50.32,"97,771,100"
"Oct 01, 2017",52.91,55.29,51.37,51.45,47.08,"85,145,000"
"Sep 01, 2017",52.45,53.32,50.15,53.02,48.51,"71,511,400"
"Aug 01, 2017",53.35,54.29,51.41,52.28,47.84,"92,966,300"
"Jul 01, 2017",51.31,54.59,51.14,53.03,48.30,"86,299,400"
"Jun 01, 2017",47.21,51.59,46.77,51.02,46.47,"99,075,000"
"May 01, 2017",47.25,47.93,46.06,47.12,42.92,"106,202,400"
"Apr 01, 2017",47.23,48.07,45.89,47.06,42.69,"89,043,600"
"Mar 01, 2017",47.98,48.79,45.12,47.23,42.85,"109,649,600"
"Feb 01, 2017",45.07,47.64,44.50,47.14,42.76,"88,679,500"
"Jan 01, 2017",48.03,48.96,43.85,44.73,40.41,"133,005,200"
"Dec 01, 2016",47.67,49.54,46.97,47.38,42.80,"122,066,800"
"Nov 01, 2016",43.45,47.96,42.73,47.42,42.84,"143,659,300"
"Oct 01, 2016",39.78,43.88,38.68,43.27,38.92,"127,475,900"
"Sep 01, 2016",41.80,42.02,38.78,39.88,35.87,"117,152,700"
"Aug 01, 2016",39.55,41.99,38.53,41.67,37.48,"78,739,400"
"Jul 01, 2016",38.60,40.67,36.50,39.40,35.27,"107,576,000"
"Jun 01, 2016",41.68,42.61,35.72,38.85,34.78,"128,334,400"
"May 01, 2016",40.28,42.56,38.98,42.06,37.65,"106,182,800"
"Apr 01, 2016",36.66,41.60,35.44,40.24,35.87,"124,808,900"
"Mar 01, 2016",35.61,38.56,35.59,36.83,32.83,"128,684,000"
"Feb 01, 2016",35.86,36.40,32.20,35.39,31.55,"143,463,000"
"Jan 01, 2016",40.29,40.29,34.24,36.22,32.13,"153,928,500"
"Dec 01, 2015",44.05,44.27,40.02,41.22,36.57,"154,551,700"
"Nov 01, 2015",41.87,44.73,41.65,43.84,38.89,"101,100,800"
"Oct 01, 2015",39.10,43.17,37.48,41.65,36.80,"127,824,700"
"Sep 01, 2015",38.81,41.12,37.87,39.15,34.59,"126,788,500"
"Aug 01, 2015",43.41,45.45,36.46,40.80,36.05,"162,188,100"
"Jul 01, 2015",42.54,44.99,40.53,43.40,38.20,"113,301,000"
"Jun 01, 2015",43.49,44.03,41.75,41.97,36.94,"147,965,300"
"May 01, 2015",42.61,44.10,42.20,43.36,38.16,"111,034,000"
"Apr 01, 2015",40.22,43.11,39.87,42.34,37.12,"95,572,700"
"Mar 01, 2015",39.14,41.45,38.88,40.24,35.28,"138,642,100"
"Feb 01, 2015",36.12,40.03,36.03,39.14,34.31,"112,207,300"
"Jan 01, 2015",40.75,40.78,35.63,36.00,31.41,"122,903,600"
"Dec 01, 2014",39.95,41.79,39.29,40.57,35.40,"97,837,200"
"Nov 01, 2014",38.76,40.40,38.31,40.03,34.93,"71,602,800"
"Oct 01, 2014",38.70,39.09,35.06,38.72,33.63,"134,568,600"
