,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",709.67,722.42,683.46,721.54,713.67,"13,179,200"
"Nov 01, 2020",608.96,718.85,606.45,698.35,690.73,"11,805,700"
"Oct 01, 2020",576.84,666.64,559.18,599.21,592.67,"13,241,600"
"Sep 01, 2020",594.74,609.69,531.39,563.55,554.07,"16,645,700"
"Aug 01, 2020",579.35,605.72,567.93,594.19,584.20,"9,729,900"
"Jul 01, 2020",544.29,592.48,537.46,575.01,565.34,"13,055,000"
"Jun 01, 2020",528.00,567.58,515.72,544.09,531.40,"20,877,000"
"May 01, 2020",491.42,550.00,451.35,528.64,516.31,"50,183,500"
"Apr 01, 2020",418.11,516.00,401.90,502.04,490.33,"15,880,200"
"Mar 01, 2020",467.14,503.98,323.98,439.97,426.47,"32,132,000"
"Feb 01, 2020",530.23,576.81,449.02,463.01,448.80,"14,725,600"
"Jan 01, 2020",510.00,547.35,498.51,527.35,511.17,"13,193,000"
"Dec 01, 2019",495.28,506.81,478.68,502.70,483.97,"8,962,000"
"Nov 01, 2019",466.36,496.90,466.31,494.91,476.47,"9,074,800"
"Oct 01, 2019",445.63,470.79,411.21,461.70,444.50,"12,098,800"
"Sep 01, 2019",420.99,449.97,412.12,445.64,425.63,"12,863,200"
"Aug 01, 2019",465.19,467.67,403.54,422.56,403.59,"13,814,200"
"Jul 01, 2019",474.88,483.49,465.51,467.68,446.68,"10,275,000"
"Jun 01, 2019",415.71,472.36,415.19,469.30,444.82,"10,571,300"
"May 01, 2019",486.84,487.45,415.02,415.56,393.89,"10,106,000"
"Apr 01, 2019",431.59,485.85,429.40,485.24,459.93,"11,308,100"
"Mar 01, 2019",447.56,451.92,413.30,427.37,402.02,"12,635,100"
"Feb 01, 2019",417.44,444.80,406.13,443.22,416.93,"10,079,200"
"Jan 01, 2019",386.28,421.83,377.28,415.08,390.46,"16,434,200"
"Dec 01, 2018",436.79,438.26,360.79,392.82,366.69,"17,003,900"
"Nov 01, 2018",413.74,428.01,394.73,428.01,399.54,"15,415,500"
"Oct 01, 2018",474.36,482.48,376.31,411.42,384.06,"27,331,300"
"Sep 01, 2018",476.23,492.00,467.30,471.33,437.10,"9,564,500"
"Aug 01, 2018",505.19,509.87,466.01,479.06,444.27,"15,996,200"
"Jul 01, 2018",494.06,513.00,488.01,502.76,466.25,"12,772,200"
"Jun 01, 2018",540.65,557.00,497.34,499.04,460.31,"11,905,100"
"May 01, 2018",517.97,549.58,500.85,534.23,492.77,"10,282,700"
"Apr 01, 2018",537.76,544.58,509.12,521.50,481.02,"13,371,500"
"Mar 01, 2018",548.60,578.80,518.55,541.72,497.03,"11,162,000"
"Feb 01, 2018",561.41,568.48,500.01,549.43,504.11,"13,283,200"
"Jan 01, 2018",518.78,594.52,506.48,561.80,515.46,"14,579,500"
"Dec 01, 2017",499.67,520.74,490.73,513.71,468.98,"8,318,700"
"Nov 01, 2017",473.21,509.00,461.07,501.19,457.55,"8,879,500"
"Oct 01, 2017",447.73,489.79,446.87,470.83,429.84,"12,357,000"
"Sep 01, 2017",422.35,448.53,409.41,447.09,408.16,"8,517,400"
"Aug 01, 2017",429.67,431.92,408.62,427.07,387.55,"12,537,200"
"Jul 01, 2017",425.92,442.84,420.20,426.53,387.06,"10,941,800"
"Jun 01, 2017",408.28,430.84,407.79,422.41,380.97,"13,837,000"
"May 01, 2017",387.20,409.58,377.85,409.24,369.10,"13,420,600"
"Apr 01, 2017",383.83,391.90,375.52,384.57,346.85,"9,224,500"
"Mar 01, 2017",394.25,399.17,368.00,383.51,343.72,"10,741,400"
"Feb 01, 2017",375.21,393.72,365.83,387.46,347.26,"10,857,300"
"Jan 01, 2017",384.62,388.82,370.70,373.98,335.18,"12,468,700"
"Dec 01, 2016",373.81,399.46,369.40,380.54,339.00,"15,685,200"
"Nov 01, 2016",343.36,380.30,337.43,370.79,330.31,"15,313,600"
"Oct 01, 2016",361.70,364.13,336.84,341.24,303.99,"15,665,900"
"Sep 01, 2016",374.12,375.95,354.02,362.46,322.89,"11,690,200"
"Aug 01, 2016",366.66,376.65,364.00,372.81,330.09,"11,156,800"
"Jul 01, 2016",342.03,367.22,329.58,366.25,324.28,"10,930,000"
"Jun 01, 2016",361.56,365.92,317.60,342.53,301.37,"13,932,400"
"May 01, 2016",358.77,366.30,345.69,363.85,320.13,"10,711,500"
"Apr 01, 2016",337.27,369.33,326.93,356.33,313.52,"12,892,500"
"Mar 01, 2016",315.27,346.96,314.13,340.57,297.55,"15,441,800"
"Feb 01, 2016",311.91,321.72,286.52,311.96,272.55,"17,970,800"
"Jan 01, 2016",333.04,336.10,280.55,314.26,274.56,"22,459,000"
"Dec 01, 2015",362.94,364.81,314.62,340.52,295.72,"17,656,900"
"Nov 01, 2015",353.66,364.87,342.47,363.72,315.87,"12,745,300"
"Oct 01, 2015",297.07,354.59,289.15,351.97,305.67,"17,579,500"
"Sep 01, 2015",293.73,316.74,291.00,297.47,258.34,"19,073,600"
"Aug 01, 2015",336.67,339.14,275.00,302.47,260.84,"15,935,600"
"Jul 01, 2015",350.00,356.01,333.64,336.32,290.03,"16,234,900"
"Jun 01, 2015",366.08,367.27,343.85,345.98,296.54,"12,673,900"
"May 01, 2015",366.53,372.95,361.05,365.78,313.51,"8,600,600"
"Apr 01, 2015",364.51,378.80,361.55,363.94,311.94,"10,973,100"
"Mar 01, 2015",371.42,380.99,356.07,365.84,311.74,"10,626,000"
"Feb 01, 2015",342.37,382.84,339.44,371.42,316.49,"11,212,300"
"Jan 01, 2015",357.98,362.04,338.55,340.51,290.15,"11,520,900"
"Dec 01, 2014",356.72,368.64,334.60,357.56,303.04,"11,055,900"
"Nov 01, 2014",342.94,360.84,337.05,359.08,304.33,"9,018,500"
"Oct 01, 2014",327.47,342.22,293.39,341.11,289.10,"15,645,100"
