,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",148.50,154.22,145.10,153.20,152.00,"12,631,700"
"Nov 01, 2020",138.34,153.34,138.34,146.88,145.73,"8,568,600"
"Oct 01, 2020",133.41,146.04,131.23,137.60,136.52,"9,834,600"
"Sep 01, 2020",137.47,143.74,126.77,132.00,130.40,"10,236,200"
"Aug 01, 2020",135.28,144.50,134.18,137.40,135.74,"11,174,000"
"Jul 01, 2020",126.39,134.41,123.87,134.34,132.71,"10,413,800"
"Jun 01, 2020",121.12,128.03,117.20,126.19,124.11,"16,779,400"
"May 01, 2020",114.20,122.74,110.74,121.10,119.10,"14,779,900"
"Apr 01, 2020",91.77,116.99,90.08,116.00,114.09,"16,831,300"
"Mar 01, 2020",105.51,107.22,81.90,94.83,92.75,"33,844,400"
"Feb 01, 2020",120.67,123.81,102.91,104.36,102.07,"20,049,200"
"Jan 01, 2020",124.69,134.30,115.39,119.15,116.54,"12,413,300"
"Dec 01, 2019",123.65,124.95,118.62,123.54,120.29,"11,894,600"
"Nov 01, 2019",125.63,126.77,115.15,123.71,120.45,"11,448,000"
"Oct 01, 2019",125.05,126.71,118.99,125.22,121.92,"13,334,700"
"Sep 01, 2019",128.55,132.11,122.75,124.43,120.63,"9,180,500"
"Aug 01, 2019",126.36,131.66,120.28,129.44,125.48,"16,731,600"
"Jul 01, 2019",129.32,136.99,126.45,127.12,123.24,"12,012,600"
"Jun 01, 2019",124.94,133.45,122.45,127.68,123.32,"15,684,100"
"May 01, 2019",118.34,125.77,114.53,124.87,120.61,"20,215,500"
"Apr 01, 2019",104.51,118.65,104.08,118.13,114.10,"20,674,900"
"Mar 01, 2019",101.99,104.77,97.37,103.69,99.68,"19,551,900"
"Feb 01, 2019",100.87,104.35,93.77,101.25,97.34,"21,242,400"
"Jan 01, 2019",94.76,102.16,92.44,100.83,96.93,"14,208,400"
"Dec 01, 2018",107.17,107.28,91.34,96.25,92.08,"22,132,100"
"Nov 01, 2018",117.21,119.89,96.34,105.87,101.28,"31,418,500"
"Oct 01, 2018",132.65,133.70,111.36,116.94,111.87,"20,262,900"
"Sep 01, 2018",135.25,138.24,130.83,131.95,125.79,"14,255,400"
"Aug 01, 2018",112.98,135.65,111.65,135.14,128.83,"20,275,900"
"Jul 01, 2018",114.51,120.65,112.23,112.98,107.70,"14,553,400"
"Jun 01, 2018",116.30,119.99,113.21,115.10,109.38,"48,851,000"
"May 01, 2018",107.20,118.36,106.51,115.45,109.71,"18,408,800"
"Apr 01, 2018",109.11,112.59,105.88,107.21,101.88,"14,215,200"
"Mar 01, 2018",100.53,110.05,98.54,109.69,103.89,"20,242,200"
"Feb 01, 2018",96.29,102.20,87.51,100.38,95.07,"14,516,500"
"Jan 01, 2018",90.72,97.54,90.38,96.41,91.31,"8,072,400"
"Dec 01, 2017",90.11,92.44,88.12,90.58,85.44,"9,110,300"
"Nov 01, 2017",86.14,91.75,85.88,90.26,85.14,"13,398,400"
"Oct 01, 2017",80.76,86.22,80.70,85.92,81.04,"7,879,500"
"Sep 01, 2017",78.14,82.02,77.47,80.82,75.88,"8,837,900"
"Aug 01, 2017",76.19,78.24,71.58,78.13,73.36,"11,054,700"
"Jul 01, 2017",75.74,76.87,73.91,75.86,71.23,"7,028,700"
"Jun 01, 2017",76.00,78.00,73.55,75.56,70.63,"10,484,100"
"May 01, 2017",70.00,76.03,68.16,75.89,70.94,"12,478,500"
"Apr 01, 2017",67.84,70.49,66.49,69.94,65.38,"7,668,400"
"Mar 01, 2017",69.65,70.81,66.82,67.95,63.21,"9,151,800"
"Feb 01, 2017",67.00,70.61,65.52,69.33,64.49,"11,843,400"
"Jan 01, 2017",66.52,67.89,65.22,66.53,61.89,"7,578,800"
"Dec 01, 2016",64.72,67.08,63.28,66.30,61.37,"9,694,900"
"Nov 01, 2016",64.68,66.99,59.86,64.74,59.92,"14,915,600"
"Oct 01, 2016",67.66,68.24,63.72,64.66,59.85,"10,457,900"
"Sep 01, 2016",69.31,71.74,67.27,67.79,62.45,"13,243,300"
"Aug 01, 2016",67.74,70.15,66.39,69.30,63.84,"16,421,800"
"Jul 01, 2016",65.25,68.44,64.96,67.68,62.35,"10,195,300"
"Jun 01, 2016",63.96,65.20,61.41,65.20,59.78,"17,730,900"
"May 01, 2016",59.94,66.05,57.92,64.19,58.86,"32,447,100"
"Apr 01, 2016",59.01,61.06,58.20,59.84,54.87,"12,868,900"
"Mar 01, 2016",56.55,59.65,55.53,59.31,54.09,"10,430,900"
"Feb 01, 2016",53.17,57.06,50.30,56.13,51.19,"16,262,800"
"Jan 01, 2016",52.91,54.00,48.56,53.56,48.85,"14,530,500"
"Dec 01, 2015",55.20,55.38,52.20,53.73,48.73,"16,863,700"
"Nov 01, 2015",59.57,59.75,54.11,54.98,49.86,"17,394,900"
"Oct 01, 2015",55.49,60.11,54.20,59.58,54.03,"12,597,600"
"Sep 01, 2015",51.70,56.26,50.41,55.35,49.91,"17,462,400"
"Aug 01, 2015",54.36,59.51,49.01,52.79,47.60,"14,003,800"
"Jul 01, 2015",50.31,54.68,50.31,54.27,48.93,"13,514,900"
"Jun 01, 2015",54.32,54.73,49.67,50.01,44.86,"12,517,300"
"May 01, 2015",54.16,54.93,50.55,54.18,48.60,"15,264,300"
