,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",39.63,40.32,36.26,38.64,38.49,"48,925,100"
"Nov 01, 2020",35.32,40.55,35.20,38.85,38.54,"53,781,400"
"Oct 01, 2020",39.27,42.24,34.30,34.98,34.70,"83,262,100"
"Sep 01, 2020",40.43,43.22,36.34,38.74,38.43,"57,231,000"
"Aug 01, 2020",36.86,42.42,36.55,40.59,40.10,"58,079,700"
"Jul 01, 2020",35.29,39.18,33.74,36.60,36.16,"53,920,500"
"Jun 01, 2020",32.42,38.10,31.87,35.30,34.87,"74,003,300"
"May 01, 2020",27.83,32.91,25.17,32.15,31.59,"82,044,800"
"Apr 01, 2020",23.07,30.15,21.15,28.57,28.07,"66,668,000"
"Mar 01, 2020",31.50,32.64,17.00,24.37,23.95,"104,383,400"
"Feb 01, 2020",34.62,35.40,28.98,31.60,30.88,"78,019,700"
"Jan 01, 2020",44.00,44.05,34.09,34.29,33.51,"51,776,400"
"Dec 01, 2019",42.31,45.35,41.14,43.38,42.39,"25,121,600"
"Nov 01, 2019",42.17,46.60,41.97,42.05,40.93,"30,419,900"
"Oct 01, 2019",36.81,43.60,33.89,41.68,40.57,"34,009,800"
"Sep 01, 2019",32.26,40.45,31.75,36.68,35.70,"33,723,300"
"Aug 01, 2019",37.95,38.08,30.71,32.63,31.59,"36,825,000"
"Jul 01, 2019",42.80,43.21,37.21,37.80,36.60,"41,395,100"
"Jun 01, 2019",35.48,42.58,35.33,41.98,40.65,"32,548,800"
"May 01, 2019",41.88,42.04,34.39,35.48,34.19,"36,628,700"
"Apr 01, 2019",39.16,44.78,39.16,41.77,40.26,"37,892,200"
"Mar 01, 2019",41.00,41.36,36.02,38.41,37.02,"31,022,200"
"Feb 01, 2019",40.83,42.68,37.50,40.61,38.98,"34,019,300"
"Jan 01, 2019",34.05,41.43,33.84,40.90,39.26,"35,115,100"
"Dec 01, 2018",40.95,41.40,32.46,34.74,33.34,"38,028,800"
"Nov 01, 2018",39.77,41.63,37.79,39.58,37.82,"38,696,100"
"Oct 01, 2018",43.70,43.98,35.71,39.41,37.66,"67,518,400"
