,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",99.98,105.98,91.47,94.53,92.65,"25,226,200"
"Nov 01, 2020",73.26,105.93,72.32,98.16,96.21,"35,759,800"
"Oct 01, 2020",80.60,86.34,69.69,72.41,70.97,"23,887,600"
"Sep 01, 2020",85.95,90.68,78.41,80.30,77.77,"29,250,600"
"Aug 01, 2020",88.01,93.12,83.16,86.87,84.13,"25,371,700"
"Jul 01, 2020",90.63,94.63,83.39,89.09,86.28,"30,028,000"
"Jun 01, 2020",85.81,107.90,85.61,90.38,86.55,"40,558,000"
"May 01, 2020",94.58,94.88,71.57,85.98,82.33,"42,522,700"
"Apr 01, 2020",87.54,107.15,79.91,97.18,93.06,"30,389,000"
"Mar 01, 2020",129.63,138.38,77.21,92.23,87.40,"35,171,700"
"Feb 01, 2020",144.00,147.83,123.10,128.94,122.18,"15,857,800"
"Jan 01, 2020",138.30,144.34,133.71,143.35,135.84,"12,874,400"
"Dec 01, 2019",138.44,140.30,133.60,137.86,129.71,"11,877,900"
"Nov 01, 2019",137.76,139.64,135.24,138.54,130.35,"9,933,100"
"Oct 01, 2019",129.88,140.06,124.58,137.20,129.08,"16,121,900"
"Sep 01, 2019",127.77,134.09,126.18,129.66,121.12,"19,533,500"
"Aug 01, 2019",132.38,132.97,125.24,128.42,119.96,"13,367,200"
"Jul 01, 2019",129.76,136.63,127.10,132.95,124.19,"12,199,300"
"Jun 01, 2019",131.25,139.25,126.90,129.00,119.61,"14,763,300"
"May 01, 2019",137.73,140.35,128.97,130.83,121.31,"14,843,500"
"Apr 01, 2019",134.12,139.41,130.11,137.62,127.60,"14,207,000"
"Mar 01, 2019",132.89,135.49,130.55,133.88,123.24,"17,253,600"
"Feb 01, 2019",132.08,136.22,129.35,132.69,122.15,"12,342,200"
"Jan 01, 2019",111.70,132.07,107.94,131.87,121.39,"14,876,100"
"Dec 01, 2018",131.53,132.73,107.84,112.55,102.73,"16,060,300"
"Nov 01, 2018",120.70,131.27,117.74,131.20,119.76,"15,940,600"
"Oct 01, 2018",122.97,123.67,113.95,120.76,110.23,"18,859,300"
"Sep 01, 2018",130.09,131.40,120.62,123.09,111.48,"13,883,900"
"Aug 01, 2018",122.35,132.82,122.35,130.45,118.14,"16,597,700"
"Jul 01, 2018",125.26,128.13,121.76,125.53,113.69,"11,688,700"
"Jun 01, 2018",122.12,126.19,117.98,125.42,112.85,"15,326,500"
"May 01, 2018",121.70,125.30,116.00,121.77,109.57,"17,030,100"
"Apr 01, 2018",123.44,123.73,116.43,121.41,109.25,"15,017,900"
"Mar 01, 2018",117.87,127.54,117.08,123.22,110.14,"14,832,300"
"Feb 01, 2018",123.59,123.88,111.57,118.87,106.25,"18,589,800"
"Jan 01, 2018",130.39,130.39,119.36,123.71,110.58,"18,875,200"
"Dec 01, 2017",125.93,132.00,123.29,130.03,115.51,"18,215,500"
"Nov 01, 2017",121.24,126.65,119.74,125.38,111.38,"11,539,400"
"Oct 01, 2017",122.93,128.99,119.92,121.18,107.65,"13,438,400"
"Sep 01, 2017",120.93,124.12,119.34,122.88,108.49,"11,726,300"
"Aug 01, 2017",121.22,125.00,118.22,120.60,106.48,"14,788,900"
"Jul 01, 2017",123.60,125.09,116.77,120.91,106.75,"12,090,000"
"Jun 01, 2017",120.92,128.04,120.22,123.02,107.95,"13,747,900"
"May 01, 2017",126.85,127.35,119.54,121.32,106.46,"15,461,500"
"Apr 01, 2017",132.50,137.35,125.56,126.60,111.10,"13,522,000"
"Mar 01, 2017",138.95,139.35,129.33,132.41,115.53,"18,205,900"
"Feb 01, 2017",131.25,140.13,129.09,139.03,121.31,"15,114,600"
"Jan 01, 2017",127.70,132.61,125.99,130.90,114.21,"15,616,100"
"Dec 01, 2016",123.17,130.66,121.18,125.78,109.08,"16,583,900"
"Nov 01, 2016",120.28,127.44,113.69,123.88,107.44,"24,010,900"
"Oct 01, 2016",135.42,135.47,118.41,120.48,104.49,"17,304,900"
"Sep 01, 2016",140.28,143.65,132.83,136.29,117.64,"15,203,400"
"Aug 01, 2016",142.13,144.02,138.07,140.13,120.96,"13,684,700"
"Jul 01, 2016",132.09,142.63,129.49,142.13,122.68,"12,329,300"
"Jun 01, 2016",125.20,131.99,124.91,131.90,113.27,"18,360,500"
"May 01, 2016",129.56,133.59,123.45,125.63,107.88,"16,821,700"
"Apr 01, 2016",126.72,131.58,125.51,128.86,110.66,"12,065,600"
"Mar 01, 2016",115.00,127.77,114.29,127.08,108.56,"16,819,800"
"Feb 01, 2016",115.42,118.64,107.28,114.14,97.51,"19,390,300"
"Jan 01, 2016",125.28,127.71,113.84,116.21,99.28,"16,924,000"
"Dec 01, 2015",125.87,130.68,121.12,127.54,107.36,"16,565,100"
"Nov 01, 2015",125.79,129.90,121.43,124.99,105.21,"13,318,900"
"Oct 01, 2015",118.97,126.87,116.64,125.85,105.93,"18,908,600"
"Sep 01, 2015",112.00,121.75,109.13,118.40,99.11,"18,168,100"
"Aug 01, 2015",123.32,124.85,94.91,113.38,94.91,"20,380,400"
