,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",20.99,24.38,19.23,21.66,21.66,"1,006,362,800"
"Nov 01, 2020",13.49,22.25,12.93,19.98,19.98,"1,412,567,200"
"Oct 01, 2020",15.43,16.17,12.11,13.71,13.71,"781,062,800"
"Sep 01, 2020",16.09,18.92,13.40,15.18,15.18,"873,301,100"
"Aug 01, 2020",13.48,17.34,12.83,16.48,16.48,"765,055,000"
"Jul 01, 2020",16.94,17.83,13.62,13.88,13.88,"731,611,300"
"Jun 01, 2020",15.98,25.28,14.92,16.42,16.42,"1,281,925,000"
"May 01, 2020",14.90,18.16,11.00,15.74,15.74,"1,092,358,500"
"Apr 01, 2020",12.60,16.83,7.80,15.90,15.90,"2,088,803,500"
"Mar 01, 2020",32.71,33.34,7.90,13.17,13.17,"1,153,701,500"
"Feb 01, 2020",43.75,45.04,30.19,33.46,33.07,"200,812,800"
"Jan 01, 2020",51.35,51.94,43.21,43.53,43.03,"132,224,900"
"Dec 01, 2019",45.16,51.74,43.27,50.83,50.24,"91,804,200"
"Nov 01, 2019",43.23,45.36,42.47,45.08,44.05,"61,742,000"
"Oct 01, 2019",43.80,44.86,39.92,42.89,41.91,"105,381,400"
"Sep 01, 2019",43.82,50.87,42.92,43.71,42.71,"97,035,000"
"Aug 01, 2019",47.09,47.46,42.42,44.08,42.60,"77,237,900"
"Jul 01, 2019",46.76,47.61,44.79,47.23,45.65,"84,058,600"
"Jun 01, 2019",50.99,53.86,44.76,46.55,44.99,"112,275,300"
"May 01, 2019",55.60,56.04,50.72,51.19,49.01,"77,165,500"
"Apr 01, 2019",51.00,55.34,51.00,54.86,52.52,"75,333,600"
"Mar 01, 2019",58.34,58.68,49.91,50.72,48.56,"99,786,800"
"Feb 01, 2019",57.55,59.24,55.83,57.76,54.83,"59,064,900"
"Jan 01, 2019",48.94,58.05,47.33,57.58,54.65,"92,037,300"
"Dec 01, 2018",60.60,61.31,45.64,49.30,46.80,"94,957,700"
"Nov 01, 2018",56.39,62.52,56.12,60.29,56.75,"77,499,900"
"Oct 01, 2018",63.72,64.77,53.47,56.04,52.75,"93,431,500"
"Sep 01, 2018",61.21,67.69,60.76,63.77,60.02,"84,011,400"
"Aug 01, 2018",59.16,62.53,57.22,61.49,57.41,"73,069,500"
"Jul 01, 2018",56.83,59.78,56.45,59.24,55.31,"79,747,200"
"Jun 01, 2018",62.68,65.42,56.79,57.31,53.51,"112,717,200"
"May 01, 2018",63.24,66.00,62.14,62.28,57.70,"75,517,600"
"Apr 01, 2018",65.68,66.75,61.89,63.06,58.42,"80,869,900"
"Mar 01, 2018",66.61,69.11,64.25,65.58,60.76,"75,924,500"
"Feb 01, 2018",71.93,72.29,64.80,66.91,61.59,"55,119,400"
"Jan 01, 2018",67.22,72.70,65.95,71.61,65.91,"71,674,700"
"Dec 01, 2017",65.32,69.17,64.67,66.37,61.09,"62,223,500"
"Nov 01, 2017",66.58,67.81,63.60,65.64,60.01,"61,137,800"
"Oct 01, 2017",64.06,68.50,63.90,66.39,60.70,"65,766,600"
"Sep 01, 2017",69.82,69.89,63.01,64.57,59.03,"91,188,000"
"Aug 01, 2017",68.17,69.55,67.06,69.48,63.15,"62,616,800"
"Jul 01, 2017",65.65,67.80,65.07,66.78,60.70,"51,674,100"
"Jun 01, 2017",64.31,67.30,62.67,65.57,59.60,"75,324,600"
"May 01, 2017",61.78,64.33,59.68,64.07,57.86,"60,510,000"
"Apr 01, 2017",59.00,62.50,57.39,61.77,55.78,"67,700,500"
"Mar 01, 2017",56.51,60.24,55.07,58.91,53.20,"77,999,900"
"Feb 01, 2017",55.27,56.93,54.75,55.95,50.21,"51,324,500"
"Jan 01, 2017",52.23,57.79,51.74,55.38,49.70,"64,875,500"
"Dec 01, 2016",50.85,53.67,49.73,52.06,46.72,"84,177,900"
"Nov 01, 2016",49.09,53.27,47.93,51.41,45.82,"69,713,100"
"Oct 01, 2016",48.74,49.64,45.92,49.10,43.76,"79,883,500"
"Sep 01, 2016",48.05,49.23,44.11,48.82,43.51,"131,023,500"
"Aug 01, 2016",46.58,47.98,45.01,47.80,42.29,"92,711,200"
"Jul 01, 2016",44.72,47.41,43.06,46.72,41.33,"85,117,300"
"Jun 01, 2016",47.28,50.00,42.94,44.20,39.11,"118,398,900"
"May 01, 2016",49.33,51.29,47.30,47.74,41.66,"88,289,500"
"Apr 01, 2016",52.20,53.21,48.13,49.05,42.80,"86,940,800"
"Mar 01, 2016",48.59,53.05,45.74,52.77,46.05,"108,874,000"
"Feb 01, 2016",48.10,49.13,40.52,47.96,41.57,"141,008,700"
"Jan 01, 2016",54.16,54.90,45.81,48.13,41.72,"136,166,500"
"Dec 01, 2015",51.13,55.77,49.15,54.48,47.22,"96,685,000"
"Nov 01, 2015",54.29,54.56,49.73,50.53,43.54,"75,841,300"
"Oct 01, 2015",50.01,54.59,48.24,54.08,46.60,"86,613,600"
"Sep 01, 2015",48.11,53.54,47.42,49.70,42.82,"98,623,700"
"Aug 01, 2015",53.15,53.18,44.72,49.23,42.18,"88,670,800"
"Jul 01, 2015",49.91,54.05,48.57,53.29,45.66,"72,004,800"
"Jun 01, 2015",46.49,51.00,46.25,49.39,42.31,"75,497,400"
"May 01, 2015",43.88,48.56,43.10,46.33,39.49,"60,516,900"
"Apr 01, 2015",47.81,49.21,43.69,43.97,37.48,"74,845,600"
