,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",75.06,79.24,72.15,78.48,78.02,"35,514,000"
"Nov 01, 2020",71.00,77.33,70.44,74.84,74.40,"26,043,000"
"Oct 01, 2020",72.85,75.24,68.48,70.09,69.68,"28,369,700"
"Sep 01, 2020",72.88,76.21,66.75,72.29,71.68,"35,513,700"
"Aug 01, 2020",69.23,73.79,68.23,73.37,72.75,"30,529,100"
"Jul 01, 2020",68.68,73.80,68.58,69.45,68.86,"39,511,800"
"Jun 01, 2020",72.43,74.04,65.14,68.55,67.80,"51,379,300"
"May 01, 2020",67.81,72.98,63.11,72.90,72.10,"41,280,900"
"Apr 01, 2020",60.89,74.88,59.61,69.39,68.43,"47,315,700"
"Mar 01, 2020",69.51,73.96,53.08,62.99,62.12,"82,120,200"
"Feb 01, 2020",72.24,80.90,67.53,69.27,68.31,"51,784,500"
"Jan 01, 2020",73.45,76.32,71.36,71.83,70.84,"31,674,300"
"Dec 01, 2019",71.59,74.10,70.19,73.39,72.20,"33,084,700"
"Nov 01, 2019",67.39,72.15,66.14,71.59,70.43,"43,430,400"
"Oct 01, 2019",68.37,69.04,65.02,67.12,66.03,"44,942,700"
"Sep 01, 2019",68.30,69.20,65.86,68.17,66.89,"35,406,200"
"Aug 01, 2019",71.75,72.86,67.57,68.91,67.61,"44,267,000"
"Jul 01, 2019",73.61,76.47,70.52,71.65,70.30,"47,270,400"
"Jun 01, 2019",70.00,73.36,68.75,73.30,71.74,"52,559,400"
"May 01, 2019",66.65,71.00,66.13,69.97,68.48,"57,038,300"
"Apr 01, 2019",57.67,66.56,56.52,66.45,65.04,"67,392,600"
"Mar 01, 2019",56.42,58.50,54.60,57.21,55.99,"44,314,700"
"Feb 01, 2019",54.86,59.19,54.22,55.95,54.76,"47,991,100"
"Jan 01, 2019",51.46,55.40,50.51,54.91,53.74,"47,221,400"
"Dec 01, 2018",58.35,59.29,48.78,52.44,51.32,"49,128,900"
"Nov 01, 2018",57.24,58.90,55.72,57.91,56.68,"34,601,500"
"Oct 01, 2018",64.70,65.44,50.91,57.28,56.06,"54,034,200"
"Sep 01, 2018",64.93,66.05,62.84,64.41,63.04,"31,355,800"
"Aug 01, 2018",61.87,67.57,61.22,65.11,63.72,"41,092,200"
"Jul 01, 2018",59.59,63.88,59.49,62.08,60.76,"28,324,100"
"Jun 01, 2018",60.11,62.05,58.67,59.79,58.52,"34,257,800"
"May 01, 2018",58.22,63.22,52.05,59.68,58.41,"62,683,000"
"Apr 01, 2018",57.48,59.67,55.29,58.25,57.01,"57,593,300"
"Mar 01, 2018",64.27,65.28,56.49,58.00,56.77,"66,466,200"
"Feb 01, 2018",68.89,69.06,59.75,64.16,62.79,"52,037,400"
"Jan 01, 2018",67.55,73.43,67.54,69.13,67.66,"45,580,300"
"Dec 01, 2017",70.34,70.77,67.12,67.39,65.96,"34,647,500"
"Nov 01, 2017",67.73,71.43,64.24,70.69,69.18,"46,368,000"
"Oct 01, 2017",71.35,73.86,62.86,67.52,66.08,"51,905,600"
"Sep 01, 2017",67.86,72.27,66.91,71.32,69.80,"50,243,400"
"Aug 01, 2017",64.48,67.85,61.53,67.78,66.34,"36,500,300"
"Jul 01, 2017",66.77,66.98,62.57,64.37,63.00,"31,001,000"
"Jun 01, 2017",65.50,69.28,64.79,66.47,65.05,"37,945,100"
"May 01, 2017",64.63,65.81,63.41,65.35,63.96,"63,134,900"
"Apr 01, 2017",58.72,66.27,58.09,64.75,63.37,"53,028,300"
"Mar 01, 2017",55.48,59.83,54.01,58.85,57.60,"63,432,800"
"Feb 01, 2017",53.61,56.59,51.26,55.04,53.87,"60,992,800"
"Jan 01, 2017",47.70,53.75,47.09,53.71,52.57,"56,996,300"
"Dec 01, 2016",49.30,50.29,47.01,47.37,46.36,"56,761,600"
"Nov 01, 2016",58.52,58.63,48.04,49.78,48.72,"108,474,300"
"Oct 01, 2016",61.62,62.53,57.31,58.58,57.33,"32,519,300"
"Sep 01, 2016",64.75,65.32,61.19,61.75,60.44,"35,483,500"
"Aug 01, 2016",62.33,67.50,61.37,64.54,63.17,"47,692,200"
"Jul 01, 2016",58.48,62.71,57.59,62.39,61.06,"35,024,900"
"Jun 01, 2016",55.58,58.74,53.33,58.60,57.35,"48,765,700"
"May 01, 2016",56.24,57.08,52.84,55.61,54.43,"44,399,400"
"Apr 01, 2016",52.79,58.89,52.60,56.14,54.94,"39,921,100"
"Mar 01, 2016",51.48,54.85,49.59,52.96,51.83,"61,202,600"
"Feb 01, 2016",57.38,59.07,49.89,51.06,49.97,"66,320,500"
"Jan 01, 2016",59.05,59.92,53.91,58.01,56.77,"40,913,900"
"Dec 01, 2015",59.75,61.96,58.91,60.17,58.89,"43,291,500"
"Nov 01, 2015",66.80,66.94,55.82,59.60,58.33,"64,586,600"
"Oct 01, 2015",60.17,68.31,58.54,66.29,64.88,"42,140,300"
"Sep 01, 2015",60.79,65.56,58.01,59.96,58.68,"45,996,100"
"Aug 01, 2015",71.91,72.06,57.42,61.76,60.45,"72,411,200"
"Jul 01, 2015",69.39,75.00,67.26,71.72,70.19,"42,483,100"
"Jun 01, 2015",67.67,70.66,65.67,69.06,67.59,"41,093,600"
"May 01, 2015",72.32,73.18,66.92,67.29,65.86,"46,756,100"
"Apr 01, 2015",73.27,75.72,71.23,71.81,70.28,"27,968,000"
"Mar 01, 2015",72.16,74.83,69.20,73.26,71.70,"32,685,500"
"Feb 01, 2015",66.91,73.24,65.05,72.06,70.53,"34,494,200"
"Jan 01, 2015",64.92,68.37,63.19,66.35,64.94,"24,622,900"
"Dec 01, 2014",64.48,66.45,60.70,64.66,63.28,"23,518,800"
"Nov 01, 2014",63.32,64.75,62.53,64.40,63.03,"23,548,300"
"Oct 01, 2014",59.22,63.89,55.75,63.34,61.99,"42,855,500"
"Sep 01, 2014",57.92,60.14,57.66,59.57,58.30,"35,398,000"
"Aug 01, 2014",55.25,57.68,53.65,57.66,56.43,"32,503,800"
"Jul 01, 2014",51.67,57.59,50.30,55.20,54.02,"45,851,300"
"Jun 01, 2014",54.22,54.49,51.09,51.58,50.48,"33,176,500"
"May 01, 2014",51.03,54.99,48.87,54.05,52.90,"40,117,400"
"Apr 01, 2014",55.91,56.87,48.39,51.30,50.21,"57,691,300"
"Mar 01, 2014",60.59,62.17,55.75,56.25,55.05,"29,681,800"
"Feb 01, 2014",56.75,63.07,51.65,61.37,60.06,"45,078,300"
"Jan 01, 2014",55.48,57.58,53.64,56.89,55.68,"31,085,500"
"Dec 01, 2013",57.59,58.08,53.72,55.74,54.55,"27,408,300"
"Nov 01, 2013",56.31,58.46,55.59,57.47,56.25,"19,669,100"
"Oct 01, 2013",52.52,59.42,52.35,56.03,54.84,"38,377,400"
"Sep 01, 2013",47.15,55.07,45.81,52.55,51.43,"33,915,400"
"Aug 01, 2013",49.30,50.42,45.86,46.06,45.08,"25,957,200"
"Jul 01, 2013",48.50,50.85,47.34,49.00,47.96,"35,747,900"
"Jun 01, 2013",49.19,50.00,46.51,48.04,47.02,"32,328,400"
"May 01, 2013",48.03,49.44,46.74,49.08,48.04,"31,504,200"
