,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",213.53,220.38,191.53,208.18,207.30,"37,389,700"
"Nov 01, 2020",169.89,224.96,167.61,209.14,208.25,"49,019,600"
"Oct 01, 2020",169.35,184.70,160.37,166.97,166.26,"36,300,200"
"Sep 01, 2020",176.00,185.25,158.84,169.41,168.69,"45,330,900"
"Aug 01, 2020",173.89,187.20,170.84,177.37,176.62,"36,402,900"
"Jul 01, 2020",187.96,194.52,170.79,172.69,171.96,"43,108,500"
"Jun 01, 2020",196.44,217.30,181.06,187.65,186.85,"38,249,100"
"May 01, 2020",192.00,205.00,176.52,197.32,196.48,"28,203,200"
"Apr 01, 2020",169.72,202.75,159.39,195.78,194.95,"46,350,300"
"Mar 01, 2020",183.41,211.94,118.50,177.18,176.39,"91,914,100"
"Feb 01, 2020",193.82,224.64,174.22,182.94,182.13,"46,883,600"
"Jan 01, 2020",205.39,214.44,191.09,192.38,191.53,"35,638,900"
"Dec 01, 2019",199.92,207.28,188.80,204.49,203.58,"38,568,900"
"Nov 01, 2019",179.21,205.24,178.00,199.92,199.03,"38,760,100"
"Oct 01, 2019",152.96,179.50,146.50,178.46,177.67,"48,287,500"
"Sep 01, 2019",152.82,166.96,148.13,151.79,151.12,"45,738,000"
"Aug 01, 2019",170.04,173.01,145.51,153.97,153.29,"42,710,800"
"Jul 01, 2019",158.92,185.77,157.32,169.92,169.16,"45,202,900"
"Jun 01, 2019",147.61,162.61,147.50,157.55,156.85,"34,804,600"
"May 01, 2019",158.92,163.99,144.43,148.02,147.36,"58,565,000"
"Apr 01, 2019",162.62,170.89,141.95,158.84,158.13,"68,227,800"
"Mar 01, 2019",176.00,180.34,158.58,160.82,160.07,"54,116,200"
"Feb 01, 2019",195.00,199.38,173.24,174.44,173.62,"59,131,000"
"Jan 01, 2019",187.69,202.05,184.30,199.81,198.87,"58,114,900"
"Dec 01, 2018",224.82,226.61,176.52,189.92,189.03,"69,048,800"
"Nov 01, 2018",219.01,223.96,207.19,223.38,222.33,"47,477,600"
"Oct 01, 2018",209.22,216.00,201.23,213.81,212.81,"54,153,400"
